Top Genes	ID	M	A	t	P.Value
45868	236618_at	-0.348085285	5.005708148	-3.210508537	0.006021152
7758	1564803_at	0.471387279	5.545491594	3.207623057	0.006056403
51767	242517_at	-0.299970831	4.388951513	-3.204160403	0.006098975
3427	1557080_s_at	0.241321552	3.975730161	3.203370923	0.006108723
30458	221174_at	0.291648364	4.868639399	3.20273695	0.006116562
4850	1559540_at	0.370980099	6.475323346	3.201345744	0.006133799
27920	218634_at	-0.388984466	6.759246034	-3.200919663	0.006139088
2513	1555711_x_at	-0.624407115	5.553800398	-3.200371111	0.006145904
4863	1559566_at	-0.259904475	4.508177421	-3.200210208	0.006147904
5315	1560378_at	0.366565118	6.224917714	3.199141007	0.006161215
25462	216169_at	0.390602883	4.390452962	3.19665564	0.006192266
49422	240172_at	0.374769387	4.523776536	3.194023325	0.006225323
3589	1557349_at	0.354452791	4.685545497	3.19322333	0.006235404
50649	241399_at	-0.241712447	6.014399451	-3.192548596	0.006243919
22210	212905_at	0.266359286	4.250810221	3.19168409	0.006254846
26933	217647_at	-0.489902076	5.212687876	-3.191511758	0.006257026
20005	210619_s_at	0.436884617	5.467737418	3.189571047	0.006281634
10077	200628_s_at	0.288316731	4.531407568	3.189522433	0.006282251
17789	208367_x_at	0.356905969	6.405536281	3.186820905	0.006316669
31028	221747_at	-0.454638814	5.820828053	-3.183559365	0.00635847
45935	236685_at	-0.50362567	4.799569685	-3.183517978	0.006359002
12781	203333_at	0.311051399	5.047025099	3.182870347	0.006367336
33232	223956_at	-0.352960829	9.069776946	-3.180820101	0.006393789
28300	219015_s_at	0.35745874	5.083066617	3.180200049	0.006401811
45008	235758_at	-0.328971138	5.931402367	-3.178974683	0.006417694
12993	203545_at	0.442565092	5.244610715	3.176221061	0.006453527
40058	230803_s_at	0.298039596	5.40736211	3.176109635	0.006454981
18391	208975_s_at	0.276167456	5.015179271	3.175714848	0.006460136
49474	240224_at	0.291228689	5.219570722	3.174382284	0.006477566
38455	229200_at	-0.30500927	7.913855422	-3.173888601	0.006484035
33221	223945_x_at	0.423039652	7.938778608	3.172051504	0.006508164
54409	44822_s_at	0.25680396	6.004934739	3.170742444	0.006525412
21451	212144_at	-0.263755199	7.943381695	-3.17043231	0.006529505
20734	211398_at	-0.494819294	6.880667293	-3.170029584	0.006534824
2160	1555226_s_at	0.450747833	5.793822085	3.166489473	0.006581762
42301	233047_at	-0.316320552	5.223700313	-3.164212755	0.006612126
39362	230107_at	-0.405414746	7.933515841	-3.162805986	0.006630957
10878	201429_s_at	0.310863351	6.416822041	3.161968756	0.006642189
32995	223718_at	-0.481499113	8.073825483	-3.15879467	0.006684945
16768	207323_s_at	-0.404112532	7.125737265	-3.158449295	0.006689613
17873	208454_s_at	-0.306529311	7.681832576	-3.158243422	0.006692398
10357	200908_s_at	-0.27370192	5.168884497	-3.156259524	0.006719289
33216	223940_x_at	-0.484043642	5.397536669	-3.155734443	0.006726425
4457	1558850_s_at	0.262613902	6.966456409	3.155491221	0.006729732
49074	239824_s_at	-0.396240075	5.849747021	-3.155358333	0.00673154
32780	223502_s_at	0.304833818	4.673773741	3.154461053	0.00674376
53455	244204_at	0.419736555	4.925501472	3.149840753	0.006807031
43892	234642_at	0.418726475	7.557110777	3.147844462	0.00683455
39903	230648_at	-0.483820285	7.321716999	-3.14645812	0.006853725
11636	202187_s_at	0.35645052	5.75941292	3.145513317	0.006866824
31866	222586_s_at	0.278107121	4.811535409	3.143242579	0.006898407
33612	224344_at	-0.340296316	6.468456943	-3.143213439	0.006898814
23135	213834_at	-0.497543041	7.237172417	-3.13750676	0.006978828
44012	234762_x_at	-0.580781584	6.226030232	-3.13723557	0.006982653
45304	236054_at	-0.288585288	6.3360706	-3.13678135	0.006989065
49366	240116_at	-0.516377114	8.27975285	-3.136563438	0.006992143
10623	201174_s_at	0.343328494	5.565760853	3.136505023	0.006992968
16853	207409_at	0.44167384	5.016456049	3.135650999	0.007005046
37609	228354_at	0.274289748	7.477172435	3.133750065	0.007032002
46454	237204_at	-0.47941088	5.991270418	-3.132480377	0.007050065
48103	238853_at	0.366534632	6.330421149	3.128897055	0.007101289
12465	203015_s_at	0.255432818	4.944146627	3.128637193	0.007105018
15083	205635_at	0.313431312	4.586395886	3.126251137	0.007139349
43978	234728_s_at	0.471748006	5.964164228	3.122524991	0.00719329
14848	205400_at	-0.276733411	6.188382267	-3.12206135	0.00720003
23027	213726_x_at	-0.33015566	6.087535866	-3.119084584	0.007243452
42837	233585_at	0.372945862	7.157612081	3.118116342	0.007257632
27095	217809_at	0.220881264	4.609968278	3.117203191	0.00727103
17859	208439_s_at	-0.336912935	8.676417411	-3.116197766	0.00728581
49287	240037_at	0.417600906	5.266065445	3.114267313	0.007314272
32793	223515_s_at	0.35523032	5.429843319	3.11400097	0.007318208
27056	217770_at	-0.461621065	5.593175091	-3.11331692	0.007328325
36482	227226_at	0.346560043	5.189275021	3.112553596	0.007339631
33201	223925_s_at	0.407247167	4.807544458	3.110866439	0.007364681
52342	243091_at	-0.621120674	8.223189402	-3.110660523	0.007367745
10814	201365_at	-0.607666983	6.102851664	-3.106812495	0.00742522
52891	243640_x_at	-0.445260397	7.527721298	-3.106592355	0.007428521
49260	240010_at	0.567621168	6.517527671	3.105137246	0.00745038
10802	201353_s_at	-0.27221179	6.904126754	-3.103964071	0.00746805
10949	201500_s_at	0.404896576	4.857059305	3.103503014	0.007475006
23080	213779_at	-0.279231567	6.687530648	-3.103204539	0.007479512
20750	211417_x_at	-0.348390587	5.790534574	-3.102626453	0.007488247
29191	219906_at	-0.343432695	5.640158019	-3.102426106	0.007491277
40585	231330_at	-0.35791913	5.70259673	-3.102060638	0.007496807
13289	203841_x_at	0.334249775	4.982515642	3.101658607	0.007502895
22063	212757_s_at	-0.341831809	5.626545022	-3.10059244	0.007519063
41222	231967_at	0.32317633	4.147004263	3.099727482	0.007532206
31609	222329_x_at	-0.300363825	6.581789273	-3.098239979	0.00755486
30032	220747_at	-0.324186146	7.373449653	-3.098176832	0.007555824
52530	243279_at	-0.313660438	7.973986688	-3.097568943	0.007565102
42349	233095_at	0.234075375	4.137646614	3.097050328	0.007573027
19214	209806_at	0.32392392	7.209555129	3.096475155	0.007581826
40913	231658_x_at	-0.234122303	7.369273122	-3.096277527	0.007584852
41284	232029_at	-0.362961969	5.736869736	-3.093707229	0.00762431
