Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Forsberg	HSC(MPP)	DGL	18263	Odc1
Forsberg	HSC(MPP)	DGL	18521	Pcbp2
Forsberg	HSC(MPP)	DGL	18583	Pde7a
Forsberg	HSC(MPP)	DGL	18590	Pdgfa
Forsberg	HSC(MPP)	DGL	19217	Ptger2
Forsberg	HSC(MPP)	DGL	19240	Tmsb10
Forsberg	HSC(MPP)	DGL	19243	Ptp4a1
Forsberg	HSC(MPP)	DGL	19245	Ptp4a3
Forsberg	HSC(MPP)	DGL	19328	Rab12
Forsberg	HSC(MPP)	DGL	19363	Rad51l1
Forsberg	HSC(MPP)	DGL	19374	Rag2
Forsberg	HSC(MPP)	DGL	19395	Rasgrp2
Forsberg	HSC(MPP)	DGL	19415	Rasal1
Forsberg	HSC(MPP)	DGL	19711	Resp18
Forsberg	HSC(MPP)	DGL	19735	Rgs2
Forsberg	HSC(MPP)	DGL	20112	Rps6ka2
Forsberg	HSC(MPP)	DGL	20148	Dhrs3
Forsberg	HSC(MPP)	DGL	20230	Satb1
Forsberg	HSC(MPP)	DGL	20266	Scn1b
Forsberg	HSC(MPP)	DGL	20302	Ccl3
Forsberg	HSC(MPP)	DGL	20303	Ccl4
Forsberg	HSC(MPP)	DGL	20308	Ccl9
Forsberg	HSC(MPP)	DGL	20440	St6gal1
Forsberg	HSC(MPP)	DGL	20452	St8sia4
Forsberg	HSC(MPP)	DGL	20524	Slc25a17
Forsberg	HSC(MPP)	DGL	20588	Smarcc1
Forsberg	HSC(MPP)	DGL	20621	Snn
Forsberg	HSC(MPP)	DGL	20649	Sntb1
Forsberg	HSC(MPP)	DGL	20660	Sorl1
Forsberg	HSC(MPP)	DGL	207521	Dtx4
Forsberg	HSC(MPP)	DGL	208043	Setd1b
Forsberg	HSC(MPP)	DGL	20842	Stag1
Forsberg	HSC(MPP)	DGL	20868	Stk10
Forsberg	HSC(MPP)	DGL	209027	Pycr1
Forsberg	HSC(MPP)	DGL	20969	Sdc1
Forsberg	HSC(MPP)	DGL	210711	1110007A13Rik
Forsberg	HSC(MPP)	DGL	212285	Centd1
Forsberg	HSC(MPP)	DGL	212483	BC021381
Forsberg	HSC(MPP)	DGL	21406	Tcf12
Forsberg	HSC(MPP)	DGL	21453	Tcof1
Forsberg	HSC(MPP)	DGL	214552	Cep164
Forsberg	HSC(MPP)	DGL	215512	5730593F17Rik
Forsberg	HSC(MPP)	DGL	216197	Ckap4
Forsberg	HSC(MPP)	DGL	216705	Clint1
Forsberg	HSC(MPP)	DGL	216867	Slc16a11
Forsberg	HSC(MPP)	DGL	217578	Baz1a
Forsberg	HSC(MPP)	DGL	21812	Tgfbr1
Forsberg	HSC(MPP)	DGL	218311	Zfp455
Forsberg	HSC(MPP)	DGL	21853	Timeless
Forsberg	HSC(MPP)	DGL	218820	Zfp503
Forsberg	HSC(MPP)	DGL	22041	Trf
Forsberg	HSC(MPP)	DGL	22042	Tfrc
Forsberg	HSC(MPP)	DGL	22083	Ctr9
Forsberg	HSC(MPP)	DGL	22359	Vldlr
Forsberg	HSC(MPP)	DGL	223601	0910001A06Rik
Forsberg	HSC(MPP)	DGL	22591	Xpc
Forsberg	HSC(MPP)	DGL	22596	Xrcc5
Forsberg	HSC(MPP)	DGL	226016	5730446C15Rik
Forsberg	HSC(MPP)	DGL	22661	Zfp148
Forsberg	HSC(MPP)	DGL	22695	Zfp36
Forsberg	HSC(MPP)	DGL	227541	Camk1d
Forsberg	HSC(MPP)	DGL	227753	Gsn
Forsberg	HSC(MPP)	DGL	229323	Gpr171
Forsberg	HSC(MPP)	DGL	230098	E130306D19Rik
Forsberg	HSC(MPP)	DGL	231507	Plac8
Forsberg	HSC(MPP)	DGL	231861	Tnrc18
Forsberg	HSC(MPP)	DGL	232906	Grlf1
Forsberg	HSC(MPP)	DGL	235682	Zfp445
Forsberg	HSC(MPP)	DGL	23833	Cd52
Forsberg	HSC(MPP)	DGL	238871	Pde4d
Forsberg	HSC(MPP)	DGL	240753	Plekha6
Forsberg	HSC(MPP)	DGL	244895	C230081A13Rik
Forsberg	HSC(MPP)	DGL	268512	Slc26a11
Forsberg	HSC(MPP)	DGL	26914	H2afy
Forsberg	HSC(MPP)	DGL	26921	Map4k4
Forsberg	HSC(MPP)	DGL	269702	Mphosph9
Forsberg	HSC(MPP)	DGL	272158	Poln
Forsberg	HSC(MPP)	DGL	27359	Sytl4
Forsberg	HSC(MPP)	DGL	280662	Afm
Forsberg	HSC(MPP)	DGL	28114	Nsun2
