Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Orwig	SSC	DGL	104112	Acly
Orwig	SSC	DGL	104130	Ndufb11
Orwig	SSC	DGL	104158	Ces3
Orwig	SSC	DGL	104184	Blmh
Orwig	SSC	DGL	104215	Rhoq
Orwig	SSC	DGL	104318	Csnk1d
Orwig	SSC	DGL	104457	0610010K14Rik
Orwig	SSC	DGL	104458	Rars
Orwig	SSC	DGL	104718	Ttc7b
Orwig	SSC	DGL	104806	Fancm
Orwig	SSC	DGL	104923	Adi1
Orwig	SSC	DGL	105239	Rnf44
Orwig	SSC	DGL	105245	Txndc5
Orwig	SSC	DGL	105348	Golm1
Orwig	SSC	DGL	105439	Slain1
Orwig	SSC	DGL	105445	Dock9
Orwig	SSC	DGL	105513	Chmp7
Orwig	SSC	DGL	105522	Ankrd28
Orwig	SSC	DGL	105785	Kdelr3
Orwig	SSC	DGL	106064	AW549877
Orwig	SSC	DGL	106143	Cggbp1
Orwig	SSC	DGL	106298	Rrn3
Orwig	SSC	DGL	106489	Sft2d1
Orwig	SSC	DGL	106522	AW548124
Orwig	SSC	DGL	106572	Rab31
Orwig	SSC	DGL	106840	Unc119b
Orwig	SSC	DGL	107022	Gramd3
Orwig	SSC	DGL	107250	Kazald1
Orwig	SSC	DGL	107503	Atf5
Orwig	SSC	DGL	107513	Ssr1
Orwig	SSC	DGL	107589	Mylk
Orwig	SSC	DGL	107702	Rnh1
Orwig	SSC	DGL	107767	Scamp1
Orwig	SSC	DGL	107771	Bmyc
Orwig	SSC	DGL	107951	Cdk9
Orwig	SSC	DGL	108014	Sfrs9
Orwig	SSC	DGL	108058	Camk2d
Orwig	SSC	DGL	108062	Cstf2
Orwig	SSC	DGL	108075	Ltbp4
Orwig	SSC	DGL	108148	Galnt2
Orwig	SSC	DGL	108155	Ogt
Orwig	SSC	DGL	108160	D0HXS9928E
Orwig	SSC	DGL	108645	Mat2b
Orwig	SSC	DGL	108687	Edem2
Orwig	SSC	DGL	108755	Lyrm2
Orwig	SSC	DGL	108767	Pnrc1
Orwig	SSC	DGL	108807	4933415E08Rik
Orwig	SSC	DGL	108837	Ibtk
Orwig	SSC	DGL	108911	Rcc2
Orwig	SSC	DGL	108954	Ppp1r15b
Orwig	SSC	DGL	109019	Obfc2a
Orwig	SSC	DGL	109042	Prkcdbp
Orwig	SSC	DGL	109249	9430029L20Rik
Orwig	SSC	DGL	109270	Arhgap8
Orwig	SSC	DGL	109552	Sri
Orwig	SSC	DGL	109672	Cyb5
Orwig	SSC	DGL	109711	Actn1
Orwig	SSC	DGL	109754	Cyb5r3
Orwig	SSC	DGL	109801	Glo1
Orwig	SSC	DGL	109905	Rap1a
Orwig	SSC	DGL	110078	Pygb
Orwig	SSC	DGL	110391	Qdpr
Orwig	SSC	DGL	110454	Ly6a
Orwig	SSC	DGL	110695	Aldh7a1
Orwig	SSC	DGL	110826	Etfb
Orwig	SSC	DGL	110829	Lims1
Orwig	SSC	DGL	110842	Etfa
Orwig	SSC	DGL	110911	Cds2
Orwig	SSC	DGL	110954	Rpl10
Orwig	SSC	DGL	112405	Egln1
Orwig	SSC	DGL	11303	Abca1
Orwig	SSC	DGL	11363	Acadl
Orwig	SSC	DGL	11364	Acadm
Orwig	SSC	DGL	113868	Acaa1a
Orwig	SSC	DGL	11409	Acads
Orwig	SSC	DGL	114128	Laptm4b
Orwig	SSC	DGL	114143	Atp6v0b
Orwig	SSC	DGL	114249	Npnt
Orwig	SSC	DGL	11426	Macf1
Orwig	SSC	DGL	11430	Acox1
Orwig	SSC	DGL	114664	Hsd17b11
Orwig	SSC	DGL	114716	Spred2
Orwig	SSC	DGL	11474	Actn3
Orwig	SSC	DGL	11475	Acta2
Orwig	SSC	DGL	114774	Pawr
Orwig	SSC	DGL	11487	Adam10
Orwig	SSC	DGL	11502	Adam9
Orwig	SSC	DGL	11513	Adcy7
Orwig	SSC	DGL	11515	Adcy9
Orwig	SSC	DGL	11518	Add1
Orwig	SSC	DGL	11532	Adh5
Orwig	SSC	DGL	11534	Adk
Orwig	SSC	DGL	11535	Adm
Orwig	SSC	DGL	11539	Adora1
Orwig	SSC	DGL	11610	Agtrap
Orwig	SSC	DGL	11651	Akt1
Orwig	SSC	DGL	11652	Akt2
Orwig	SSC	DGL	11656	Alas2
Orwig	SSC	DGL	11658	Alcam
Orwig	SSC	DGL	11668	Aldh1a1
Orwig	SSC	DGL	11669	Aldh2
Orwig	SSC	DGL	11671	Aldh3a2
Orwig	SSC	DGL	11702	Amd1
Orwig	SSC	DGL	11722	Amy1
Orwig	SSC	DGL	11735	Ank3
Orwig	SSC	DGL	11736	Ankfy1
Orwig	SSC	DGL	11737	Anp32a
Orwig	SSC	DGL	11739	Slc25a4
Orwig	SSC	DGL	11740	Slc25a5
Orwig	SSC	DGL	11744	Anxa11
Orwig	SSC	DGL	11746	Anxa4
Orwig	SSC	DGL	11747	Anxa5
Orwig	SSC	DGL	11757	Prdx3
Orwig	SSC	DGL	11773	Ap2m1
Orwig	SSC	DGL	11787	Apbb2
Orwig	SSC	DGL	11796	Birc3
Orwig	SSC	DGL	11804	Aplp2
Orwig	SSC	DGL	11819	Nr2f2
Orwig	SSC	DGL	11833	Aqp8
Orwig	SSC	DGL	11842	Arf3
Orwig	SSC	DGL	11843	Arf4
Orwig	SSC	DGL	11844	Arf5
Orwig	SSC	DGL	11845	Arf6
Orwig	SSC	DGL	11848	Rhoa
Orwig	SSC	DGL	11853	Rhoc
Orwig	SSC	DGL	11858	Rnd2
Orwig	SSC	DGL	11886	Asah1
Orwig	SSC	DGL	11898	Ass1
Orwig	SSC	DGL	11910	Atf3
Orwig	SSC	DGL	11911	Atf4
Orwig	SSC	DGL	11928	Atp1a1
Orwig	SSC	DGL	11949	Atp5c1
Orwig	SSC	DGL	11966	Atp6v1b2
Orwig	SSC	DGL	11972	Atp6v0d1
Orwig	SSC	DGL	11974	Atp6v0e
Orwig	SSC	DGL	11977	Atp7a
Orwig	SSC	DGL	11984	Atp6v0c
Orwig	SSC	DGL	11997	Akr1b7
Orwig	SSC	DGL	12010	B2m
Orwig	SSC	DGL	12013	Bach1
Orwig	SSC	DGL	12028	Bax
Orwig	SSC	DGL	12034	Phb2
Orwig	SSC	DGL	12036	Bcat2
Orwig	SSC	DGL	12040	Bckdhb
Orwig	SSC	DGL	12042	Bcl10
Orwig	SSC	DGL	12053	Bcl6
Orwig	SSC	DGL	12111	Bgn
Orwig	SSC	DGL	12116	Bhmt
Orwig	SSC	DGL	12125	Bcl2l11
Orwig	SSC	DGL	12166	Bmpr1a
Orwig	SSC	DGL	12175	Bnip2
Orwig	SSC	DGL	12176	Bnip3
Orwig	SSC	DGL	12177	Bnip3l
Orwig	SSC	DGL	12192	Zfp36l1
Orwig	SSC	DGL	12211	Birc6
Orwig	SSC	DGL	12228	Btg3
Orwig	SSC	DGL	12257	Tspo
Orwig	SSC	DGL	12258	Serping1
Orwig	SSC	DGL	12259	C1qa
Orwig	SSC	DGL	12260	C1qb
Orwig	SSC	DGL	12262	C1qc
Orwig	SSC	DGL	12263	C2
