# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|AA475902|69574	unigene|Mm.28108|Mm.28108
entrezgene|AA475930|54381	unigene|Mm.14894|Mm.14894
entrezgene|AA476157|74122	unigene|Mm.38801|Mm.38801
entrezgene|AA499263|112407	unigene|Mm.33484|Mm.33484
entrezgene|AA511105|53415
entrezgene|AA537291|232493
entrezgene|AA537342|100201	unigene|Mm.38877|Mm.38877
entrezgene|AA542160|229905	unigene|Mm.18654|Mm.18654
entrezgene|AA544354|246694	unigene|Mm.9909|Mm.9909
entrezgene|AA544904|192678	unigene|Mm.41265|Mm.41265
entrezgene|W09867|78651	unigene|Mm.28694|Mm.28694
embl|W10134|W10134	unigene|Mm.29571|Mm.29571
entrezgene|W10632|68644	unigene|Mm.2240|Mm.2240
entrezgene|W13114|17306	unigene|Mm.20942|Mm.20942
entrezgene|W14581|66825	unigene|Mm.29223|Mm.29223
entrezgene|W16187|67375	unigene|Mm.26928|Mm.26928
entrezgene|W18278|50770	unigene|Mm.35562|Mm.35562
entrezgene|W18851|108857	unigene|Mm.28671|Mm.28671
entrezgene|W34670|66522	unigene|Mm.46686|Mm.46686
entrezgene|W46016|71461	unigene|Mm.181833|Mm.181833
entrezgene|W53544|17184	unigene|Mm.36541|Mm.36541
entrezgene|W53946|241638	unigene|Mm.40621|Mm.40621
entrezgene|W54099|216892	unigene|Mm.6805|Mm.6805
embl|W54436|W54436	unigene|Mm.22111|Mm.22111
embl|W54611|W54611	unigene|Mm.24210|Mm.24210
entrezgene|W62819|27528	unigene|Mm.4919|Mm.4919
entrezgene|W64735|18824	unigene|Mm.18565|Mm.18565
entrezgene|W65557|106952	unigene|Mm.1560|Mm.1560
entrezgene|W70708|74136	unigene|Mm.29571|Mm.29571
entrezgene|W81895|320165	unigene|Mm.38492|Mm.38492
entrezgene|W82923|66112	unigene|Mm.30022|Mm.30022
embl|W84169|W84169	unigene|Mm.23078|Mm.23078
entrezgene|W85052|231050	unigene|Mm.19390|Mm.19390
embl|W85461|W85461	unigene|Mm.40172|Mm.40172
entrezgene|W88135|333182	unigene|Mm.29625|Mm.29625
embl|W97158|W97158	unigene|Mm.22482|Mm.22482
entrezgene|W97980|13829	unigene|Mm.20046|Mm.20046
entrezgene|W98949|73182	unigene|Mm.132711|Mm.132711
embl|W98958|W98958
