Probe Set ID	Gene Symbol	Corrected p-value	Regulation (Cerebellum vsCerebrum)
207103_at	KCND2	0.04827228	up
206434_at	SPOCK3	0.048414223	up
202154_x_at	TUBB3	0.04850222	down
219668_at	GDAP1L1	0.048574105	down
206228_at	PAX2	0.048596013	up
200054_at	ZNF259	0.04864625	down
201738_at	EIF1B	0.04864625	down
207060_at	EN2	0.04864625	up
214543_x_at	QKI	0.048679836	up
201852_x_at	COL3A1	0.04881955	up
202381_at	ADAM9	0.04881955	up
211126_s_at	CSRP2	0.04881955	down
200921_s_at	BTG1	0.048829034	up
211864_s_at	MYOF	0.048829034	up
212131_at	LSM14A	0.048829034	down
212152_x_at	ARID1A	0.048829034	down
212446_s_at	LASS6	0.048829034	down
206140_at	LHX2	0.048972957	down
201480_s_at	SUPT5H	0.0493143	down
202192_s_at	GAS7	0.0493143	down
219370_at	RPRM	0.0493143	down
200779_at	ATF4	0.04932676	down
202443_x_at	NOTCH2	0.04932676	up
215735_s_at	TSC2	0.04932676	down
218671_s_at	ATPIF1	0.04932676	up
202428_x_at	DBI	0.049454555	up
201410_at	PLEKHB2	0.04949343	up
207876_s_at	FLNC	0.04949343	up
209044_x_at	SF3B4	0.04949343	down
220029_at	ELOVL2	0.049507987	down
205368_at	FAM131B	0.049573936	down
219379_x_at	ZNF358	0.049573936	down
204392_at	CAMK1	0.049712937	down
201998_at	ST6GAL1	0.0497147	down
208405_s_at	CD164	0.0497147	up
213307_at	SHANK2	0.0497147	up
219380_x_at	POLH	0.0497147	down
221759_at	G6PC3	0.0497147	up
209121_x_at	NR2F2	0.049782705	up
218874_s_at	C6orf134	0.049782705	down
204718_at	EPHB6	0.04979164	down
212728_at	DLG3	0.04979164	down
200743_s_at	TPP1	0.049975	up
201924_at	AFF1	0.049975	up
202071_at	SDC4	0.049975	up
202202_s_at	LAMA4	0.049975	up
204115_at	GNG11	0.049975	up
204134_at	PDE2A	0.049975	down
209201_x_at	CXCR4	0.049975	up
211427_s_at	KCNJ13	0.049975	up
220988_s_at	C1QTNF3	0.049975	up
221861_at	---	0.049975	down
