# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
unigene|Hs.2730|Hs.2730	hgnc_symbol|HNRNPL|HNRNPL
unigene|Hs.268744|Hs.268744	hgnc_symbol|PHYHIPL|PHYHIPL
unigene|Hs.267871|Hs.267871	hgnc_symbol|ATP6V0A1|ATP6V0A1
unigene|Hs.264636|Hs.264636	hgnc_symbol|FKBP14|FKBP14
unigene|Hs.26216|Hs.26216	hgnc_symbol|TMEM37|TMEM37
unigene|Hs.260720|Hs.260720	hgnc_symbol|BATF3 /// DNAJC12|BATF3 /// DNAJC12
unigene|Hs.260287|Hs.260287	hgnc_symbol|KIAA1841|KIAA1841
unigene|Hs.255995|Hs.255995
unigene|Hs.25524|Hs.25524	hgnc_symbol|PTPN23|PTPN23
unigene|Hs.252189|Hs.252189	hgnc_symbol|SDC4|SDC4
unigene|Hs.251531|Hs.251531	hgnc_symbol|PSMA4|PSMA4
unigene|Hs.25001|Hs.25001	hgnc_symbol|YWHAG|YWHAG
unigene|Hs.247362|Hs.247362	hgnc_symbol|DDAH2|DDAH2
unigene|Hs.245710|Hs.245710	hgnc_symbol|HNRNPH1|HNRNPH1
unigene|Hs.240395|Hs.240395	hgnc_symbol|KCNK6|KCNK6
unigene|Hs.237536|Hs.237536	hgnc_symbol|NT5C3L|NT5C3L
unigene|Hs.23582|Hs.23582	hgnc_symbol|TACSTD2|TACSTD2
unigene|Hs.235390|Hs.235390	hgnc_symbol|ZSCAN18|ZSCAN18
unigene|Hs.22891|Hs.22891	hgnc_symbol|SLC7A8|SLC7A8
unigene|Hs.226499|Hs.226499	hgnc_symbol|RUSC1|RUSC1
unigene|Hs.226213|Hs.226213	hgnc_symbol|CYP51A1|CYP51A1
unigene|Hs.218842|Hs.218842	hgnc_symbol|GRWD1|GRWD1
unigene|Hs.21756|Hs.21756	hgnc_symbol|EIF1B|EIF1B
unigene|Hs.211585|Hs.211585	hgnc_symbol|PFKFB2|PFKFB2
unigene|Hs.204354|Hs.204354
unigene|Hs.202833|Hs.202833	hgnc_symbol|HMOX1|HMOX1
unigene|Hs.199243|Hs.199243	hgnc_symbol|LRRC8B|LRRC8B
unigene|Hs.194688|Hs.194688	hgnc_symbol|BAZ1B|BAZ1B
unigene|Hs.193235|Hs.193235
unigene|Hs.192853|Hs.192853	hgnc_symbol|UBE2G2|UBE2G2
unigene|Hs.184604|Hs.184604	hgnc_symbol|PPY|PPY
unigene|Hs.183037|Hs.183037	hgnc_symbol|PRKAR1A|PRKAR1A
unigene|Hs.18271|Hs.18271	hgnc_symbol|GOLPH3|GOLPH3
unigene|Hs.182281|Hs.182281	hgnc_symbol|RTFDC1|RTFDC1
unigene|Hs.180919|Hs.180919	hgnc_symbol|ID2|ID2
unigene|Hs.180832|Hs.180832	hgnc_symbol|RARS|RARS
unigene|Hs.177861|Hs.177861
unigene|Hs.177596|Hs.177596	hgnc_symbol|MAP7D1|MAP7D1
unigene|Hs.177536|Hs.177536	hgnc_symbol|CPXM1|CPXM1
unigene|Hs.173878|Hs.173878	hgnc_symbol|NIPSNAP1|NIPSNAP1
unigene|Hs.172550|Hs.172550	hgnc_symbol|PTBP1|PTBP1
unigene|Hs.1721|Hs.1721	hgnc_symbol|IL11|IL11
unigene|Hs.171271|Hs.171271	hgnc_symbol|CTNNB1|CTNNB1
unigene|Hs.170808|Hs.170808	hgnc_symbol|GAD2|GAD2
unigene|Hs.170098|Hs.170098	hgnc_symbol|TTC37|TTC37
unigene|Hs.16803|Hs.16803	hgnc_symbol|LUC7L|LUC7L
unigene|Hs.167679|Hs.167679	hgnc_symbol|SH3BP2|SH3BP2
unigene|Hs.16313|Hs.16313	hgnc_symbol|GLIS2|GLIS2
unigene|Hs.160416|Hs.160416
unigene|Hs.155968|Hs.155968	hgnc_symbol|RNF103|RNF103
unigene|Hs.155595|Hs.155595	hgnc_symbol|2-Sep|2-Sep
unigene|Hs.155191|Hs.155191	hgnc_symbol|EZR|EZR
unigene|Hs.153227|Hs.153227	hgnc_symbol|GAK|GAK
unigene|Hs.151761|Hs.151761	hgnc_symbol|KIAA0100|KIAA0100
unigene|Hs.15164|Hs.15164	hgnc_symbol|C1D|C1D
unigene|Hs.148589|Hs.148589
unigene|Hs.14839|Hs.14839	hgnc_symbol|POLR2G|POLR2G
unigene|Hs.146393|Hs.146393	hgnc_symbol|HERPUD1|HERPUD1
unigene|Hs.142856|Hs.142856	hgnc_symbol|USP28|USP28
unigene|Hs.139410|Hs.139410	hgnc_symbol|DBT|DBT
unigene|Hs.131814|Hs.131814	hgnc_symbol|TNKS|TNKS
unigene|Hs.129673|Hs.129673	hgnc_symbol|EIF4A1|EIF4A1
unigene|Hs.129227|Hs.129227	hgnc_symbol|MIOX|MIOX
unigene|Hs.127649|Hs.127649	hgnc_symbol|ZBTB43|ZBTB43
unigene|Hs.12532|Hs.12532	hgnc_symbol|C1orf21|C1orf21
unigene|Hs.119192|Hs.119192	hgnc_symbol|H2AFZ|H2AFZ
unigene|Hs.119000|Hs.119000	hgnc_symbol|ACTN1|ACTN1
unigene|Hs.111967|Hs.111967	hgnc_symbol|SLC30A3|SLC30A3
unigene|Hs.110014|Hs.110014	hgnc_symbol|GIF|GIF
