# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|209286_at|209286_at	unigene|Hs.369574|Hs.369574	hgnc_symbol|CDC42EP3|CDC42EP3
affy_hg_u133_plus_2|218424_s_at|218424_s_at	unigene|Hs.647822|Hs.647822	hgnc_symbol|STEAP3|STEAP3
affy_hg_u133_plus_2|222942_s_at|222942_s_at	unigene|Hs.586279|Hs.586279	hgnc_symbol|TIAM2 (includes|TIAM2 (includes
affy_hg_u133_plus_2|205125_at|205125_at	unigene|Hs.80776|Hs.80776	hgnc_symbol|PLCD1|PLCD1
affy_hg_u133_plus_2|227847_at|227847_at	unigene|Hs.28020|Hs.28020	hgnc_symbol|EPM2AIP1|EPM2AIP1
affy_hg_u133_plus_2|205640_at|205640_at	unigene|Hs.523841|Hs.523841	hgnc_symbol|ALDH3B1|ALDH3B1
affy_hg_u133_plus_2|222608_s_at|222608_s_at	unigene|Hs.62180|Hs.62180	hgnc_symbol|ANLN|ANLN
affy_hg_u133_plus_2|207876_s_at|207876_s_at	unigene|Hs.58414|Hs.58414	hgnc_symbol|FLNC|FLNC
affy_hg_u133_plus_2|211992_at|211992_at	unigene|Hs.356604|Hs.356604	hgnc_symbol|WNK1|WNK1
affy_hg_u133_plus_2|206298_at|206298_at	unigene|Hs.655672|Hs.655672	hgnc_symbol|ARHGAP22|ARHGAP22
affy_hg_u133_plus_2|212242_at|212242_at	unigene|Hs.75318|Hs.75318	hgnc_symbol|TUBA4A|TUBA4A
affy_hg_u133_plus_2|226507_at|226507_at	unigene|Hs.435714|Hs.435714	hgnc_symbol|PAK1|PAK1
affy_hg_u133_plus_2|32094_at|32094_at	unigene|Hs.158304|Hs.158304	hgnc_symbol|CHST3|CHST3
affy_hg_u133_plus_2|222463_s_at|222463_s_at	unigene|Hs.504003|Hs.504003	hgnc_symbol|BACE1|BACE1
affy_hg_u133_plus_2|225590_at|225590_at	unigene|Hs.301804|Hs.301804	hgnc_symbol|SH3RF1|SH3RF1
affy_hg_u133_plus_2|225496_s_at|225496_s_at	unigene|Hs.369520|Hs.369520	hgnc_symbol|SYTL2|SYTL2
affy_hg_u133_plus_2|209834_at|209834_at	unigene|Hs.158304|Hs.158304	hgnc_symbol|CHST3|CHST3
affy_hg_u133_plus_2|226495_at|226495_at	unigene|Hs.570362|Hs.570362	hgnc_symbol|VISA|VISA
affy_hg_u133_plus_2|224753_at|224753_at	unigene|Hs.434886|Hs.434886	hgnc_symbol|CDCA5|CDCA5
affy_hg_u133_plus_2|203118_at|203118_at	unigene|Hs.648612|Hs.648612	hgnc_symbol|PCSK7|PCSK7
