name	MBD4	CD1D	GATA3	PLS3	STAT4	TRAIL	ratio to MBD4 CD1D	ratio to MBD4 GATA3	ratio to MBD4 PLS3	ratio to MBD4 STAT4	ratio to MBD4 TRAIL	ln(ratio) CD1D	ln(ratio) GATA3	ln(ratio) PLS3	ln(ratio) STAT4	ln(ratio) TRAIL	LDA.ave.score	LDA.stdev.score	SVM.ave.score	SVM.stdev.score
S199.1.NA	7.171E-02	2.830E-03	4.930E-03	3.290E-04	3.277E-01	1.010E+00	0.040	0.069	0.005	4.570	14.085	-3.232	-2.677	-5.384	1.519	2.645	5.473	0.456	1.099	0.089
B30.C002.2	1.423E+00	3.814E-02	1.697E-02	6.347E-05	7.002E+00	5.825E-02	0.027	0.012	0.000	4.920	0.041	-3.619	-4.429	-10.018	1.593	-3.196	-8.441	0.734	-2.094	-0.248
B30.C003.2	1.478E-01	2.246E-04	4.749E-03	1.952E-05	7.101E-01	2.387E-02	0.002	0.032	0.000	4.805	0.162	-6.489	-3.438	-8.932	1.570	-1.823	-4.466	0.684	-1.052	-0.209
B30.C004.1	2.636E-01	8.182E-03	2.111E-03	6.317E-05	1.284E+00	2.362E-02	0.031	0.008	0.000	4.871	0.090	-3.472	-4.827	-8.336	1.583	-2.412	-7.978	0.686	-1.714	-0.210
B30.C010.2	2.429E-01	2.488E-03	4.426E-03	6.169E-06	1.165E+00	4.303E-02	0.010	0.018	0.000	4.794	0.177	-4.581	-4.005	-10.581	1.567	-1.731	-4.275	0.690	-1.346	-0.214
B30.C011.2	2.486E-01	7.646E-03	7.040E-03	8.068E-05	1.157E+00	7.109E-02	0.031	0.028	0.000	4.655	0.286	-3.482	-3.564	-8.033	1.538	-1.252	-3.421	0.585	-0.942	-0.132
B30.C018.6	2.896E-01	1.269E-03	4.690E-03	8.571E-06	1.411E+00	3.075E-02	0.004	0.016	0.000	4.873	0.106	-5.430	-4.123	-10.428	1.584	-2.242	-5.784	0.731	-1.532	-0.246
B30.C019.6	2.676E-01	1.249E-02	4.562E-03	2.804E-05	1.272E+00	4.831E-02	0.047	0.017	0.000	4.756	0.181	-3.064	-4.071	-9.163	1.559	-1.712	-4.789	0.634	-1.346	-0.170
B30.C020.6	1.027E-01	1.114E-02	3.165E-03	3.260E-05	4.747E-01	2.445E-02	0.108	0.031	0.000	4.622	0.238	-2.221	-3.480	-8.055	1.531	-1.435	-3.566	0.562	-1.086	-0.114
B30.C021.1	7.201E-02	3.462E-03	1.685E-03	2.023E-06	3.497E-01	5.176E-03	0.048	0.023	0.000	4.857	0.072	-3.035	-3.755	-10.480	1.580	-2.633	-5.866	0.680	-1.792	-0.206
B30.C021.3	2.733E-01	1.283E-03	8.153E-03	9.920E-06	1.330E+00	2.698E-02	0.005	0.030	0.000	4.867	0.099	-5.361	-3.512	-10.224	1.582	-2.315	-5.085	0.705	-1.446	-0.225
B30.C022.1	9.946E-02	3.235E-03	2.047E-03	1.999E-06	4.879E-01	4.044E-03	0.033	0.021	0.000	4.906	0.041	-3.426	-3.883	-10.815	1.591	-3.202	-7.254	0.722	-2.065	-0.239
B30.C022.3	2.887E-01	1.967E-03	1.008E-02	1.002E-05	1.400E+00	3.201E-02	0.007	0.035	0.000	4.847	0.111	-4.989	-3.355	-10.269	1.578	-2.200	-4.524	0.687	-1.392	-0.211
B30.S107.2	3.682E-01	2.850E-01	9.214E-02	2.219E-02	4.045E-01	1.037E+00	0.774	0.250	0.060	1.099	2.817	-0.256	-1.385	-2.809	0.094	1.036	8.536	0.275	1.283	0.089
B30.S109.1	3.630E-01	2.478E-01	1.728E-02	1.487E-04	1.149E+00	4.012E-01	0.683	0.048	0.000	3.164	1.105	-0.382	-3.045	-7.801	1.152	0.100	1.988	0.434	-0.259	-0.030
B30.S110.3	5.362E-02	5.515E-02	1.221E-02	2.755E-02	5.410E-02	1.191E-01	1.029	0.228	0.514	1.009	2.221	0.028	-1.480	-0.666	0.009	0.798	7.300	0.224	1.332	0.111
B30.S111.1	1.638E-01	5.910E-02	3.191E-02	2.593E-02	3.888E-01	3.133E-01	0.361	0.195	0.158	2.374	1.912	-1.019	-1.636	-1.843	0.864	0.648	3.883	0.300	0.814	0.094
B30.S112.5	3.267E-01	3.210E-01	1.019E-01	1.531E-01	2.149E-01	8.425E-01	0.983	0.312	0.469	0.658	2.579	-0.018	-1.165	-0.758	-0.419	0.947	9.782	0.235	1.655	0.110
B30.S113.4	1.182E-01	7.432E-02	1.780E-03	2.748E-03	1.191E-01	3.932E-01	0.629	0.015	0.023	1.008	3.326	-0.464	-4.196	-3.762	0.008	1.202	5.311	0.409	0.848	-0.012
B30.S114.3	1.209E-01	3.715E-02	1.044E-01	6.176E-02	1.406E-02	3.870E-01	0.307	0.864	0.511	0.116	3.201	-1.180	-0.146	-0.671	-2.152	1.164	18.313	0.295	2.845	0.076
B30.S115.1	1.132E-01	1.133E-02	1.818E-02	4.030E-06	4.126E-02	4.953E-01	0.100	0.161	0.000	0.364	4.375	-2.302	-1.829	-10.243	-1.009	1.476	16.047	0.518	1.554	-0.084
B30.S116.1	2.451E-01	7.339E-02	1.385E-01	2.736E-03	1.102E-01	9.006E-01	0.299	0.565	0.011	0.450	3.675	-1.206	-0.571	-4.495	-0.799	1.301	14.428	0.331	1.920	0.055
B30.S118.2	3.502E-01	1.348E-01	5.182E-02	1.400E-01	7.813E-02	1.346E+00	0.385	0.148	0.400	0.223	3.844	-0.955	-1.911	-0.917	-1.500	1.347	13.647	0.345	2.267	0.048
B30.S118.3	1.572E-01	7.593E-02	7.348E-02	1.077E-01	1.151E-01	4.139E-01	0.483	0.467	0.685	0.732	2.632	-0.728	-0.761	-0.378	-0.312	0.968	9.823	0.225	1.755	0.120
B30.S119.2	2.336E-01	2.964E-02	4.872E-02	1.032E-02	3.030E-01	7.763E-01	0.127	0.209	0.044	1.297	3.323	-2.065	-1.567	-3.119	0.260	1.201	7.982	0.340	1.338	0.059
B30.S123.1	1.475E-01	3.633E-03	1.544E-02	3.068E-06	6.549E-01	6.355E-02	0.025	0.105	0.000	4.440	0.431	-3.704	-2.257	-10.781	1.491	-0.842	0.823	0.569	-0.682	-0.123
B30.S127.1	8.297E-05	4.999E-05	1.576E-06	5.456E-05	2.188E-04	8.991E-05	0.602	0.019	0.658	2.637	1.084	-0.507	-3.964	-0.419	0.970	0.080	-1.917	0.337	0.168	0.036
B30.S136.1	4.034E-02	3.361E-02	6.594E-03	1.014E-02	1.303E-01	2.107E-02	0.833	0.163	0.251	3.230	0.522	-0.183	-1.811	-1.381	1.172	-0.650	-0.574	0.292	0.048	0.079
B30.S138.1	3.330E-01	1.289E-01	1.874E-01	6.990E-03	5.225E-01	8.192E-01	0.387	0.563	0.021	1.569	2.460	-0.949	-0.575	-3.864	0.450	0.900	8.513	0.285	1.169	0.095
B30.S149.1	1.111E-01	5.012E-02	3.222E-02	8.504E-03	1.221E-01	3.426E-01	0.451	0.290	0.077	1.099	3.084	-0.796	-1.238	-2.570	0.094	1.126	8.819	0.280	1.400	0.091
B30.S150.1	3.402E-02	5.445E-02	2.945E-03	5.205E-03	7.660E-02	3.090E-02	1.601	0.087	0.153	2.252	0.908	0.470	-2.447	-1.877	0.812	-0.096	1.317	0.296	0.274	0.069
MF036.1	1.050E-02	5.379E-01	8.588E-04	2.502E-03	8.089E-01	8.657E-03	51.249	0.082	0.238	77.058	0.825	3.937	-2.503	-1.434	4.345	-0.193	-12.373	0.266	-1.672	0.239
MF037.1	2.863E-01	2.690E+00	4.764E-03	1.279E-02	1.618E+01	3.832E-01	9.394	0.017	0.045	56.494	1.339	2.240	-4.096	-3.108	4.034	0.292	-11.964	0.298	-1.599	0.143
MF038.1	3.555E-01	4.933E+00	2.765E-03	7.161E-03	9.563E+00	3.113E-01	13.877	0.008	0.020	26.903	0.876	2.630	-4.856	-3.905	3.292	-0.133	-10.862	0.310	-1.640	0.078
MF039.1	2.359E-02	1.808E-01	1.244E-03	1.923E-03	2.426E+00	6.213E-03	7.665	0.053	0.082	102.831	0.263	2.037	-2.943	-2.507	4.633	-1.334	-16.372	0.301	-2.337	0.152
MF040.1	3.225E-01	2.679E+00	2.037E-03	4.768E-03	9.093E+00	2.804E-03	8.306	0.006	0.015	28.195	0.009	2.117	-5.065	-4.214	3.339	-4.745	-21.508	0.437	-3.694	-0.083
MF001.1	5.375E-01	4.490E+00	1.267E-01	6.611E-04	6.074E+01	6.513E+00	8.353	0.236	0.001	113.005	12.117	2.123	-1.445	-6.701	4.727	2.495	-4.167	0.266	-0.743	0.262
MF002.1	8.574E-01	7.700E+00	1.617E-01	2.022E-03	8.709E+01	1.588E+01	8.981	0.189	0.002	101.575	18.521	2.195	-1.668	-6.050	4.621	2.919	-3.431	0.298	-0.507	0.276
MF003.1	6.781E-01	4.678E+00	1.980E-01	7.855E-04	1.217E+02	4.362E+00	6.899	0.292	0.001	179.472	6.433	1.931	-1.231	-6.761	5.190	1.861	-6.998	0.310	-1.195	0.260
MF005.1	4.014E-01	3.698E+00	7.959E-02	3.175E-04	2.590E+01	1.784E+00	9.213	0.198	0.001	64.524	4.444	2.221	-1.618	-7.142	4.167	1.492	-4.323	0.437	-0.976	0.204
MF006.1	7.965E-01	6.604E+00	1.692E-01	8.977E-04	5.944E+01	1.130E+01	8.291	0.212	0.001	74.626	14.187	2.115	-1.549	-6.788	4.312	2.652	-2.356	0.266	-0.498	0.250
MF007.1	4.641E-02	2.833E-01	7.449E-03	5.931E-05	3.515E+00	7.117E-01	6.104	0.161	0.001	75.738	15.335	1.809	-1.829	-6.662	4.327	2.730	-2.747	0.298	-0.493	0.241
MF009.1	1.581E+00	5.949E+00	2.774E-01	7.478E-04	1.953E+02	6.031E+00	3.763	0.175	0.000	123.529	3.815	1.325	-1.740	-7.656	4.816	1.339	-7.179	0.298	-1.355	0.193
RS004.1	6.174E-01	8.547E+00	9.820E-02	2.937E-03	4.842E+01	5.888E+00	13.844	0.159	0.005	78.426	9.537	2.628	-1.839	-5.348	4.362	2.255	-4.443	0.301	-0.681	0.259
RS008.1	2.617E-01	3.544E+00	4.018E-02	7.208E-04	3.186E+01	3.273E+00	13.542	0.154	0.003	121.742	12.507	2.606	-1.874	-5.895	4.802	2.526	-5.344	0.310	-0.817	0.272
AD006.1	2.576E-01	3.002E+00	6.542E-02	9.595E-04	1.524E+01	4.607E+00	11.654	0.254	0.004	59.161	17.884	2.456	-1.371	-5.593	4.080	2.884	-1.163	0.301	-0.194	0.278
AD007.1	6.358E-01	7.501E+00	3.106E-01	1.125E-03	5.514E+01	1.243E+01	11.798	0.489	0.002	86.725	19.550	2.468	-0.716	-6.337	4.463	2.973	-1.105	0.437	-0.275	0.303
AD008.1	5.261E-01	1.670E+00	9.507E-02	5.489E-04	7.366E+01	7.955E-01	3.174	0.181	0.001	140.011	1.512	1.155	-1.711	-6.865	4.942	0.413	-10.015	0.266	-1.748	0.177
