# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|243175_at|243175_at	hgnc_symbol|UTS2D|UTS2D
affy_hg_u133_plus_2|226988_s_at|226988_s_at	hgnc_symbol|MYH14|MYH14
affy_hg_u133_plus_2|234312_s_at|234312_s_at	hgnc_symbol|ACSS2|ACSS2
affy_hg_u133_plus_2|209679_s_at|209679_s_at	hgnc_symbol|SMAGP|SMAGP
affy_hg_u133_plus_2|206552_s_at|206552_s_at	hgnc_symbol|TAC1|TAC1
affy_hg_u133_plus_2|204236_at|204236_at	hgnc_symbol|FLI1|FLI1
affy_hg_u133_plus_2|232977_x_at|232977_x_at	hgnc_symbol|MYH14|MYH14
affy_hg_u133_plus_2|213824_at|213824_at	hgnc_symbol|OLIG2|OLIG2
affy_hg_u133_plus_2|203638_s_at|203638_s_at	hgnc_symbol|FGFR2|FGFR2
affy_hg_u133_plus_2|236709_at|236709_at
affy_hg_u133_plus_2|1555606_a_at|1555606_a_at	hgnc_symbol|GDPD1|GDPD1
affy_hg_u133_plus_2|236761_at|236761_at	hgnc_symbol|LHFPL3|LHFPL3
affy_hg_u133_plus_2|206547_s_at|206547_s_at	hgnc_symbol|PPEF1|PPEF1
affy_hg_u133_plus_2|204689_at|204689_at	hgnc_symbol|HHEX|HHEX
affy_hg_u133_plus_2|1552766_at|1552766_at	hgnc_symbol|HS6ST2|HS6ST2
affy_hg_u133_plus_2|206085_s_at|206085_s_at	hgnc_symbol|CTH|CTH
affy_hg_u133_plus_2|223648_s_at|223648_s_at	hgnc_symbol|FGFRL1|FGFRL1
affy_hg_u133_plus_2|237030_at|237030_at	hgnc_symbol|ACPP|ACPP
affy_hg_u133_plus_2|216471_x_at|216471_x_at	hgnc_symbol|LOC100130648 /// SSX2 /// SSX2B|LOC100130648 /// SSX2 /// SSX2B
affy_hg_u133_plus_2|219946_x_at|219946_x_at	hgnc_symbol|MYH14|MYH14
affy_hg_u133_plus_2|1554835_a_at|1554835_a_at	hgnc_symbol|B3GNT5|B3GNT5
affy_hg_u133_plus_2|223344_s_at|223344_s_at	hgnc_symbol|MS4A7|MS4A7
affy_hg_u133_plus_2|203687_at|203687_at	hgnc_symbol|CX3CL1|CX3CL1
affy_hg_u133_plus_2|228075_x_at|228075_x_at	hgnc_symbol|TFB1M|TFB1M
affy_hg_u133_plus_2|202887_s_at|202887_s_at	hgnc_symbol|DDIT4|DDIT4
affy_hg_u133_plus_2|223623_at|223623_at	hgnc_symbol|C2orf40|C2orf40
affy_hg_u133_plus_2|219169_s_at|219169_s_at	hgnc_symbol|TFB1M|TFB1M
affy_hg_u133_plus_2|1569454_a_at|1569454_a_at	hgnc_symbol|LOC283352|LOC283352
affy_hg_u133_plus_2|213400_s_at|213400_s_at	hgnc_symbol|TBL1X|TBL1X
affy_hg_u133_plus_2|214068_at|214068_at	hgnc_symbol|BEAN|BEAN
affy_hg_u133_plus_2|234290_x_at|234290_x_at	hgnc_symbol|MYH14|MYH14
affy_hg_u133_plus_2|231397_at|231397_at	hgnc_symbol|PAP2D|PAP2D
affy_hg_u133_plus_2|224323_s_at|224323_s_at	hgnc_symbol|MRO|MRO
affy_hg_u133_plus_2|218319_at|218319_at	hgnc_symbol|PELI1|PELI1
affy_hg_u133_plus_2|222008_at|222008_at	hgnc_symbol|COL9A1|COL9A1
affy_hg_u133_plus_2|242825_at|242825_at	hgnc_symbol|PAP2D|PAP2D
affy_hg_u133_plus_2|217154_s_at|217154_s_at	hgnc_symbol|EDN3|EDN3
affy_hg_u133_plus_2|242764_at|242764_at	hgnc_symbol|DCHS2|DCHS2
affy_hg_u133_plus_2|204476_s_at|204476_s_at	hgnc_symbol|PC|PC
affy_hg_u133_plus_2|242860_at|242860_at
affy_hg_u133_plus_2|227249_at|227249_at	hgnc_symbol|NDE1|NDE1
affy_hg_u133_plus_2|225436_at|225436_at	hgnc_symbol|FAM108C1|FAM108C1
affy_hg_u133_plus_2|205048_s_at|205048_s_at	hgnc_symbol|PSPH|PSPH
affy_hg_u133_plus_2|201693_s_at|201693_s_at	hgnc_symbol|EGR1|EGR1
affy_hg_u133_plus_2|216261_at|216261_at	hgnc_symbol|ITGB3|ITGB3
affy_hg_u133_plus_2|235384_at|235384_at	hgnc_symbol|NUDT19|NUDT19
affy_hg_u133_plus_2|209493_at|209493_at	hgnc_symbol|PDZD2|PDZD2
affy_hg_u133_plus_2|236359_at|236359_at	hgnc_symbol|SCN4B|SCN4B
affy_hg_u133_plus_2|216860_s_at|216860_s_at	hgnc_symbol|GDF11|GDF11
affy_hg_u133_plus_2|207493_x_at|207493_x_at	hgnc_symbol|LOC100130648 /// SSX2 /// SSX2B|LOC100130648 /// SSX2 /// SSX2B
affy_hg_u133_plus_2|1556698_a_at|1556698_a_at	hgnc_symbol|GPRIN3|GPRIN3
affy_hg_u133_plus_2|1559316_at|1559316_at
affy_hg_u133_plus_2|206582_s_at|206582_s_at	hgnc_symbol|GPR56|GPR56
affy_hg_u133_plus_2|226568_at|226568_at	hgnc_symbol|FAM102B|FAM102B
affy_hg_u133_plus_2|214180_at|214180_at	hgnc_symbol|MAN1C1|MAN1C1
affy_hg_u133_plus_2|221618_s_at|221618_s_at	hgnc_symbol|TAF9B|TAF9B
affy_hg_u133_plus_2|1554685_a_at|1554685_a_at	hgnc_symbol|KIAA1199|KIAA1199
affy_hg_u133_plus_2|224516_s_at|224516_s_at	hgnc_symbol|CXXC5|CXXC5
affy_hg_u133_plus_2|210106_at|210106_at	hgnc_symbol|RDH5|RDH5
affy_hg_u133_plus_2|209373_at|209373_at	hgnc_symbol|MALL|MALL
affy_hg_u133_plus_2|226283_at|226283_at	hgnc_symbol|WDR51B|WDR51B
affy_hg_u133_plus_2|235778_s_at|235778_s_at	hgnc_symbol|ANKRD44|ANKRD44
affy_hg_u133_plus_2|1555148_a_at|1555148_a_at	hgnc_symbol|C2orf65|C2orf65
affy_hg_u133_plus_2|221539_at|221539_at	hgnc_symbol|EIF4EBP1|EIF4EBP1
affy_hg_u133_plus_2|215240_at|215240_at	hgnc_symbol|ITGB3|ITGB3
affy_hg_u133_plus_2|243221_at|243221_at	hgnc_symbol|FAM20A|FAM20A
affy_hg_u133_plus_2|233955_x_at|233955_x_at	hgnc_symbol|CXXC5|CXXC5
affy_hg_u133_plus_2|231894_at|231894_at
affy_hg_u133_plus_2|207160_at|207160_at	hgnc_symbol|IL12A|IL12A
affy_hg_u133_plus_2|205938_at|205938_at	hgnc_symbol|PPM1E|PPM1E
affy_hg_u133_plus_2|212501_at|212501_at	hgnc_symbol|CEBPB|CEBPB
affy_hg_u133_plus_2|228471_at|228471_at
affy_hg_u133_plus_2|207666_x_at|207666_x_at	hgnc_symbol|SSX3|SSX3
affy_hg_u133_plus_2|225390_s_at|225390_s_at	hgnc_symbol|KLF13|KLF13
affy_hg_u133_plus_2|1569727_at|1569727_at
affy_hg_u133_plus_2|212070_at|212070_at	hgnc_symbol|GPR56|GPR56
affy_hg_u133_plus_2|204625_s_at|204625_s_at	hgnc_symbol|ITGB3|ITGB3
affy_hg_u133_plus_2|205194_at|205194_at	hgnc_symbol|PSPH|PSPH
affy_hg_u133_plus_2|226037_s_at|226037_s_at	hgnc_symbol|TAF9B|TAF9B
affy_hg_u133_plus_2|212930_at|212930_at	hgnc_symbol|ATP2B1|ATP2B1
affy_hg_u133_plus_2|229749_at|229749_at	hgnc_symbol|ANO4|ANO4
affy_hg_u133_plus_2|1561180_at|1561180_at
affy_hg_u133_plus_2|210786_s_at|210786_s_at	hgnc_symbol|FLI1|FLI1
affy_hg_u133_plus_2|214896_at|214896_at
affy_hg_u133_plus_2|201625_s_at|201625_s_at	hgnc_symbol|INSIG1|INSIG1
affy_hg_u133_plus_2|234976_x_at|234976_x_at	hgnc_symbol|SLC4A5|SLC4A5
affy_hg_u133_plus_2|201626_at|201626_at	hgnc_symbol|INSIG1|INSIG1
affy_hg_u133_plus_2|244789_at|244789_at	hgnc_symbol|C10orf122|C10orf122
affy_hg_u133_plus_2|220780_at|220780_at	hgnc_symbol|PLA2G3|PLA2G3
affy_hg_u133_plus_2|1558683_a_at|1558683_a_at	hgnc_symbol|HMGA2|HMGA2
affy_hg_u133_plus_2|1559393_at|1559393_at	hgnc_symbol|ALDH1L2|ALDH1L2
affy_hg_u133_plus_2|231783_at|231783_at	hgnc_symbol|CHRM1|CHRM1
affy_hg_u133_plus_2|209621_s_at|209621_s_at	hgnc_symbol|PDLIM3|PDLIM3
affy_hg_u133_plus_2|226641_at|226641_at
affy_hg_u133_plus_2|224952_at|224952_at	hgnc_symbol|TANC2|TANC2
affy_hg_u133_plus_2|226086_at|226086_at	hgnc_symbol|SYT13|SYT13
affy_hg_u133_plus_2|208650_s_at|208650_s_at	hgnc_symbol|CD24|CD24
affy_hg_u133_plus_2|207179_at|207179_at	hgnc_symbol|TLX1|TLX1
affy_hg_u133_plus_2|1554424_at|1554424_at	hgnc_symbol|FIP1L1|FIP1L1
affy_hg_u133_plus_2|211121_s_at|211121_s_at	hgnc_symbol|DOK1|DOK1
affy_hg_u133_plus_2|221008_s_at|221008_s_at	hgnc_symbol|AGXT2L1|AGXT2L1
affy_hg_u133_plus_2|205933_at|205933_at	hgnc_symbol|SETBP1|SETBP1
affy_hg_u133_plus_2|1553982_a_at|1553982_a_at	hgnc_symbol|RAB7B|RAB7B
affy_hg_u133_plus_2|203438_at|203438_at	hgnc_symbol|STC2|STC2
affy_hg_u133_plus_2|224324_at|224324_at	hgnc_symbol|MRO|MRO
affy_hg_u133_plus_2|240983_s_at|240983_s_at	hgnc_symbol|CARS|CARS
affy_hg_u133_plus_2|1552721_a_at|1552721_a_at	hgnc_symbol|FGF1|FGF1
affy_hg_u133_plus_2|229345_at|229345_at	hgnc_symbol|RTN4RL2|RTN4RL2
affy_hg_u133_plus_2|224909_s_at|224909_s_at	hgnc_symbol|PREX1|PREX1
affy_hg_u133_plus_2|205926_at|205926_at	hgnc_symbol|IL27RA|IL27RA
affy_hg_u133_plus_2|1555886_at|1555886_at	hgnc_symbol|PDSS2|PDSS2
affy_hg_u133_plus_2|230532_at|230532_at	hgnc_symbol|CXorf38|CXorf38
affy_hg_u133_plus_2|212048_s_at|212048_s_at	hgnc_symbol|YARS|YARS
affy_hg_u133_plus_2|201475_x_at|201475_x_at	hgnc_symbol|MARS|MARS
affy_hg_u133_plus_2|224839_s_at|224839_s_at	hgnc_symbol|GPT2|GPT2
affy_hg_u133_plus_2|226728_at|226728_at	hgnc_symbol|SLC27A1|SLC27A1
affy_hg_u133_plus_2|207437_at|207437_at	hgnc_symbol|NOVA1|NOVA1
affy_hg_u133_plus_2|232689_at|232689_at	hgnc_symbol|LOC284561|LOC284561
affy_hg_u133_plus_2|233737_s_at|233737_s_at	hgnc_symbol|LOC284561|LOC284561
affy_hg_u133_plus_2|206644_at|206644_at	hgnc_symbol|NR0B1|NR0B1
affy_hg_u133_plus_2|210394_x_at|210394_x_at	hgnc_symbol|SSX4 /// SSX4B|SSX4 /// SSX4B
affy_hg_u133_plus_2|207195_at|207195_at	hgnc_symbol|CNTN6|CNTN6
affy_hg_u133_plus_2|242888_at|242888_at
affy_hg_u133_plus_2|238131_at|238131_at	hgnc_symbol|PHC2|PHC2
affy_hg_u133_plus_2|205899_at|205899_at	hgnc_symbol|CCNA1|CCNA1
affy_hg_u133_plus_2|208693_s_at|208693_s_at	hgnc_symbol|GARS|GARS
affy_hg_u133_plus_2|208425_s_at|208425_s_at	hgnc_symbol|TANC2|TANC2
affy_hg_u133_plus_2|213671_s_at|213671_s_at	hgnc_symbol|MARS|MARS
affy_hg_u133_plus_2|203320_at|203320_at	hgnc_symbol|SH2B3|SH2B3
affy_hg_u133_plus_2|1561757_a_at|1561757_a_at	hgnc_symbol|LOC283352|LOC283352
affy_hg_u133_plus_2|202898_at|202898_at	hgnc_symbol|SDC3|SDC3
affy_hg_u133_plus_2|220150_s_at|220150_s_at	hgnc_symbol|FAM184A|FAM184A
affy_hg_u133_plus_2|225527_at|225527_at	hgnc_symbol|CEBPG|CEBPG
affy_hg_u133_plus_2|1558212_at|1558212_at	hgnc_symbol|FLJ35024|FLJ35024
affy_hg_u133_plus_2|226232_at|226232_at	hgnc_symbol|GDF11|GDF11
affy_hg_u133_plus_2|225927_at|225927_at	hgnc_symbol|MAP3K1|MAP3K1
affy_hg_u133_plus_2|1554308_s_at|1554308_s_at	hgnc_symbol|GABRA2|GABRA2
affy_hg_u133_plus_2|203639_s_at|203639_s_at	hgnc_symbol|FGFR2|FGFR2
affy_hg_u133_plus_2|210683_at|210683_at	hgnc_symbol|NRTN|NRTN
affy_hg_u133_plus_2|208510_s_at|208510_s_at	hgnc_symbol|PPARG|PPARG
