# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|238439_at|238439_at	hgnc_symbol|ANKRD22|ANKRD22
affy_hg_u133_plus_2|204286_s_at|204286_s_at	hgnc_symbol|PMAIP1|PMAIP1
affy_hg_u133_plus_2|240982_at|240982_at	hgnc_symbol|CARS|CARS
affy_hg_u133_plus_2|208373_s_at|208373_s_at	hgnc_symbol|P2RY6|P2RY6
affy_hg_u133_plus_2|225864_at|225864_at	hgnc_symbol|FAM84B|FAM84B
affy_hg_u133_plus_2|220335_x_at|220335_x_at	hgnc_symbol|CES3|CES3
affy_hg_u133_plus_2|219412_at|219412_at	hgnc_symbol|RAB38|RAB38
affy_hg_u133_plus_2|204971_at|204971_at	hgnc_symbol|CSTA|CSTA
affy_hg_u133_plus_2|204348_s_at|204348_s_at
affy_hg_u133_plus_2|204011_at|204011_at	hgnc_symbol|SPRY2|SPRY2
affy_hg_u133_plus_2|223196_s_at|223196_s_at	hgnc_symbol|SESN2|SESN2
affy_hg_u133_plus_2|207149_at|207149_at	hgnc_symbol|CDH12|CDH12
affy_hg_u133_plus_2|239675_at|239675_at
affy_hg_u133_plus_2|201976_s_at|201976_s_at	hgnc_symbol|MYO10|MYO10
affy_hg_u133_plus_2|236281_x_at|236281_x_at	hgnc_symbol|HTR7|HTR7
affy_hg_u133_plus_2|203786_s_at|203786_s_at	hgnc_symbol|TPD52L1|TPD52L1
affy_hg_u133_plus_2|218918_at|218918_at	hgnc_symbol|MAN1C1|MAN1C1
affy_hg_u133_plus_2|201012_at|201012_at	hgnc_symbol|ANXA1|ANXA1
affy_hg_u133_plus_2|232549_at|232549_at	hgnc_symbol|RBM11|RBM11
affy_hg_u133_plus_2|202597_at|202597_at	hgnc_symbol|IRF6|IRF6
affy_hg_u133_plus_2|211597_s_at|211597_s_at	hgnc_symbol|HOPX|HOPX
affy_hg_u133_plus_2|200771_at|200771_at	hgnc_symbol|LAMC1|LAMC1
affy_hg_u133_plus_2|225611_at|225611_at
affy_hg_u133_plus_2|226726_at|226726_at	hgnc_symbol|MBOAT2|MBOAT2
affy_hg_u133_plus_2|212171_x_at|212171_x_at	hgnc_symbol|VEGFA|VEGFA
affy_hg_u133_plus_2|219622_at|219622_at	hgnc_symbol|RAB20|RAB20
affy_hg_u133_plus_2|205048_s_at|205048_s_at	hgnc_symbol|PSPH|PSPH
affy_hg_u133_plus_2|214930_at|214930_at	hgnc_symbol|SLITRK5|SLITRK5
affy_hg_u133_plus_2|212813_at|212813_at
affy_hg_u133_plus_2|208524_at|208524_at	hgnc_symbol|GPR15|GPR15
affy_hg_u133_plus_2|203349_s_at|203349_s_at	hgnc_symbol|ETV5|ETV5
affy_hg_u133_plus_2|228256_s_at|228256_s_at	hgnc_symbol|EPB41L4A|EPB41L4A
affy_hg_u133_plus_2|220214_at|220214_at	hgnc_symbol|ZNF215|ZNF215
affy_hg_u133_plus_2|209383_at|209383_at	hgnc_symbol|DDIT3|DDIT3
affy_hg_u133_plus_2|220892_s_at|220892_s_at	hgnc_symbol|PSAT1|PSAT1
affy_hg_u133_plus_2|223642_at|223642_at	hgnc_symbol|ZIC2|ZIC2
affy_hg_u133_plus_2|205498_at|205498_at	hgnc_symbol|GHR|GHR
affy_hg_u133_plus_2|219703_at|219703_at	hgnc_symbol|MNS1|MNS1
affy_hg_u133_plus_2|227174_at|227174_at	hgnc_symbol|WDR72|WDR72
affy_hg_u133_plus_2|209589_s_at|209589_s_at	hgnc_symbol|EPHB2|EPHB2
affy_hg_u133_plus_2|229146_at|229146_at	hgnc_symbol|C7orf31|C7orf31
affy_hg_u133_plus_2|202052_s_at|202052_s_at	hgnc_symbol|RAI14|RAI14
affy_hg_u133_plus_2|1553027_a_at|1553027_a_at	hgnc_symbol|KLHL4|KLHL4
affy_hg_u133_plus_2|212294_at|212294_at	hgnc_symbol|GNG12|GNG12
affy_hg_u133_plus_2|205051_s_at|205051_s_at	hgnc_symbol|KIT|KIT
affy_hg_u133_plus_2|230788_at|230788_at	hgnc_symbol|GCNT2|GCNT2
