# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_mouse430_2|1449195_s_at|1449195_s_at	mgi_symbol|Cxcl16|Cxcl16
affy_mouse430_2|1452521_a_at|1452521_a_at	mgi_symbol|Plaur|Plaur
affy_mouse430_2|1455197_at|1455197_at	mgi_symbol|Rnd1|Rnd1
affy_mouse430_2|1417706_at|1417706_at	mgi_symbol|Naglu|Naglu
affy_mouse430_2|1428911_at|1428911_at	mgi_symbol|Ttll4|Ttll4
affy_mouse430_2|1429009_at|1429009_at	mgi_symbol|Snrp70|Snrp70
affy_mouse430_2|1427147_at|1427147_at	mgi_symbol|F730047E07Rik|F730047E07Rik
affy_mouse430_2|1430309_at|1430309_at	mgi_symbol|Nipbl|Nipbl
affy_mouse430_2|1433909_at|1433909_at	mgi_symbol|Syt17|Syt17
affy_mouse430_2|1445037_at|1445037_at	mgi_symbol|6430510B20Rik|6430510B20Rik
affy_mouse430_2|1415703_at|1415703_at	mgi_symbol|Huwe1|Huwe1
affy_mouse430_2|1455160_at|1455160_at	mgi_symbol|2610203C20Rik|2610203C20Rik
affy_mouse430_2|1430388_a_at|1430388_a_at	mgi_symbol|Sulf2|Sulf2
affy_mouse430_2|1456880_at|1456880_at	mgi_symbol|Sfrs8|Sfrs8
affy_mouse430_2|1424843_a_at|1424843_a_at	mgi_symbol|Gas5|Gas5
affy_mouse430_2|1418090_at|1418090_at	mgi_symbol|Plvap|Plvap
affy_mouse430_2|1451601_a_at|1451601_a_at	mgi_symbol|BC011467|BC011467
affy_mouse430_2|1428967_at|1428967_at	mgi_symbol|Igf1r|Igf1r
affy_mouse430_2|1422622_at|1422622_at	mgi_symbol|Nos3|Nos3
affy_mouse430_2|1429749_at|1429749_at	mgi_symbol|9330180L21Rik|9330180L21Rik
affy_mouse430_2|1430139_at|1430139_at	mgi_symbol|Hells|Hells
affy_mouse430_2|1422546_at|1422546_at	mgi_symbol|Ilf3|Ilf3
affy_mouse430_2|1433460_at|1433460_at	mgi_symbol|Ttc7b|Ttc7b
affy_mouse430_2|1427891_at|1427891_at	mgi_symbol|Gimap6|Gimap6
affy_mouse430_2|1452439_s_at|1452439_s_at	mgi_symbol|Sfrs2|Sfrs2
affy_mouse430_2|1456791_at|1456791_at	mgi_symbol|AA407452|AA407452
affy_mouse430_2|1430075_at|1430075_at	mgi_symbol|Sf3b3|Sf3b3
affy_mouse430_2|1418379_s_at|1418379_s_at	mgi_symbol|Gpr124|Gpr124
affy_mouse430_2|1420682_at|1420682_at	mgi_symbol|Chrnb1|Chrnb1
affy_mouse430_2|1428951_at|1428951_at	mgi_symbol|Nol8|Nol8
affy_mouse430_2|1452072_at|1452072_at	mgi_symbol|Myct1|Myct1
affy_mouse430_2|1424089_a_at|1424089_a_at	mgi_symbol|Tcf4|Tcf4
affy_mouse430_2|1431293_a_at|1431293_a_at	mgi_symbol|Cldnd1|Cldnd1
affy_mouse430_2|1434131_at|1434131_at	mgi_symbol|Rufy1|Rufy1
affy_mouse430_2|1434740_at|1434740_at	mgi_symbol|Scarf2|Scarf2
affy_mouse430_2|1416818_at|1416818_at	mgi_symbol|Parva|Parva
affy_mouse430_2|1416214_at|1416214_at	mgi_symbol|Mcm4|Mcm4
affy_mouse430_2|1422272_at|1422272_at	mgi_symbol|Phxr4|Phxr4
affy_mouse430_2|1426790_at|1426790_at	mgi_symbol|Ssrp1|Ssrp1
affy_mouse430_2|1437896_at|1437896_at	mgi_symbol|Zcrb1|Zcrb1
affy_mouse430_2|1417947_at|1417947_at	mgi_symbol|Pcna|Pcna
affy_mouse430_2|1452912_at|1452912_at	mgi_symbol|2600005O03Rik|2600005O03Rik
affy_mouse430_2|1418587_at|1418587_at	mgi_symbol|Traf3|Traf3
affy_mouse430_2|1438700_at|1438700_at	mgi_symbol|Fnbp4|Fnbp4
affy_mouse430_2|1436520_at|1436520_at	mgi_symbol|AI450948|AI450948
affy_mouse430_2|1452821_at|1452821_at	mgi_symbol|Tial1|Tial1
