# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|58488|58488	hgnc_symbol|PCTP|PCTP
entrezgene|5174|5174	hgnc_symbol|PDZK1|PDZK1
entrezgene|51808|51808	hgnc_symbol|PHAX|PHAX
entrezgene|23187|23187	hgnc_symbol|PHLDB1|PHLDB1
entrezgene|9488|9488	hgnc_symbol|PIGB|PIGB
entrezgene|5570|5570	hgnc_symbol|PKIB|PKIB
entrezgene|5316|5316	hgnc_symbol|PKNOX1|PKNOX1
entrezgene|10761|10761	hgnc_symbol|PLAC1|PLAC1
entrezgene|55041|55041	hgnc_symbol|PLEKHB2|PLEKHB2
entrezgene|79156|79156	hgnc_symbol|PLEKHF1|PLEKHF1
entrezgene|130271|130271	hgnc_symbol|PLEKHH2|PLEKHH2
entrezgene|5352|5352	hgnc_symbol|PLOD2|PLOD2
entrezgene|375775|375775	hgnc_symbol|PNPLA7|PNPLA7
entrezgene|5420|5420	hgnc_symbol|PODXL|PODXL
entrezgene|5493|5493	hgnc_symbol|PPL|PPL
entrezgene|5580|5580	hgnc_symbol|PRKCD|PRKCD
entrezgene|8073|8073	hgnc_symbol|PTP4A2|PTP4A2
entrezgene|25837|25837	hgnc_symbol|RAB26|RAB26
entrezgene|11031|11031	hgnc_symbol|RAB31|RAB31
entrezgene|51195|51195	hgnc_symbol|RAPGEFL1|RAPGEFL1
entrezgene|158158|158158	hgnc_symbol|RASEF|RASEF
entrezgene|5936|5936	hgnc_symbol|RBM4|RBM4
entrezgene|1827|1827	hgnc_symbol|RCAN1|RCAN1
entrezgene|85004|85004	hgnc_symbol|RERG|RERG
entrezgene|5979|5979	hgnc_symbol|RET|RET
entrezgene|27289|27289	hgnc_symbol|RND1|RND1
entrezgene|388591|388591	hgnc_symbol|RNF207|RNF207
entrezgene|6120|6120	hgnc_symbol|RPE|RPE
entrezgene|56475|56475	hgnc_symbol|RPRM|RPRM
entrezgene|57167|57167	hgnc_symbol|SALL4|SALL4
entrezgene|9723|9723	hgnc_symbol|SEMA3E|SEMA3E
entrezgene|118980|118980	hgnc_symbol|SFXN2|SFXN2
entrezgene|23678|23678	hgnc_symbol|SGK3|SGK3
