Probe ID	Entrez ID	Gene Symbol	FC	P Value	FDR
3uIneDntQVSejuSnFA	51601	LIPT1	1.5096	6.32E-05	0.00083581
NkgchVZRJJd4L6EkAU	351	APP	1.5088	0.00030739	0.0027248
WokXUp_QIC4pd_s1.U	5218	PFTK1	1.5077	5.14E-05	0.0007093
lFF5Z40l871QIleLLk	114928	GPRASP2	1.5077	0.00010824	0.0012431
ltS76e8uz_M95e3XTo	84159	ARID5B	1.5056	0.00081335	0.0057014
rNWwSR7oMRXwQvol6Y	6653	SORL1	1.5056	4.04E-05	0.00059179
QnkeVInuOd7E37_yRE	55502	HES6	1.5043	3.41E-05	0.00052407
lcNUrC0JcQ5XIoIsAU	9474	ATG5	1.5043	0.00086948	0.0060043
r93nTRGl9pHsn_rrqc	51650	MRPS33	1.5035	0.00056818	0.0043407
uk64.r9OdO7SM59XQE	8382	NME5	1.503	5.60E-05	0.00075749
o6VOm1J95_DH9Llaic	147081	C17orf69	1.503	3.90E-06	0.00010949
6PfJ5qKSeWCXgHeXnc	83464	APH1B	1.5021	0.0011031	0.0072175
09Z2pfVIJte4d6iK4Q	8912	CACNA1H	1.501	9.85E-05	0.0011615
Hw3ya7V1El6RrrSDko	54845	RBM35A	1.5007	5.03E-06	0.00013262
ZSGY24kKU_H7pEBHuo	51256	TBC1D7	1.5001	0.0011178	0.0072716
NeUv3for6T7AooEnwo	10289	EIF1B	1.5	0.00080124	0.005639
cR5KkmrPddVFwt3qCA	6051	RNPEP	-1.5	0.00039472	0.0032853
QqTc4brSrtT1w06pI4	65123	INTS3	-1.5005	1.75E-05	0.0003186
KeRf6rTn_yS7dX5hdk	51281	ANKMY1	-1.5006	7.18E-06	0.00017288
WUR3Y971PrezNzfotI	5046	PCSK6	-1.5013	2.08E-06	7.02E-05
rpUbpNjXV5WYLhL8QA	87	ACTN1	-1.5021	0.001048	0.0069723
NZ6BfqQoIO4kIsiIuU	91543	RSAD2	-1.5039	1.07E-05	0.00022657
05Tpl.rWQjP30Rn1QE	1138	CHRNA5	-1.5061	8.69E-06	0.00019897
36HqUBcKuCun2qtuug	4691	NCL	-1.5071	1.39E-05	0.00027558
0p534Nte.3_XLPJFEo	3192	HNRNPU	-1.5072	1.14E-05	0.00023737
HXtejl3giKhIW0gHog	5351	PLOD1	-1.5076	0.00028396	0.002569
iU7tU3QlEiQdEqx9EU	121260	SLC15A4	-1.5083	4.96E-05	0.00068859
rlBFB2yfy6SOoutEh0	23306	TMEM194A	-1.5104	1.45E-05	0.00028037
HtP0XXvXKB3U9UJPlI	138046	RALYL	-1.5106	6.00E-06	0.00015085
KLh7rtfiOdE8eVpeXU	57176	VARS2	-1.5106	0.00017648	0.0017883
cqCkUk4tURFSX3T9yI	91107	TRIM47	-1.5121	0.00040997	0.0033921
cTSFK3c6S7DLpKKARE	86	ACTL6A	-1.5123	4.61E-05	0.00065181
3kkAUB6t9J.NVv35Co	3038	HAS3	-1.513	8.00E-06	0.00018775
ElF3J5OF_pCc7BVD5c	10712	C1orf2	-1.5141	3.00E-05	0.00047886
f_uHe5X53cH3iVF1So	3712	IVD	-1.5162	2.71E-05	0.00044152
u3o7h3vFf9UQjKKg1U	79000	C1orf135	-1.5164	5.16E-07	2.54E-05
9KF6mXqAOg5BUT7AlE	80724	ACAD10	-1.5169	0.00083821	0.0058394
xnSItd3DnXIUqH4VPI	57122	NUP107	-1.517	0.00034668	0.0029893
fW1HXXHs.z6ErSHZao	6597	SMARCA4	-1.5176	0.00036043	0.0030827
u2UUepfv9Zw9SpI9So	4669	NAGLU	-1.5179	0.00011085	0.0012657
lLROR6GKlgHXt5zYlc	84948	TIGD5	-1.5185	2.22E-05	0.00037994
rltvjvPag8pN5Xjjnk	5304	PIP	-1.5197	0.00033974	0.0029488
lKF_Xd6De0FS.6nUro	26027	ACOT11	-1.5198	3.02E-07	1.75E-05
iFJ9Ac7AKH0ULypdeo	84515	MCM8	-1.5198	0.00015022	0.0015995
u_Sp0JRQ3OCF0pSquI	10419	PRMT5	-1.5205	3.46E-06	0.00010044
rpT9IfqI4pp77T5414	348093	RBPMS2	-1.5209	5.34E-05 -	0.00072956
oJEiuCghLmxqJS0uiQ	4791	NFKB2	1.5214	0.0001952	0.0019257
oSpKX73ge.Z94e8BFg	9315	C5orf13	-1.5215	4.82E-06	0.00012886
B44l6gKLu95eVvEuiY	65980	BRD9	-1.5222	2.62E-06	8.29E-05
ZiQmZqtf5b6fcucsNM	9638	FEZ1	-1.5222	5.01E-05	0.00069378
WebhLrV3VaH5H71_.U	22827	PUF60	-1.5224	2.67E-05	0.00043604
T_bfHe90mEvl57Swno	595097	SNORD16	-1.523	1.00E-05	0.0002185
cWqPBSbzQUgnAo44r4	3945	LDHB	-1.5232	0.00019716	0.0019402
fTneb76.RSfeV0TkSo	6574	SLC20A1	-1.5232	0.00019748	0.0019421
05L59LFTDs9_t1XEkg	2146	EZH2	-1.5235	4.23E-05	0.00061226
NTnKfigggAZ9pPdfKE	10202	DHRS2	-1.5236	9.90E-06	0.00021685
9.qEIlev9xnlfpRRHk	5296	PIK3R2	-1.524	0.0013738	0.0084602
ZdTpXaWfkVnd77Ef0M	5496	PPM1G	-1.5248	0.00010675	0.0012322
QUSofik5L6itena.nM	81545	FBXO38	-1.5249	5.77E-05	0.00077347
KpRe1Fu6lue7XztPsM	10608	MXD4	-1.5255	0.00021725	0.0020885
H6R4UoCHl3hXfJISJU	55572	FOXRED1	-1.5259	7.32E-06	0.00017563
coV66q6dfdHno1of.A	10362	HMG20B	-1.5264	0.00057136	0.0043587
BCVPXu7W15T8lEgp5o	79850	FAM57A	-1.528	2.76E-06	8.64E-05
fSQgQDQpHV7kv_UnUo	122769	PPIL5	-1.5284	3.58E-06	0.00010252
3eV9Urj3sL7V0Hsfog	55750	AGK	-1.5285	1.16E-05	0.00024026
WVUPU0hQp5C6V1Pbu4	10072	DPP3	-1.5286	0.0001466	0.0015707
lo1eNU.13htRdcVTKI	1017	CDK2	-1.5335	0.00014198	0.001531
KeInUP01t5TaZTXkNw	6210	RPS15A	-1.5338	0.0012495	0.007904
oelKRQk7u5H7F66.d4	7884	SLBP	-1.5353	6.90E-07	3.15E-05
uqh7e05einfaRH1U38	10128	LRPPRC	-1.5356	0.00085679	0.0059374
ckKhzgu0jLlXTfipck	57405	SPC25	-1.5359	2.50E-06	7.98E-05
lNFaERNOfCPQeokxSo	51602	NOP5/NOP58	-1.5366	0.00019364	0.0019151
xVIIF0orBfqV9XnNf8	23082	PPRC1	-1.5379	0.00079015	0.0055758
oWp20SO0BV03.p5Mg4	93594	WDR67	-1.5388	0.00015602	0.0016416
Zt.fVGdP3NPdVThW3o	8710	SERPINB7	-1.5393	4.28E-05	0.00061659
r6EKf33NLJvxX_0Uuk	54517	PUS7	-1.5403	0.00025083	0.0023319
QXkZT3UXSzef2qBUF4	51559	NT5DC3	-1.5427	2.23E-05	0.0003808
rqVD33UYQ5WFk75EFQ	6419	SETMAR	-1.5432	2.43E-06	7.84E-05
BKS6Xoin_97Brl.3yo	26030	PLEKHG3	-1.5438	1.41E-05	0.00027754
ieV56egF6y4BDDVI1I	10549	PRDX4	-1.5444	2.75E-05	0.00044801
cjl4f19T66ujq6qk9Q	10103	TSPAN1	-1.546	0.0014811	0.0089502
ot96nUUt3lUUz1.tHE	55159	RFWD3	-1.5472	0.00034715	0.0029917
Bh95VJ.N7REKepF3Lk	5213	PFKM	-1.5483	6.13E-05	0.00081562
N6oTiekQQo33clQDbo	85444	LRRCC1	-1.5496	5.86E-05	0.00078188
op3vv4MBuBuBUpoKhU	84875	PARP10	-1.55	0.00045723	0.0036797
Tl9F63uh8xe7n6.ErU	191	AHCY	-1.5501	0.00015542	0.0016391
cUnrw4bcJcudydCIXc	54821	ERCC6L	-1.5504	1.62E-05	0.00030175
H5SXVArcIogAefUuvU	641	BLM	-1.5519	4.59E-07	2.32E-05
rX31EblYN57hejt_lI	5096	PCCB	-1.5519	1.77E-05	0.00032089
xSj4keD1CdR6T9LeG4	80071	CCDC15	-1.552	5.88E-06	0.0001492
3ZCM6nl55etRf5c9ng	79713	TMEM149	-1.5526	0.0016891	0.0098855
c12cHhPJU9K30SZ0x4	8187	ZNF239	-1.555	1.15E-05	0.00023943
fHgztF_dUIRpXdKCdU	8985	PLOD3	-1.5557	0.000278	0.0025296
EioGvouqNpeYCjHuA0	119559	SFXN4	-1.5568	7.27E-06	0.00017484
frhAHi16oC4etbrIlo	3177	SLC29A2	-1.5574	1.81E-05	0.00032747
WV4uwvFOukny.xzlEE	81930	KIF18A	-1.558	1.44E-05	0.00027992
QStf58UCilQ.R0Dv_I	6434	SFRS10	-1.5581	0.00012741	0.0014021
lnfRJOJOCVLpFA6erE	8671	SLC4A4	-1.5581	0.00011161	0.0012726
BXecb1z7TwKzRrZRek	4790	NFKB1	-1.5602	0.00017118	0.0017569
QSZJJdoVo_b_XyaM78	79180	EFHD2	-1.5609	0.00019896	0.0019506
9SKSKOeQiIAnkAillk	4716	NDUFB10	-1.5616	0.00037973	0.0031984
Koi5Igojafuv0V4oHo	4830	NME1	-1.5617	5.56E-06	0.00014375
ovcevcR7iukOo.nSOU	8659	ALDH4A1	-1.5637	6.42E-05	0.00084523
96VQxU.6CVe6W7o7aw	5909	RAP1GAP	-1.5645	0.00011614	0.0013082
HkSKPlX3f9InpXY5QM	9784	SNX17	-1.5645	2.94E-06	9.01E-05
rtGtHJ41dK3nkBEk6I	5420	PODXL	-1.5662	5.43E-05	0.00073804
99UqQp43vls8tb.REk	9235	IL32	-1.5666	0.00086258	0.0059647
Q_wieokBG.OLu2g1bk	23560	GTPBP4	-1.5675	0.00012031	0.0013434
rqEqc_MK1X675ffk3U	112770	C1orf85	-1.5679	9.69E-07	4.07E-05
N_vOIY3Z6hZV5W6AlE	79643	CHMP6	-1.5695	4.09E-06	0.00011303
lLhQjHTur6HlShEkjk	204	AK2	-1.57	9.89E-06	0.00021685
90.3m.Uk5X6AIdX8tU	25819	CCRN4L	-1.5736	1.19E-05	0.00024492
ZrKae7h3LfpVKCYKBA	114990	VASN	-1.574	8.36E-06	0.00019252
TdVw_E9zSVBXT3kqUU	8508	NIPSNAP1	-1.5746	5.43E-07	2.62E-05
0h575QxdIdSoCIopTQ	2542	SLC37A4	-1.5757	7.88E-07	3.49E-05
0XpPp_uiiXOjCuigoU	201299	RDM1	-1.57610.00013854	0.0014975	0.0014975
WFE.ekm.VIRV3nKU1c	23413	FREQ	-1.5774	9.32E-05	0.0011135
WiuuqFKnOoukrPOEtg	5935	RBM3	-1.5776	2.06E-05	0.00035885
fpJVeC5QiJ4iiS_4dw	7004	TEAD4	-1.5788	7.81E-06	0.00018386
WkpUoIEk0oLUgpAIJI	10615	SPAG5	-1.5795	7.01E-06	0.00016937
36FHzuY1uhR_bmN7aU	10785	WDR4	-1.5796	1.22E-05	0.00024902
laDrQERISKKUxIVvQg	7443	VRK1	-1.5798	1.96E-05	0.0003474
uAAYeVNWrX9Xjq_qS8	5606	MAP2K3	-1.5805	3.64E-07	1.95E-05
Nlp7tfXlEdqj09fIB4	80305	TRABD	-1.5817	4.11E-06	0.00011333
oJfvfK.oEt63Xu.Tv0	54830	NUP62CL	-1.5829	6.01E-07	2.81E-05
NmXo95T5hE._5f0lXo	8662	EIF3B	-1.5843	9.78E-05	0.0011575
3hHTG3HqKNCkniCCgk	81624	DIAPH3	-1.5848	3.12E-07	1.79E-05
6H3H5QTeX56H7Oo_3U	55133	SRBD1	-1.5857	0.00051464	0.0040309
QnXJTIn1.UgV9R5UO4	113791	PIK3IP1	-1.5858	1.76E-06	6.33E-05
314xQjiCOncNJ4hJFI	201725	C4orf46	-1.5861	6.43E-05	0.00084558
iF6gV0rdyuKt_OKEgs	9221	NOLC1	-1.5864	0.00018262	0.0018325
TdRf7_R3vl7iif3pO4	51776	ZAK	-1.5869	2.04E-06	6.93E-05
ZhAGpmOOV6f0q60geg	148022	TICAM1	-1.5891	0.00011013	0.0012595
3deo33PeR10l6MUk14	2491	CENPI	-1.5897	3.30E-07	1.83E-05
0JUZ6I0FUpGZ00IJ4M	10131	TRAP1	-1.5902	1.05E-05	0.00022443
Qe0WCUoJVv7Cbu_658	9555	H2AFY	-1.5905	1.25E-07	9.31E-06
Kkjn_VKfdFGuxajPAU	3030	HADHA	-1.5907	0.0001712	0.0017569
oHjV5_5KUuinfqfogQ	2030	SLC29A1	-1.5911	3.35E-06	9.85E-05
3aZ9UkUE7BaTv1JIIQ	595	CCND1	-1.5936	0.000687	0.0050042
QrDm7p4OpMFHun37nk	55504	TNFRSF19	-1.5948	5.84E-06	0.00014919
od6Lrsx5RNLv4tLVSI	203068	TUBB	-1.5971	0.00088505	0.0060932
xVkl.VQiRUESQgJUeA	10195	ALG3	-1.5976	3.77E-05	0.00056382
9XqXh7q3rqTTz6hTfQ	3122	HLA-DRA	-1.5976	4.00E-06	0.00011128
xjpUt9zVUXACFCT45U	8635	RNASET2	-1.5977	0.00010936	0.0012532
uqErQ72dFfSl0nkI0k	171568	POLR3H	-1.5981	7.28E-05	0.00092151
K1Imtl1Ov6Ci7.cSjU	4285	MIPEP	-1.5989	8.27E-06	0.00019174
Qu_z0gAaoio58PpXpk	5422	POLA1	-1.5992	0.00015547	0.0016391
0e5.F1_V_7dK7rV5ec	79709	GLT25D1	-1.5994	3.41E-05	0.00052407
ZQReUvNEYKOFUqh0u4	9218	VAPA	-1.6002	9.67E-07	4.07E-05
uh7748vPPkCR7RaXSo	5198	PFAS	-1.6006	1.28E-06	5.00E-05
fIAk8VP_aUL1YYinoU	57706	DENND1A	-1.6017	2.88E-06	8.88E-05
in7S1rfIjFd.XguKbk	112616	CMTM7	-1.6028	0.0001885	0.0018819
EC1yOkA26V0ecK5In4	29893	PSMC3IP	-1.6051	3.58E-05	0.00054325
ol9ui.hDisSkqknZjk	6626	SNRPA	-1.6061	0.0011128	0.0072599
iLe0X4lqYme6lCSq_Q	516	ATP5G1	-1.6076	0.0015319	0.0091939
352KZNKVv.xS.M0a30	79651	RHBDF2	-1.6082	0.00013479	0.0014664
fKROo6O1LnFFQlV198	10158	PDZK1IP1	-1.6087	0.00012907	0.0014164
uihtWnqOC3rrq2wvyg	8870	IER3	-1.6091	5.82E-05	0.00077788
Nkl_jf3TFQBPoSOebE	10592	SMC2	-1.6097	5.36E-05	0.00073039
u0etuXVJK5Ij3yCKK4	158	ADSL	-1.6101	2.29E-06	7.46E-05
HFS7.KJOLlu7ubXtok	4599	MX1	-1.6115	4.33E-07	2.20E-05
uV6nvqKBI4hLpzIJH4	3656	IRAK2	-1.6116	8.17E-08	6.56E-06
EXTn1LAUVaP0oJfuhE	55706	TMEM48	-1.6116	7.59E-05	0.00095163
KJ1Ar0e795Z7XovtFE	115265	DDIT4L	-1.6124	5.48E-05	0.00074304
3lyuECQhUSwJVRFU3Q	80020	FOXRED2	-1.6125	6.83E-05	0.00088182
olKBHuht.vSCo0r6qk	7203	CCT3	-1.6127	1.58E-05	0.00029774
KmuIV6TRhCDUceNE6E	90417	C15orf23	-1.6131	3.68E-06	0.00010465
TUVKqWfVHfqV6.7zj8	84261	FBXW9	-1.615	2.87E-07	1.69E-05
luZeJI0NRS5AEqcGkU	65263	PYCRL	-1.6151	0.00031066	0.0027477
ThXoftPP7eqpHq4J4I	29925	GMPPB	-1.6171	0.00032664	0.0028543
QoyKLD7y6k6j_._or8	219	ALDH1B1	-1.6177	4.25E-06	0.00011638
ZUCXcuxfXXfHTU1S0E	10866	HCP5	-1.6178	1.06E-06	4.36E-05
KVb81O7U_GlNzvn32k	57714	KIAA1618	-1.6179	1.88E-06	6.59E-05
60dCSemkioKp4MBl6I	29952	DPP7	-1.6184	0.00016908	0.0017407
NFllqReUUJB79P.z.U	3785	KCNQ2	-1.62	9.24E-06	0.00020642
fkoh4VIctUiI5UdPbQ	375444	C5orf34	-1.6229	4.52E-05	0.00064265
rp.cFx1eDWrXT7gOTk	2967	GTF2H3	-1.6239	3.96E-05	0.000581
lEdet6Oqeefi5Iqeaw	60386	SLC25A19	-1.6252	7.34E-06	0.00017587
B4q8hqgh6SopGSse4A	56257	MEPCE	-1.6252	0.00024196	0.0022735
r_7v.Xrn0Im7kqQuW0	84733	CBX2	-1.6273	1.56E-05	0.00029405
uSp6d678QnodKjXXpY	11253	MAN1B1	-1.6296	8.16E-05	0.0010039
KWfoRgQJRH3B596YHg	10492	SYNCRIP	-1.6298	0.00033184	0.0028899
KrziRI9QJSPFyvaIVk	11169	WDHD1	-1.6303	7.46E-05	0.00093877
QKkVdd4I1exG676h6A	8608	RDH16	-1.6323	2.81E-07	1.66E-05
0kuM6SCEUiSOSIlP_4	3181	HNRNPA2B1	-1.6343	0.0013462	0.0083523
0d83FzheYnlRRVS__Y	51512	GTSE1	-1.636	1.64E-07	1.15E-05
rXL19elXd0enqAVyFM	7867	MAPKAPK3	-1.6369	1.68E-06	6.12E-05
WC0d9UClhMI0096OCQ	5982	RFC2	-1.6369	1.11E-05	0.00023199
rV0XE9TLqVuqdeuTfA	7106	TSPAN4	-1.6369	0.00012496	0.0013823
ZQULXjokIpUZcqjkIE	55964	SEPT3	-1.6402	2.57E-06	8.15E-05
orlJdfFNGn0eK7K6v8	993	CDC25A	-1.6419	2.00E-07	1.29E-05
NijoXRcdZEW4AB6A6k	150084	IGSF5	-1.6431	4.73E-05	0.00066521
Zj_k7fVNL0rQC5PvuI	286826	LIN9	-1.6433	0.00011187	0.0012746
riSE4RJ.kqKfd_tc9k	63979	FIGNL1	-1.6439	4.71E-05	0.00066316
Kl_i51Ul.QsLjjiTiA	151246	SGOL2	-1.6498	4.29E-05	0.00061711
uVpKyvI7q65O8P1fII	10768	AHCYL1	-1.6507 4.74E-05	0.00066537	0.00066537
xij3cugh0gPpG7ngoE	51053	GMNN	-1.6515	5.43E-06	0.0001409
c38h1I1cVdJBydV7aU	79759	ZNF668	-1.6516	3.51E-07	1.91E-05
iXVSKgkoOKUALuT6Mo	41	ACCN2	-1.6551	3.19E-05	0.0004979
ZdHHmv5e5ehDimiUe8	987	LRBA	-1.6551	0.00068255	0.0049776
iXxN6egJIl16gRN6eQ	7517	XRCC3	-1.6553	8.21E-06	0.0001916
uXnlI7s4OlIN5NCV14	4200	ME2	-1.6555	3.71E-05	0.00055791
TIOl54HqO6B7pq6Irc	92856	IMP4	-1.6577	0.001147	0.0074131
WR1KULuXyRi4US.DIU	55536	CDCA7L	-1.6623	4.98E-06	0.00013177
KlB6fjr0PLCcP3VEVk	79805	VASH2	-1.6628	0.00028072	0.0025469
cEKReT0SmleJF6veH8	80169	C17orf68	-1.663	0.00039202	0.003268
fwl.o.Al74p6Lyikj4	9045	RPL14	-1.6633	1.90E-06	6.65E-05
0aj4oK1kSXt3nS_QwE	8751	ADAM15	-1.664	0.00071387	0.0051596
fkoPdfCooiQkrulUn0	83543	C9orf58	-1.6649	8.09E-07	3.55E-05
u6kj_19U95BTpCb1FM	55247	NEIL3	-1.6651	1.21E-06	4.79E-05
6XS.03dSUW7.XVsQUo	113115	FAM54A	-1.6653	1.76E-07	1.21E-05
lZe9S6nSC0UFDHSiBU	8309	ACOX2	-1.6658	7.46E-08	6.11E-06
QU9N1V0DTJcEgR.gJ0	79644	SRD5A3	-1.6658	9.08E-06	0.00020383
Qgkrou354oA6AvrK0U	56992	KIF15	-1.6664	9.03E-06	0.00020383
NEx_V6cXRanvPnoNIo	55157	DARS2	-1.668	0.00057803	0.0043947
Bef6IDFGGs_AKSSKHU	83540	NUF2	-1.6685	5.66E-06	0.00014557
6UKFA16L3VB.Io6Aqk	221150	C13orf3	-1.6695	4.96E-06	0.00013139
0p9dXIr0ApEPIK2.oI	57650	KIAA1524	-1.6719	2.26E-05	0.0003841
BdJt1U56nRxOpSV_dw	5211	PFKL	-1.6738	2.86E-05	0.00046123
rk5Vjf0RHrhXiIoqKI	55210	ATAD3A	-1.6753	5.86E-06	0.0001492
rSXVW1UE5N0d6u3638	6624	FSCN1	-1.6754	1.33E-07	9.74E-06
Br6C9JUB4KqU5ftSR4	2648	KAT2A	-1.6758	0.00034316	0.0029671
3Qf0iXfs.oKegqVIf4	10250	SRRM1	-1.6798	0.00026505	0.0024355
Zhq6dHlPtFK_gd_Xe4	4839	NOL1	-1.6799	1.18E-05	0.00024338
fdXvu97FLk4BV7RM1U	6228	RPS23	-1.6809	0.00049562	0.0039169
io1S7lTV0F10uNB06U	9750	FAM65B	-1.6811	3.43E-07	1.88E-05
9l3XyK4O4OCXVKRWeA	55612	FERMT1	-1.6819	1.99E-07	1.29E-05
TnRCUz6Vjy6x7eHRu4	27346	TMEM97	-1.6867	2.68E-06	8.42E-05
BJFL1tPdvXqgVUd4Xs	10295	BCKDK	-1.6883	3.44E-06	0.00010007
cNEhRi5f1aF6G_XUiQ	220323	OAF	-1.6898	0.00011597	0.0013072
3tSO5d.p6q966G.Quk	10807	SDCCAG3	-1.6902	4.89E-06	0.00013046
WleDgRX0vki0nvtJJU	6296	ACSM3	-1.6904	5.60E-06	0.00014452
6zhu2h0pSegTuSV6Ls	5214	PFKP	-1.6953	8.35E-07	3.63E-05
ufoLrl7oisCen9iKAE	11200	CHEK2	-1.6966	5.15E-07	2.54E-05
lharorgoClOxPhHirE	5888	RAD51	-1.702	1.29E-06	5.03E-05
fqLqHibWSK4WAJbOOM	22980	TCF25	-1.7031	1.18E-06	4.67E-05
EgLJQqh466EdSO6_gk	4678	NASP	-1.7047	6.39E-07	2.96E-05
cSj1OhRehCQFQHWCH4	6347	CCL2	-1.7069	7.28E-05	0.00092151
lSep7.fCp_P1CpRN3k	9721	GPRIN2	-1.7103	3.37E-07	1.85E-05
BKGRXR1Xnl9HX94UJA	30812	SOX8	-1.7108	2.59E-06	8.19E-05
Tk14qaIFIIY4p15AKw	55646	LYAR	-1.7109	8.60E-06	0.00019711
919WLjFTgeUsinnNvU	10197	PSME3	-1.7131	5.64E-05	0.00076136
xn4dwXoiffC45V9Oic	54908	CCDC99	-1.7133	0.00014579	0.0015663
Nfm1foeXvj46Au3keE	26586	CKAP2	-1.7163	0.00017892	0.0018057
6iovSs3vuHrglexdeo	93082	LINCR	-1.7167	0.00038045	0.0032017
9OCzCXcercz7g015f0	9497	SLC4A7	-1.7186	0.00039255	0.0032707
9l5aOODpOCeLpYiPhs	4670	HNRNPM	-1.7193	0.0012821	0.0080713
QQ4tXoGUjm4DoIgf5Y	7431	VIM	-1.7219	7.40E-07	3.34E-05
xXr1R31Ql1ah6hO.kM	80142	PTGES2	-1.7239	2.34E-05	0.00039256
o9VQlJ0554UeHSd4X0	4117	MAK	-1.7254	1.02E-06	4.22E-05
xXQSlSoqC7iZfrOHwA	3659	IRF1	-1.7263	6.35E-07	2.94E-05
o9R15Vl0VROdXv3Tn8	55038	CDCA4	-1.7302	1.79E-06	6.39E-05
ojuZu3V5S8VKfR32Bc	255189	PLA2G4F	-1.7316	3.01E-06	9.13E-05
TpU8h7_SpNHn1V4RdE	64785	GINS3	-1.7326	5.36E-07	2.60E-05
uv_rrl3zHO_z1yEKA4	162681	C18orf54	-1.7326	2.22E-06	7.31E-05
rdxCJV5V3vopEv8gwo	5284	PIGR	-1.7328	1.14E-06	4.58E-05
BoR4ipDf5fzd4pzoq0	1019	CDK4	-1.7336	1.38E-06	5.22E-05
Hm0i2eJ__l435v6AgM	388394	RPRML	-1.7341	1.56E-05	0.00029416
QxSh0XeEJKIKwqVrSc	23203	PMPCA	-1.7356	1.29E-06	5.01E-05
uY4uasoluK593nuEBg	80233	C17orf70	-1.7382	0.00015996	0.0016764
lUpdd7h3qcXS.VT.pQ	56996	SLC12A9	-1.7387	8.59E-06	0.00019709
cJTeEkpRy4S.f_71zo	1326	MAP3K8	-1.7393	2.04E-05	0.00035704
xGRPW_XxWOn7hmiIFg	5725	PTBP1	-1.7411	0.00044494	0.003612
up5dX10lTyvARQICHo	118980	SFXN2	-1.744	6.02E-08	5.47E-06
ZegUHeVxdXkcFJ.ijo	6242	RTKN	-1.7447	1.07E-07	8.24E-06
6fU3p5HUKVXe1.0gRM	124222	PAQR4	-1.745	5.31E-06	0.00013879
lW4AaJ4EMp71TslV6U	7124	TNF	-1.7461	2.24E-05	0.00038205
uhJM0B9c6gAt66utJ4	8317	CDC7	-1.7488	5.09E-05	0.00070318
3J1BISCSJ0oK6OKU2U	7407	VARS	-1.7496	0.0001426	0.0015362
3qn9u1V7mtLv9LFF3c	57026	PDXP	-1.7513	4.35E-07	2.21E-05
xjqRejB0o6qedECFE0	220134	C18orf24	-1.7532	5.37E-07	2.60E-05
Tw.6HlET6xfy93gpUY	10606	PAICS	-1.7582	7.21E-05	0.00091629
QI4q05JB0nbQ0HU47o	5984	RFC4	-1.7618	4.33E-07	2.20E-05
QW23.5Gp32kkAcH0HU	83451	ABHD11	-1.7624	0.00012489	0.0013823
TpnrGwMhQ5Lyunf1CE	4940	OAS3	-1.7631	2.63E-07	1.57E-05
TK6XR6d90oQcJeetKk	80178	C16orf59	-1.7635	6.42E-06	0.0001585
xknVChEJ76jnH3SfRk	8479	HIRIP3	-1.7645	1.26E-05	0.00025357
on_s959RO5S_Xo_olM	2731	GLDC	-1.7646	1.07E-05	0.00022655
fLhCJ6ryjWvod4TaOU	6502	SKP2	-1.7663	6.74E-07	3.10E-05
3gRRofXYRTQiQXoSJU	3418	IDH2	-1.7681	4.73E-08	4.59E-06
xbqLufulXSAjLeenXI	388610	TNRP	-1.7719	9.51E-06	0.00021068
B2oL_Xpy4CtB7I54J4	2956	MSH6	-1.7725	0.0010954	0.0071759
QZQuEjkgEAVC1Fw014	9184	BUB3	-1.7748	2.03E-06	6.93E-05
EigSXiCh9.obuttKJE	63922	CHTF18	-1.7762	0.0013995	0.0085881
HS9GvnXqJ5V1bRNIF8	79751	SLC25A22	-1.7874	1.04E-05	0.00022362
91V_0SAUqHfSj_I6X4	27235	COQ2	-1.7944	5.09E-07	2.54E-05
EWW3QVdEonx6QE4ANo	6352	CCL5	-1.7947	3.06E-05	0.00048375
rBehCSaeoKErUMBld4	10025	MED16	-1.7955	0.00091533	0.0062527
ZVChN4dVxd.O3lS7Po	5427	POLE2	-1.7964	5.61E-07	2.69E-05
rhdeendlRQULvEJVIM	6723	SRM	-1.7964	0.0016642	0.0097836
Wpqpan6BjsYxXTLhTw	26012	NELF	-1.7979	0.00022453	0.0021416
HpJOiikIXurQ.4HpfE	5471	PPAT	-1.7984	0.0001583	0.0016612
B_xQuiSuvmpCb7kiVM	898	CCNE1	-1.7985	1.44E-07	1.03E-05
ipN94F1_bgwrt4egno	8995	TNFSF18	-1.7992	1.14E-06	4.57E-05
iF56_ZIxcp_1P85P0k	6432	SFRS7	-1.8007	2.93E-06	8.99E-05
0SXouANerHh.iKLi7k	64859	OBFC2A	-1.8047	6.05E-08	5.47E-06
W393IZt_eoi7W_fVtY	27131	SNX5	-1.8105	1.90E-07	1.25E-05
Q5K_yf.jqcdMS8j.Ek	3148	HMGB2	-1.8106	1.37E-06	5.19E-05
oUuoJKG3qfxr3KhKII	54938	SARS2	-1.8121	3.51E-06	0.0001012
umjOoR8Axx_nVCNijg	5111	PCNA	-1.8139	3.07E-07	1.77E-05
01OVCvVK5KEiu6XPsU	78995	C17orf53	-1.817	2.02E-07	1.30E-05
6epKh_v.71BLpfdan0	10953	TOMM34	-1.8172	1.37E-07	9.98E-06
uCduELl9ESFXZB7UZs	3714	JAG2	-1.8224	2.30E-05	0.00038723
KnpNKpbUkJXT0X3qUQ	26173	INTS1	-1.8231	0.00071032	0.0051409
EbBFAwVVILJSKUv4E0	92667	C20orf72	-1.8278	4.30E-08	4.35E-06
ZesPTAlKJDf5foHe5I	91057	CCDC34	-1.8286	1.35E-06	5.18E-05
