Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Kiel	HSC(FL-CD45+)	DGL	20135	Rrm2
Kiel	HSC(FL-CD45+)	DGL	20195	S100a11
Kiel	HSC(FL-CD45+)	DGL	20201	S100a8
Kiel	HSC(FL-CD45+)	DGL	20202	S100a9
Kiel	HSC(FL-CD45+)	DGL	20305	Ccl6
Kiel	HSC(FL-CD45+)	DGL	20343	Sell
Kiel	HSC(FL-CD45+)	DGL	20375	Sfpi1
Kiel	HSC(FL-CD45+)	DGL	20454	St3gal5
Kiel	HSC(FL-CD45+)	DGL	20533	Slc4a1
Kiel	HSC(FL-CD45+)	DGL	20568	Slpi
Kiel	HSC(FL-CD45+)	DGL	20595	Smn1
Kiel	HSC(FL-CD45+)	DGL	20703	Serpina1d
Kiel	HSC(FL-CD45+)	DGL	20754	Sprr1b
Kiel	HSC(FL-CD45+)	DGL	208643	Eif4g1
Kiel	HSC(FL-CD45+)	DGL	20878	Aurka
Kiel	HSC(FL-CD45+)	DGL	209837	Slc38a5
Kiel	HSC(FL-CD45+)	DGL	213002	Ifitm6
Kiel	HSC(FL-CD45+)	DGL	216150	Cdc34
Kiel	HSC(FL-CD45+)	DGL	21946	Pglyrp1
Kiel	HSC(FL-CD45+)	DGL	21955	Tnnt1
Kiel	HSC(FL-CD45+)	DGL	22177	Tyrobp
Kiel	HSC(FL-CD45+)	DGL	22362	Vpreb1
Kiel	HSC(FL-CD45+)	DGL	229474	Fhdc1
Kiel	HSC(FL-CD45+)	DGL	237761	Ankrd43
Kiel	HSC(FL-CD45+)	DGL	23833	Cd52
Kiel	HSC(FL-CD45+)	DGL	26366	Ceacam10
Kiel	HSC(FL-CD45+)	DGL	268752	Wdfy2
Kiel	HSC(FL-CD45+)	DGL	26888	Clec4a2
Kiel	HSC(FL-CD45+)	DGL	270151	Nlrx1
Kiel	HSC(FL-CD45+)	DGL	27053	Asns
Kiel	HSC(FL-CD45+)	DGL	28035	Usp39
Kiel	HSC(FL-CD45+)	DGL	320759	A130034M23Rik
Kiel	HSC(FL-CD45+)	DGL	53856	Prg3
Kiel	HSC(FL-CD45+)	DGL	54409	Ramp2
Kiel	HSC(FL-CD45+)	DGL	54672	Gpr97
Kiel	HSC(FL-CD45+)	DGL	56380	Arid3b
Kiel	HSC(FL-CD45+)	DGL	56419	Diap3
