# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|204614_at|204614_at	unigene|Hs.514913|Hs.514913	hgnc_symbol|SERPINB2|SERPINB2
affy_hg_u133_plus_2|234268_at|234268_at	unigene|Hs.524341|Hs.524341	hgnc_symbol|SLC2A13|SLC2A13
affy_hg_u133_plus_2|240859_at|240859_at	unigene|Hs.482660|Hs.482660	hgnc_symbol|ZFYVE16|ZFYVE16
affy_hg_u133_plus_2|210549_s_at|210549_s_at	unigene|Hs.169191|Hs.169191	hgnc_symbol|CCL23|CCL23
affy_hg_u133_plus_2|231647_s_at|231647_s_at	unigene|Hs.415950|Hs.415950	hgnc_symbol|IRTA2|IRTA2
affy_hg_u133_plus_2|1557049_at|1557049_at	unigene|Hs.421430|Hs.421430	hgnc_symbol|LOC149478|LOC149478
affy_hg_u133_plus_2|204103_at|204103_at	unigene|Hs.75703|Hs.75703	hgnc_symbol|CCL4|CCL4
affy_hg_u133_plus_2|209892_at|209892_at	unigene|Hs.390420|Hs.390420	hgnc_symbol|FUT4|FUT4
affy_hg_u133_plus_2|209959_at|209959_at	unigene|Hs.279522|Hs.279522	hgnc_symbol|NR4A3|NR4A3
affy_hg_u133_plus_2|201925_s_at|201925_s_at	unigene|Hs.527653|Hs.527653	hgnc_symbol|DAF|DAF
affy_hg_u133_plus_2|1561155_at|1561155_at	unigene|Hs.425633|Hs.425633	hgnc_symbol|CKMT1|CKMT1
affy_hg_u133_plus_2|1561523_at|1561523_at	unigene|Hs.512805|Hs.512805	hgnc_symbol|NYD-SP28|NYD-SP28
affy_hg_u133_plus_2|218033_s_at|218033_s_at	unigene|Hs.459952|Hs.459952	hgnc_symbol|SNN|SNN
affy_hg_u133_plus_2|216627_s_at|216627_s_at	unigene|Hs.272011|Hs.272011	hgnc_symbol|B4GALT1|B4GALT1
affy_hg_u133_plus_2|232716_at|232716_at	unigene|Hs.126667|Hs.126667	hgnc_symbol|EDG2|EDG2
affy_hg_u133_plus_2|210512_s_at|210512_s_at	unigene|Hs.73793|Hs.73793	hgnc_symbol|VEGF|VEGF
affy_hg_u133_plus_2|233109_at|233109_at	unigene|Hs.101302|Hs.101302	hgnc_symbol|COL12A1|COL12A1
affy_hg_u133_plus_2|238235_at|238235_at	unigene|Hs.416108|Hs.416108	hgnc_symbol|CRK7|CRK7
affy_hg_u133_plus_2|213568_at|213568_at	unigene|Hs.253247|Hs.253247	hgnc_symbol|OSR2|OSR2
affy_hg_u133_plus_2|1563082_at|1563082_at	unigene|Hs.434660|Hs.434660	hgnc_symbol|LOC285045|LOC285045
affy_hg_u133_plus_2|1565602_at|1565602_at	unigene|Hs.407643|Hs.407643	hgnc_symbol|PCDH9|PCDH9
affy_hg_u133_plus_2|202912_at|202912_at	unigene|Hs.441047|Hs.441047	hgnc_symbol|ADM|ADM
affy_hg_u133_plus_2|229160_at|229160_at	unigene|Hs.10653|Hs.10653	hgnc_symbol|MUM1L1|MUM1L1
affy_hg_u133_plus_2|1561167_at|1561167_at	unigene|Hs.504765|Hs.504765	hgnc_symbol|ETV6|ETV6
affy_hg_u133_plus_2|225571_at|225571_at	unigene|Hs.133421|Hs.133421	hgnc_symbol|LIFR|LIFR
affy_hg_u133_plus_2|206022_at|206022_at	unigene|Hs.522615|Hs.522615	hgnc_symbol|NDP|NDP
affy_hg_u133_plus_2|239914_at|239914_at	unigene|Hs.277035|Hs.277035	hgnc_symbol|MGLL|MGLL
affy_hg_u133_plus_2|207536_s_at|207536_s_at	unigene|Hs.193418|Hs.193418	hgnc_symbol|TNFRSF9|TNFRSF9
affy_hg_u133_plus_2|242078_at|242078_at	unigene|Hs.444414|Hs.444414	hgnc_symbol|LAF4|LAF4
affy_hg_u133_plus_2|207442_at|207442_at	unigene|Hs.2233|Hs.2233	hgnc_symbol|CSF3|CSF3
affy_hg_u133_plus_2|213324_at|213324_at	unigene|Hs.195659|Hs.195659	hgnc_symbol|SRC|SRC
affy_hg_u133_plus_2|1557057_a_at|1557057_a_at	unigene|Hs.131469|Hs.131469	hgnc_symbol|LOC133491|LOC133491
affy_hg_u133_plus_2|1557538_at|1557538_at	unigene|Hs.159799|Hs.159799	hgnc_symbol|THRAP2|THRAP2
affy_hg_u133_plus_2|203986_at|203986_at	unigene|Hs.109590|Hs.109590	hgnc_symbol|GENX-3414|GENX-3414
affy_hg_u133_plus_2|206813_at|206813_at	unigene|Hs.483811|Hs.483811	hgnc_symbol|CTF1|CTF1
affy_hg_u133_plus_2|240419_at|240419_at	unigene|Hs.44424|Hs.44424	hgnc_symbol|SLC6A15|SLC6A15
affy_hg_u133_plus_2|1569843_at|1569843_at	unigene|Hs.440364|Hs.440364	hgnc_symbol|DNCI1|DNCI1
affy_hg_u133_plus_2|1563085_at|1563085_at	unigene|Hs.282376|Hs.282376	hgnc_symbol|RPS4Y1|RPS4Y1
affy_hg_u133_plus_2|202071_at|202071_at	unigene|Hs.252189|Hs.252189	hgnc_symbol|SDC4|SDC4
affy_hg_u133_plus_2|237320_at|237320_at	unigene|Hs.445236|Hs.445236	hgnc_symbol|LOC346653|LOC346653
affy_hg_u133_plus_2|1559156_at|1559156_at	unigene|Hs.162458|Hs.162458	hgnc_symbol|PIAS1|PIAS1
affy_hg_u133_plus_2|1557705_a_at|1557705_a_at	unigene|Hs.435767|Hs.435767	hgnc_symbol|PCYT1A|PCYT1A
affy_hg_u133_plus_2|221345_at|221345_at	unigene|Hs.248056|Hs.248056	hgnc_symbol|GPR43|GPR43
affy_hg_u133_plus_2|200799_at|200799_at	unigene|Hs.520028|Hs.520028	hgnc_symbol|HSPA1A|HSPA1A
affy_hg_u133_plus_2|224836_at|224836_at	unigene|Hs.516994|Hs.516994	hgnc_symbol|TP53INP2|TP53INP2
affy_hg_u133_plus_2|243290_at|243290_at	unigene|Hs.484047|Hs.484047	hgnc_symbol|KIBRA|KIBRA
affy_hg_u133_plus_2|207862_at|207862_at	unigene|Hs.379613|Hs.379613	hgnc_symbol|UPK2|UPK2
affy_hg_u133_plus_2|214478_at|214478_at	unigene|Hs.444488|Hs.444488	hgnc_symbol|SPP2|SPP2
affy_hg_u133_plus_2|202068_s_at|202068_s_at	unigene|Hs.213289|Hs.213289	hgnc_symbol|LDLR|LDLR
affy_hg_u133_plus_2|221496_s_at|221496_s_at	unigene|Hs.474978|Hs.474978	hgnc_symbol|TOB2|TOB2
affy_hg_u133_plus_2|242387_at|242387_at	unigene|Hs.289293|Hs.289293	hgnc_symbol|INM01|INM01
affy_hg_u133_plus_2|1553585_a_at|1553585_a_at	unigene|Hs.546265|Hs.546265	hgnc_symbol|MAGEA5|MAGEA5
affy_hg_u133_plus_2|207282_s_at|207282_s_at	unigene|Hs.2830|Hs.2830	hgnc_symbol|MYOG|MYOG
affy_hg_u133_plus_2|208100_x_at|208100_x_at	unigene|Hs.516316|Hs.516316	hgnc_symbol|SEMA6C|SEMA6C
affy_hg_u133_plus_2|226084_at|226084_at	unigene|Hs.335079|Hs.335079	hgnc_symbol|MAP1B|MAP1B
affy_hg_u133_plus_2|226762_at|226762_at	unigene|Hs.349150|Hs.349150	hgnc_symbol|PURB|PURB
affy_hg_u133_plus_2|227529_s_at|227529_s_at	unigene|Hs.371240|Hs.371240	hgnc_symbol|AKAP12|AKAP12
affy_hg_u133_plus_2|214530_x_at|214530_x_at	unigene|Hs.175437|Hs.175437	hgnc_symbol|EPB41|EPB41
affy_hg_u133_plus_2|233474_at|233474_at	unigene|Hs.448912|Hs.448912	hgnc_symbol|LOC284240|LOC284240
affy_hg_u133_plus_2|227347_x_at|227347_x_at	unigene|Hs.154029|Hs.154029	hgnc_symbol|HES4|HES4
affy_hg_u133_plus_2|209545_s_at|209545_s_at	unigene|Hs.103755|Hs.103755	hgnc_symbol|RIPK2|RIPK2
affy_hg_u133_plus_2|204057_at|204057_at	unigene|Hs.137427|Hs.137427	hgnc_symbol|IRF8|IRF8
affy_hg_u133_plus_2|222168_at|222168_at	unigene|Hs.459538|Hs.459538	hgnc_symbol|ALDH1A3|ALDH1A3
affy_hg_u133_plus_2|207422_at|207422_at	unigene|Hs.177984|Hs.177984	hgnc_symbol|ADAM20|ADAM20
affy_hg_u133_plus_2|240702_at|240702_at	unigene|Hs.210385|Hs.210385	hgnc_symbol|HERC1|HERC1
affy_hg_u133_plus_2|1558852_at|1558852_at	unigene|Hs.200943|Hs.200943	hgnc_symbol|NARG2|NARG2
affy_hg_u133_plus_2|232701_at|232701_at	unigene|Hs.471200|Hs.471200	hgnc_symbol|NRP2|NRP2
affy_hg_u133_plus_2|238886_at|238886_at	unigene|Hs.74137|Hs.74137	hgnc_symbol|TMP21|TMP21
affy_hg_u133_plus_2|207768_at|207768_at	unigene|Hs.3052|Hs.3052	hgnc_symbol|EGR4|EGR4
affy_hg_u133_plus_2|237718_at|237718_at	unigene|Hs.249718|Hs.249718	hgnc_symbol|EIF4E|EIF4E
affy_hg_u133_plus_2|224807_at|224807_at	unigene|Hs.515351|Hs.515351	hgnc_symbol|KIAA1533|KIAA1533
affy_hg_u133_plus_2|206034_at|206034_at	unigene|Hs.368077|Hs.368077	hgnc_symbol|SERPINB8|SERPINB8
affy_hg_u133_plus_2|235042_at|235042_at	unigene|Hs.447868|Hs.447868	hgnc_symbol|CMYA1|CMYA1
affy_hg_u133_plus_2|223767_at|223767_at	unigene|Hs.306199|Hs.306199	hgnc_symbol|GPR84|GPR84
affy_hg_u133_plus_2|207667_s_at|207667_s_at	unigene|Hs.514012|Hs.514012	hgnc_symbol|MAP2K3|MAP2K3
affy_hg_u133_plus_2|224739_at|224739_at	unigene|Hs.530381|Hs.530381	hgnc_symbol|PIM3|PIM3
affy_hg_u133_plus_2|201564_s_at|201564_s_at	unigene|Hs.118400|Hs.118400	hgnc_symbol|FSCN1|FSCN1
affy_hg_u133_plus_2|1568719_s_at|1568719_s_at	unigene|Hs.132340|Hs.132340	hgnc_symbol|C6orf85|C6orf85
affy_hg_u133_plus_2|207196_s_at|207196_s_at	unigene|Hs.355141|Hs.355141	hgnc_symbol|TNIP1|TNIP1
affy_hg_u133_plus_2|1569525_s_at|1569525_s_at	unigene|Hs.367890|Hs.367890	hgnc_symbol|LOC441969|LOC441969
affy_hg_u133_plus_2|236610_at|236610_at	unigene|Hs.117545|Hs.117545	hgnc_symbol|PDE4D|PDE4D
affy_hg_u133_plus_2|1555516_at|1555516_at	unigene|Hs.282787|Hs.282787	hgnc_symbol|FOXP2|FOXP2
affy_hg_u133_plus_2|242816_at|242816_at	unigene|Hs.125898|Hs.125898	hgnc_symbol|GNAS|GNAS
affy_hg_u133_plus_2|237750_at|237750_at	unigene|Hs.20797|Hs.20797	hgnc_symbol|LOC63929|LOC63929
affy_hg_u133_plus_2|1561025_at|1561025_at	unigene|Hs.484844|Hs.484844	hgnc_symbol|CDKAL1|CDKAL1
affy_hg_u133_plus_2|205205_at|205205_at	unigene|Hs.307905|Hs.307905	hgnc_symbol|RELB|RELB
affy_hg_u133_plus_2|1562892_at|1562892_at	unigene|Hs.375707|Hs.375707	hgnc_symbol|CHCHD5|CHCHD5
affy_hg_u133_plus_2|236811_at|236811_at	unigene|Hs.350507|Hs.350507	hgnc_symbol|DMRTC2|DMRTC2
affy_hg_u133_plus_2|233894_x_at|233894_x_at	unigene|Hs.131603|Hs.131603	hgnc_symbol|EMID2|EMID2
affy_hg_u133_plus_2|214696_at|214696_at	unigene|Hs.417157|Hs.417157	hgnc_symbol|MGC14376|MGC14376
affy_hg_u133_plus_2|232858_at|232858_at	unigene|Hs.87464|Hs.87464	hgnc_symbol|SCMH1|SCMH1
affy_hg_u133_plus_2|212724_at|212724_at	unigene|Hs.6838|Hs.6838	hgnc_symbol|RND3|RND3
affy_hg_u133_plus_2|220146_at|220146_at	unigene|Hs.179152|Hs.179152	hgnc_symbol|TLR7|TLR7
affy_hg_u133_plus_2|234919_s_at|234919_s_at	unigene|Hs.157284|Hs.157284	hgnc_symbol|SNTG1|SNTG1
affy_hg_u133_plus_2|204420_at|204420_at	unigene|Hs.283565|Hs.283565	hgnc_symbol|FOSL1|FOSL1
affy_hg_u133_plus_2|203045_at|203045_at	unigene|Hs.494457|Hs.494457	hgnc_symbol|NINJ1|NINJ1
affy_hg_u133_plus_2|210845_s_at|210845_s_at	unigene|Hs.466871|Hs.466871	hgnc_symbol|PLAUR|PLAUR
affy_hg_u133_plus_2|227568_at|227568_at	unigene|Hs.66378|Hs.66378	hgnc_symbol|HECTD2|HECTD2
affy_hg_u133_plus_2|241973_x_at|241973_x_at	unigene|Hs.37916|Hs.37916	hgnc_symbol|DPP7|DPP7
affy_hg_u133_plus_2|215206_at|215206_at	unigene|Hs.492618|Hs.492618	hgnc_symbol|EXT1|EXT1
affy_hg_u133_plus_2|1562957_at|1562957_at	unigene|Hs.406990|Hs.406990	hgnc_symbol|FLJ39739|FLJ39739
affy_hg_u133_plus_2|235613_at|235613_at	unigene|Hs.435741|Hs.435741	hgnc_symbol|IQWD1|IQWD1
affy_hg_u133_plus_2|208105_at|208105_at	unigene|Hs.251412|Hs.251412	hgnc_symbol|GIPR|GIPR
affy_hg_u133_plus_2|221225_at|221225_at	unigene|Hs.463148|Hs.463148	hgnc_symbol|FLJ22955|FLJ22955
affy_hg_u133_plus_2|1563646_a_at|1563646_a_at	unigene|Hs.116240|Hs.116240	hgnc_symbol|MGC26979|MGC26979
affy_hg_u133_plus_2|1557513_a_at|1557513_a_at	unigene|Hs.280792|Hs.280792	hgnc_symbol|KLC2|KLC2
affy_hg_u133_plus_2|1557432_at|1557432_at	unigene|Hs.167371|Hs.167371	hgnc_symbol|RASAL2|RASAL2
affy_hg_u133_plus_2|228939_at|228939_at	unigene|Hs.445081|Hs.445081	hgnc_symbol|NS5ATP13TP2|NS5ATP13TP2
affy_hg_u133_plus_2|243865_x_at|243865_x_at	unigene|Hs.444329|Hs.444329	hgnc_symbol|GPC6|GPC6
affy_hg_u133_plus_2|210890_x_at|210890_x_at	unigene|Hs.512572|Hs.512572	hgnc_symbol|KIR2DL1|KIR2DL1
affy_hg_u133_plus_2|206392_s_at|206392_s_at	unigene|Hs.131269|Hs.131269	hgnc_symbol|RARRES1|RARRES1
affy_hg_u133_plus_2|206327_s_at|206327_s_at	unigene|Hs.148090|Hs.148090	hgnc_symbol|CDH15|CDH15
affy_hg_u133_plus_2|233888_s_at|233888_s_at	unigene|Hs.450763|Hs.450763	hgnc_symbol|SRGAP1|SRGAP1
affy_hg_u133_plus_2|230082_at|230082_at	unigene|Hs.475319|Hs.475319	hgnc_symbol|LRRFIP2|LRRFIP2
affy_hg_u133_plus_2|1555139_a_at|1555139_a_at	unigene|Hs.98322|Hs.98322	hgnc_symbol|ZA20D1|ZA20D1
affy_hg_u133_plus_2|240476_at|240476_at	unigene|Hs.13453|Hs.13453	hgnc_symbol|FLJ14753|FLJ14753
affy_hg_u133_plus_2|1552652_at|1552652_at	unigene|Hs.474436|Hs.474436	hgnc_symbol|HPS4|HPS4
affy_hg_u133_plus_2|216690_at|216690_at	unigene|Hs.466053|Hs.466053	hgnc_symbol|OR7C1|OR7C1
affy_hg_u133_plus_2|240359_at|240359_at	unigene|Hs.360989|Hs.360989	hgnc_symbol|C20orf71|C20orf71
affy_hg_u133_plus_2|207489_at|207489_at	unigene|Hs.287515|Hs.287515	hgnc_symbol|FLJ12331|FLJ12331
affy_hg_u133_plus_2|1558540_s_at|1558540_s_at	unigene|Hs.531906|Hs.531906	hgnc_symbol|SLC2A11|SLC2A11
affy_hg_u133_plus_2|209291_at|209291_at	unigene|Hs.519601|Hs.519601	hgnc_symbol|ID4|ID4
affy_hg_u133_plus_2|207091_at|207091_at	unigene|Hs.507102|Hs.507102	hgnc_symbol|P2RX7|P2RX7
affy_hg_u133_plus_2|210295_at|210295_at	unigene|Hs.18048|Hs.18048	hgnc_symbol|MAGEA10|MAGEA10
affy_hg_u133_plus_2|205193_at|205193_at	unigene|Hs.517617|Hs.517617	hgnc_symbol|MAFF|MAFF
affy_hg_u133_plus_2|1559593_a_at|1559593_a_at	unigene|Hs.466117|Hs.466117	hgnc_symbol|CRSP7|CRSP7
affy_hg_u133_plus_2|207249_s_at|207249_s_at	unigene|Hs.367833|Hs.367833	hgnc_symbol|SLC28A2|SLC28A2
affy_hg_u133_plus_2|232160_s_at|232160_s_at	unigene|Hs.368551|Hs.368551	hgnc_symbol|TNIP2|TNIP2
affy_hg_u133_plus_2|223264_at|223264_at	unigene|Hs.513071|Hs.513071	hgnc_symbol|MESDC1|MESDC1
affy_hg_u133_plus_2|223770_x_at|223770_x_at	unigene|Hs.439370|Hs.439370	hgnc_symbol|MGC3207|MGC3207
affy_hg_u133_plus_2|208224_at|208224_at	unigene|Hs.99992|Hs.99992	hgnc_symbol|HOXB1|HOXB1
affy_hg_u133_plus_2|236808_at|236808_at	unigene|Hs.406184|Hs.406184	hgnc_symbol|FGFR1OP2|FGFR1OP2
affy_hg_u133_plus_2|1553990_at|1553990_at	unigene|Hs.530864|Hs.530864	hgnc_symbol|MGC21830|MGC21830
affy_hg_u133_plus_2|233323_at|233323_at	unigene|Hs.194554|Hs.194554	hgnc_symbol|VTI1A|VTI1A
affy_hg_u133_plus_2|231297_at|231297_at	unigene|Hs.465554|Hs.465554	hgnc_symbol|DOT1L|DOT1L
affy_hg_u133_plus_2|235727_at|235727_at	unigene|Hs.174682|Hs.174682	hgnc_symbol|BTBD5|BTBD5
affy_hg_u133_plus_2|215066_at|215066_at	unigene|Hs.272062|Hs.272062	hgnc_symbol|PTPRF|PTPRF
affy_hg_u133_plus_2|1560997_at|1560997_at	unigene|Hs.200841|Hs.200841	hgnc_symbol|LAMA2|LAMA2
affy_hg_u133_plus_2|204794_at|204794_at	unigene|Hs.1183|Hs.1183	hgnc_symbol|DUSP2|DUSP2
affy_hg_u133_plus_2|206295_at|206295_at	unigene|Hs.83077|Hs.83077	hgnc_symbol|IL18|IL18
affy_hg_u133_plus_2|206746_at|206746_at	unigene|Hs.129702|Hs.129702	hgnc_symbol|BFSP1|BFSP1
affy_hg_u133_plus_2|235899_at|235899_at	unigene|Hs.127189|Hs.127189	hgnc_symbol|CA13|CA13
affy_hg_u133_plus_2|239597_at|239597_at	unigene|Hs.369984|Hs.369984	hgnc_symbol|PAN3|PAN3
affy_hg_u133_plus_2|237607_at|237607_at	unigene|Hs.167046|Hs.167046	hgnc_symbol|ADORA2B|ADORA2B
affy_hg_u133_plus_2|241843_at|241843_at	unigene|Hs.433702|Hs.433702	hgnc_symbol|EIF5|EIF5
affy_hg_u133_plus_2|223449_at|223449_at	unigene|Hs.156967|Hs.156967	hgnc_symbol|SEMA6A|SEMA6A
affy_hg_u133_plus_2|1559490_at|1559490_at	unigene|Hs.518414|Hs.518414	hgnc_symbol|LRCH3|LRCH3
affy_hg_u133_plus_2|232532_at|232532_at	unigene|Hs.252739|Hs.252739	hgnc_symbol|DKFZP434P0316|DKFZP434P0316
affy_hg_u133_plus_2|206163_at|206163_at	unigene|Hs.532575|Hs.532575	hgnc_symbol|MAB21L1|MAB21L1
affy_hg_u133_plus_2|207275_s_at|207275_s_at	unigene|Hs.406678|Hs.406678	hgnc_symbol|ACSL1|ACSL1
affy_hg_u133_plus_2|216951_at|216951_at	unigene|Hs.77424|Hs.77424	hgnc_symbol|FCGR1A|FCGR1A
affy_hg_u133_plus_2|212923_s_at|212923_s_at	unigene|Hs.484500|Hs.484500	hgnc_symbol|C6orf145|C6orf145
affy_hg_u133_plus_2|203586_s_at|203586_s_at	unigene|Hs.183153|Hs.183153	hgnc_symbol|ARF4L|ARF4L
affy_hg_u133_plus_2|241264_at|241264_at	unigene|Hs.465213|Hs.465213	hgnc_symbol|WDR7|WDR7
affy_hg_u133_plus_2|1561146_at|1561146_at	unigene|Hs.447547|Hs.447547	hgnc_symbol|VPS35|VPS35
affy_hg_u133_plus_2|228176_at|228176_at	hgnc_symbol|EDG3|EDG3
affy_hg_u133_plus_2|218627_at|218627_at	unigene|Hs.525634|Hs.525634	hgnc_symbol|FLJ11259|FLJ11259
affy_hg_u133_plus_2|201430_s_at|201430_s_at	unigene|Hs.519659|Hs.519659	hgnc_symbol|DPYSL3|DPYSL3
affy_hg_u133_plus_2|48659_at|48659_at	unigene|Hs.8595|Hs.8595	hgnc_symbol|FLJ12438|FLJ12438
affy_hg_u133_plus_2|212960_at|212960_at	unigene|Hs.480819|Hs.480819	hgnc_symbol|KIAA0882|KIAA0882
affy_hg_u133_plus_2|1553042_a_at|1553042_a_at	unigene|Hs.466531|Hs.466531	hgnc_symbol|TA-NFKBH|TA-NFKBH
affy_hg_u133_plus_2|1563800_at|1563800_at	unigene|Hs.534219|Hs.534219	hgnc_symbol|LOC283140|LOC283140
affy_hg_u133_plus_2|1560881_a_at|1560881_a_at	unigene|Hs.98186|Hs.98186	hgnc_symbol|C21orf22|C21orf22
affy_hg_u133_plus_2|243180_at|243180_at	unigene|Hs.208597|Hs.208597	hgnc_symbol|CTBP1|CTBP1
affy_hg_u133_plus_2|209457_at|209457_at	unigene|Hs.2128|Hs.2128	hgnc_symbol|DUSP5|DUSP5
affy_hg_u133_plus_2|1554919_s_at|1554919_s_at	unigene|Hs.521012|Hs.521012	hgnc_symbol|FLJ21062|FLJ21062
affy_hg_u133_plus_2|215732_s_at|215732_s_at	unigene|Hs.187058|Hs.187058	hgnc_symbol|DTX2|DTX2
affy_hg_u133_plus_2|204072_s_at|204072_s_at	unigene|Hs.507669|Hs.507669	hgnc_symbol|13CDNA73|13CDNA73
affy_hg_u133_plus_2|236186_x_at|236186_x_at	unigene|Hs.390823|Hs.390823	hgnc_symbol|IL17RE|IL17RE
affy_hg_u133_plus_2|44702_at|44702_at	unigene|Hs.528701|Hs.528701	hgnc_symbol|7h3|7h3
affy_hg_u133_plus_2|243286_at|243286_at	unigene|Hs.146806|Hs.146806	hgnc_symbol|CUL1|CUL1
affy_hg_u133_plus_2|205327_s_at|205327_s_at	unigene|Hs.470171|Hs.470171	hgnc_symbol|ACVR2|ACVR2
affy_hg_u133_plus_2|207230_at|207230_at	unigene|Hs.530804|Hs.530804	hgnc_symbol|CDON|CDON
affy_hg_u133_plus_2|207680_x_at|207680_x_at	unigene|Hs.42146|Hs.42146	hgnc_symbol|PAX3|PAX3
affy_hg_u133_plus_2|230526_at|230526_at	unigene|Hs.16165|Hs.16165	hgnc_symbol|EVER1|EVER1
affy_hg_u133_plus_2|210536_s_at|210536_s_at	unigene|Hs.121494|Hs.121494	hgnc_symbol|SPAM1|SPAM1
affy_hg_u133_plus_2|213172_at|213172_at	unigene|Hs.79170|Hs.79170	hgnc_symbol|TTC9|TTC9
affy_hg_u133_plus_2|215513_at|215513_at	hgnc_symbol|HYMAI|HYMAI
affy_hg_u133_plus_2|202925_s_at|202925_s_at	unigene|Hs.154104|Hs.154104	hgnc_symbol|PLAGL2|PLAGL2
affy_hg_u133_plus_2|220563_s_at|220563_s_at	unigene|Hs.274255|Hs.274255	hgnc_symbol|SHANK1|SHANK1
affy_hg_u133_plus_2|232579_at|232579_at	unigene|Hs.308710|Hs.308710	hgnc_symbol|KIAA1718|KIAA1718
affy_hg_u133_plus_2|212445_s_at|212445_s_at	unigene|Hs.185677|Hs.185677	hgnc_symbol|NEDD4L|NEDD4L
affy_hg_u133_plus_2|207470_at|207470_at	unigene|Hs.546398|Hs.546398	hgnc_symbol|DKFZp566H0824|DKFZp566H0824
affy_hg_u133_plus_2|242121_at|242121_at	unigene|Hs.122121|Hs.122121	hgnc_symbol|RNF12|RNF12
affy_hg_u133_plus_2|215222_x_at|215222_x_at	unigene|Hs.472475|Hs.472475	hgnc_symbol|MACF1|MACF1
affy_hg_u133_plus_2|244568_at|244568_at	unigene|Hs.525392|Hs.525392	hgnc_symbol|SYNE2|SYNE2
affy_hg_u133_plus_2|244087_at|244087_at	unigene|Hs.501890|Hs.501890	hgnc_symbol|AMPD3|AMPD3
affy_hg_u133_plus_2|205689_at|205689_at	unigene|Hs.370605|Hs.370605	hgnc_symbol|PCNXL2|PCNXL2
affy_hg_u133_plus_2|242029_at|242029_at	unigene|Hs.159430|Hs.159430	hgnc_symbol|FAD104|FAD104
affy_hg_u133_plus_2|211397_x_at|211397_x_at	unigene|Hs.534327|Hs.534327	hgnc_symbol|KIR2DL2|KIR2DL2
affy_hg_u133_plus_2|241949_at|241949_at	unigene|Hs.122038|Hs.122038	hgnc_symbol|C14orf42|C14orf42
affy_hg_u133_plus_2|1569517_at|1569517_at	unigene|Hs.507537|Hs.507537	hgnc_symbol|NUPL1|NUPL1
affy_hg_u133_plus_2|235705_at|235705_at	unigene|Hs.130031|Hs.130031	hgnc_symbol|TRIO|TRIO
affy_hg_u133_plus_2|1557384_at|1557384_at	unigene|Hs.97845|Hs.97845	hgnc_symbol|ZNF131|ZNF131
affy_hg_u133_plus_2|225582_at|225582_at	unigene|Hs.523252|Hs.523252	hgnc_symbol|KIAA1754|KIAA1754
affy_hg_u133_plus_2|204363_at|204363_at	unigene|Hs.62192|Hs.62192	hgnc_symbol|F3|F3
affy_hg_u133_plus_2|1569468_at|1569468_at	unigene|Hs.546677|Hs.546677	hgnc_symbol|LOC441002|LOC441002
affy_hg_u133_plus_2|224829_at|224829_at	unigene|Hs.127126|Hs.127126	hgnc_symbol|CPEB4|CPEB4
affy_hg_u133_plus_2|227461_at|227461_at	unigene|Hs.14248|Hs.14248	hgnc_symbol|STN2|STN2
affy_hg_u133_plus_2|238566_at|238566_at	unigene|Hs.147041|Hs.147041	hgnc_symbol|ZNF334|ZNF334
affy_hg_u133_plus_2|1570284_x_at|1570284_x_at	unigene|Hs.501735|Hs.501735	hgnc_symbol|STIM1|STIM1
affy_hg_u133_plus_2|205236_x_at|205236_x_at	unigene|Hs.2420|Hs.2420	hgnc_symbol|SOD3|SOD3
affy_hg_u133_plus_2|204424_s_at|204424_s_at	unigene|Hs.504908|Hs.504908	hgnc_symbol|LMO3|LMO3
affy_hg_u133_plus_2|200632_s_at|200632_s_at	unigene|Hs.372914|Hs.372914	hgnc_symbol|NDRG1|NDRG1
affy_hg_u133_plus_2|230204_at|230204_at	unigene|Hs.2799|Hs.2799	hgnc_symbol|HAPLN1|HAPLN1
affy_hg_u133_plus_2|239513_at|239513_at	unigene|Hs.197029|Hs.197029	hgnc_symbol|ADORA2A|ADORA2A
affy_hg_u133_plus_2|241450_at|241450_at	unigene|Hs.135015|Hs.135015	hgnc_symbol|R-spondin|R-spondin
affy_hg_u133_plus_2|243362_s_at|243362_s_at	unigene|Hs.125132|Hs.125132	hgnc_symbol|LEF1|LEF1
affy_hg_u133_plus_2|218618_s_at|218618_s_at	unigene|Hs.159430|Hs.159430	hgnc_symbol|FNDC3B|FNDC3B
affy_hg_u133_plus_2|224016_at|224016_at	unigene|Hs.397465|Hs.397465	hgnc_symbol|HIPK2|HIPK2
affy_hg_u133_plus_2|221101_at|221101_at	hgnc_symbol|C14orf113|C14orf113
affy_hg_u133_plus_2|1561088_at|1561088_at	unigene|Hs.102408|Hs.102408	hgnc_symbol|EYA4|EYA4
affy_hg_u133_plus_2|205323_s_at|205323_s_at	unigene|Hs.471991|Hs.471991	hgnc_symbol|MTF1|MTF1
affy_hg_u133_plus_2|209220_at|209220_at	unigene|Hs.435036|Hs.435036	hgnc_symbol|GPC3|GPC3
