# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|214464_at|214464_at	entrezgene|8476|8476	hgnc_symbol|CDC42BPA|CDC42BPA
affy_hg_u133_plus_2|206093_x_at|206093_x_at	entrezgene|7148|7148	hgnc_symbol|TNXB|TNXB
affy_hg_u133_plus_2|203662_s_at|203662_s_at	entrezgene|7111|7111	hgnc_symbol|TMOD1|TMOD1
affy_hg_u133_plus_2|210586_x_at|210586_x_at	entrezgene|6007|6007	hgnc_symbol|RHD|RHD
affy_hg_u133_plus_2|209555_s_at|209555_s_at	entrezgene|948|948	hgnc_symbol|CD36|CD36
affy_hg_u133_plus_2|215449_at|215449_at	entrezgene|222642|222642	hgnc_symbol|BZRPL1|BZRPL1
affy_hg_u133_plus_2|202201_at|202201_at	entrezgene|645|645	hgnc_symbol|BLVRB|BLVRB
affy_hg_u133_plus_2|206283_s_at|206283_s_at	entrezgene|6886|6886	hgnc_symbol|TAL1|TAL1
affy_hg_u133_plus_2|221627_at|221627_at	entrezgene|10107|10107	hgnc_symbol|TRIM10|TRIM10
affy_hg_u133_plus_2|206145_at|206145_at	entrezgene|6005|6005	hgnc_symbol|RHAG|RHAG
affy_hg_u133_plus_2|206077_at|206077_at	entrezgene|3792|3792	hgnc_symbol|KEL|KEL
affy_hg_u133_plus_2|205390_s_at|205390_s_at	entrezgene|286|286	hgnc_symbol|ANK1|ANK1
affy_hg_u133_plus_2|205391_x_at|205391_x_at	entrezgene|286|286	hgnc_symbol|ANK1|ANK1
affy_hg_u133_plus_2|208886_at|208886_at	entrezgene|3005|3005	hgnc_symbol|H1F0|H1F0
affy_hg_u133_plus_2|237403_at|237403_at	entrezgene|8328|8328	hgnc_symbol|GFI1B|GFI1B
affy_hg_u133_plus_2|225061_at|225061_at	entrezgene|55466|55466	hgnc_symbol|DNAJA4|DNAJA4
affy_hg_u133_plus_2|216333_x_at|216333_x_at	entrezgene|7148|7148	hgnc_symbol|TNXB|TNXB
affy_hg_u133_plus_2|208353_x_at|208353_x_at	entrezgene|286|286	hgnc_symbol|ANK1|ANK1
affy_hg_u133_plus_2|213451_x_at|213451_x_at	entrezgene|7148|7148	hgnc_symbol|TNXB|TNXB
affy_hg_u133_plus_2|207087_x_at|207087_x_at	entrezgene|286|286	hgnc_symbol|ANK1|ANK1
affy_hg_u133_plus_2|209160_at|209160_at	entrezgene|8644|8644	hgnc_symbol|AKR1C3|AKR1C3
affy_hg_u133_plus_2|205262_at|205262_at	entrezgene|3757|3757	hgnc_symbol|KCNH2|KCNH2
