Probe Set ID	Gene Symbol	Corrected p-value	Regulation ([PF] vs [SP])1	Regulation ([PF] vs [ST])1	Regulation ([SP] vs [ST])1
1555910_at	PTCD2	0.03750876	down	down	up
210711_at	C1orf217	0.0375141	up	up	up
225736_at	FBXO22	0.03751481	down	down	up
233067_at		0.03752836	up	down	down
1568853_at		0.03752836	down	down	up
231214_at		0.03752836	up	down	down
215846_at		0.03752836	up	up	down
219321_at	MPP5	0.03753445	down	up	up
1552423_at	ETV3	0.03753446	down	down	down
236990_at		0.03753796	down	up	up
214320_x_at	CYP2A6	0.03753838	up	up	down
239641_at		0.03754691	up	down	down
207873_x_at	SEZ6L	0.03754691	up	down	down
202125_s_at	TRAK2	0.03754691	down	down	down
204587_at	SLC25A14	0.03754691	down	up	up
1553998_at	DMRTC1 /// DMRTC1B	0.03754771	down	up	up
206186_at	MPP3	0.03754816	down	up	up
217496_s_at	IDE	0.03755024	down	down	up
228161_at	RAB32	0.03755111	down	down	down
1553352_x_at	ERVWE1	0.03755111	down	up	up
228136_s_at	C17orf70	0.03755767	up	up	down
1553834_at	COL29A1	0.03757029	up	up	up
203492_x_at	CEP57	0.0375801	down	down	up
224846_at	SHKBP1	0.03758152	up	down	down
235637_s_at		0.03758735	up	down	down
216100_s_at	TOR1AIP1	0.03758735	down	down	up
1557726_at	ARMCX4	0.03759163	up	down	down
243021_at	LOC730496	0.0375958	up	down	down
217696_at	FUT7	0.0375958	up	up	down
209085_x_at	RFC1	0.03760056	down	down	up
244715_at		0.03760757	up	down	down
218578_at	CDC73	0.03760757	down	up	up
207316_at	HAS1	0.03761585	up	up	down
220973_s_at	SHARPIN	0.0376257	up	up	down
206126_at	CXCR5	0.03763195	up	down	down
207100_s_at	VAMP1	0.03763195	down	down	down
243124_at	LOC653390	0.03763195	up	down	down
227223_at	RBM39	0.03763243	up	up	down
205519_at	WDR76	0.03763809	up	down	down
218055_s_at	WDR41	0.03763809	up	up	up
227772_at		0.03763909	down	down	up
216920_s_at	TARP /// TRGC2	0.03764298	up	down	down
205605_at	HOXD9	0.03764298	up	up	down
224063_at	NLN	0.03765231	down	down	down
200608_s_at	RAD21	0.03765344	down	down	up
234872_at		0.03767217	up	up	down
236741_at	WDR72	0.03767217	down	up	up
201000_at	AARS	0.03767745	up	down	down
219940_s_at	PCID2	0.0376836	down	down	down
225460_at	SEC22C	0.03768459	down	down	up
202653_s_at	MARCH7	0.03771415	down	down	up
1563497_at	USP25	0.03771741	down	down	down
205763_s_at	DDX18	0.0377175	down	down	down
213185_at	KIAA0556	0.03771872	down	up	up
230300_at		0.03772564	down	down	up
1570372_at		0.03773207	up	up	down
220539_at	C10orf92	0.03774992	down	up	up
240974_at		0.03775645	up	down	down
224428_s_at	CDCA7	0.03775645	down	down	down
211867_s_at	PCDHA10	0.03775645	up	up	down
238877_at	EYA4	0.03776163	down	up	up
211974_x_at	RBPJ	0.0377784	up	down	down
219782_s_at	ZNF771	0.0377787	up	down	down
227822_at	ZNF605	0.03778031	down	down	down
226414_s_at	ANAPC11 /// LOC100131844	0.03778837	down	up	up
216321_s_at	NR3C1	0.03778837	down	up	up
203736_s_at	PPFIBP1	0.03778837	down	up	up
200083_at	USP22	0.03779309	down	down	down
210131_x_at	SDHC	0.03779309	down	up	up
211275_s_at	GYG1	0.03779309	down	up	up
234253_at		0.03779931	up	down	down
218064_s_at	AKAP8L	0.0377999	up	up	down
1569973_at	13-Sep	0.03780105	down	down	down
202060_at	CTR9	0.03780847	down	down	up
222035_s_at	PAPOLA	0.03781421	down	down	up
232402_at	LOC642346	0.03781657	up	up	down
224855_at	PYCR2	0.03784194	down	up	up
222609_s_at	EXOSC1	0.03784695	down	down	up
1554524_a_at	OLFM3	0.03784787	down	down	up
209400_at	SLC12A4	0.03784787	up	up	down
1558404_at	LOC644242	0.03785207	up	down	down
1553633_s_at	NHEDC1	0.03786471	down	down	down
1553292_s_at	FLJ25006	0.03786471	down	down	down
1553062_at	MOGAT1	0.03786471	up	up	up
1568640_at	ASPRV1	0.03786547	up	down	down
37986_at	EPOR	0.03786567	up	down	down
233485_at		0.03786567	down	up	up
244048_x_at		0.03787243	up	down	down
239946_at		0.03790273	up	down	down
64418_at		0.03790683	down	down	down
234937_x_at	ZFP28	0.03790683	down	down	up
201571_s_at	DCTD	0.03790683	down	down	up
215955_x_at	ARHGAP26	0.03790683	up	up	down
217230_at	EZR	0.03790683	down	up	up
214595_at	KCNG1	0.03790683	up	up	up
203557_s_at	PCBD1	0.03791086	down	down	up
235297_at	CUGBP1	0.03791086	up	down	down
223733_s_at	PPP4R1L	0.03791086	up	down	down
204320_at	COL11A1	0.03792322	up	down	down
244518_at	LOC100130452	0.03792544	up	up	down
232612_s_at	ATG16L1	0.03792598	down	down	down
228437_at	CNIH4	0.03792598	down	down	up
207956_x_at	PDS5B	0.03794244	down	down	up
202055_at	KPNA1	0.03794836	down	down	up
210802_s_at	DIMT1L	0.03794836	down	down	up
1561617_at	DNAH6	0.03795852	down	up	up
201706_s_at	PEX19	0.03795854	down	down	up
1552742_at	KCNH8	0.0379682	up	down	down
220116_at	KCNN2	0.0379906	down	up	up
1569839_s_at	C9orf29	0.03799429	up	down	down
240752_at	PCGF2	0.03799594	up	up	down
227232_at	EVL	0.03800312	up	down	down
211456_x_at	MT1P2	0.03800892	up	down	down
1560451_at		0.03801208	up	down	down
207228_at	PRKACG	0.03801208	up	up	down
221866_at	TFEB	0.03801366	up	down	down
239059_at	DNAH1	0.03801366	up	down	down
216394_x_at		0.03802432	up	up	down
217794_at	PRR13	0.03802592	down	down	down
237797_at	DNM1L	0.03803805	down	down	down
242456_at	MRE11A	0.03803805	down	up	up
209912_s_at	KIAA0415	0.03805013	up	down	down
215584_at	HECW1	0.03805013	up	up	down
211908_x_at	IGHG1	0.03806434	up	down	down
219765_at	ZNF329	0.03806434	down	down	up
223066_at	SNAPIN	0.03806434	down	up	up
1567319_at		0.03806434	up	up	down
1569703_a_at		0.03806434	down	up	up
207742_s_at	NR6A1	0.03806434	up	up	down
1555928_at		0.03807635	up	up	down
201920_at	SLC20A1	0.03807867	up	down	down
213064_at	ZC3H14	0.03809587	up	up	up
229025_s_at	IMMP1L	0.03809812	down	up	up
243701_at		0.03810285	up	up	down
210783_x_at	CLEC11A	0.03811688	up	up	up
213698_at	ZMYM6	0.03814169	down	down	up
231217_at		0.03814781	up	up	down
238322_s_at	TEAD2	0.03815147	up	down	down
243699_at		0.03815771	down	down	down
229024_at		0.03815771	up	up	up
214855_s_at	GARNL1	0.03817028	down	down	up
230065_at	ZNF180	0.03817219	down	down	down
206553_at	OAS2	0.03817339	down	up	up
213346_at	C13orf27	0.03817477	down	down	down
217141_at	BTBD7	0.03818527	up	up	down
239960_x_at	LYRM7	0.03818693	down	up	up
242310_at		0.03819503	up	up	up
1568743_at	ATP10A	0.03820055	up	up	down
224944_at	TMPO	0.03820279	down	down	down
217566_s_at	TGM4	0.03820932	up	down	down
1553927_at	C7orf33	0.03820932	up	down	down
227396_at	PTPRJ	0.03820998	down	down	up
216269_s_at	ELN	0.03822303	up	down	down
207139_at	ATP4A	0.03823979	up	down	down
1562464_at		0.03826436	up	down	down
203998_s_at	SYT1	0.03826487	up	down	down
211904_x_at	RAD52	0.03826514	up	down	down
234157_at		0.03827646	down	down	down
1567080_s_at	CLN6	0.03827797	down	down	up
241525_at	LOC200772	0.03828711	up	up	down
1559461_at		0.03828818	up	down	down
209362_at	MED21	0.03828818	down	down	up
228874_at	PHLDB3	0.03828818	up	up	down
218435_at	DNAJC15	0.03828987	down	up	up
244881_at	LMLN	0.03828987	down	up	up
217991_x_at	SSBP3	0.03829928	up	up	up
236519_at	C9orf135	0.03830295	down	up	up
241582_at		0.03830348	up	up	down
223839_s_at	SCD	0.03830348	up	up	down
233560_x_at	MCM8	0.03830912	up	up	down
204589_at	NUAK1	0.03831565	down	down	up
240325_x_at	LOC442142	0.03832383	up	up	down
238007_at	ZNF271	0.03832576	down	up	up
1562801_at		0.0383265	up	down	down
240020_at		0.0383265	up	down	down
213613_s_at	NADK	0.0383265	up	up	down
234082_at		0.03832663	down	down	down
228716_at	THRB	0.03832663	up	up	down
201773_at	ADNP	0.03833016	down	down	up
242891_at	ADCY5	0.03833437	up	down	down
220013_at	EPHX3	0.03833437	down	down	down
239896_at		0.03833437	up	up	up
1567249_at	OR9A1P	0.03833501	up	up	up
1561558_at		0.03837085	down	up	up
239300_at		0.03837085	up	up	up
237355_at		0.03837713	up	up	down
209167_at	GPM6B	0.03838367	up	up	up
203991_s_at	KDM6A	0.03838718	down	down	up
206558_at	SIM2	0.03838718	up	down	down
234728_s_at	DHX35	0.03839121	down	down	up
221399_at	EDA2R	0.03839453	up	down	down
201097_s_at	ARF4	0.03839453	down	down	up
1556698_a_at	GPRIN3	0.03839453	down	down	down
1569745_at		0.03839453	up	up	down
209967_s_at	CREM	0.03839453	up	up	up
223522_at	C9orf45	0.03839453	down	up	up
230927_at		0.03842859	down	down	up
230842_at		0.03842859	up	up	down
1556081_at		0.03843167	down	down	up
1555359_at	PIGQ	0.03843523	up	down	down
224960_at	SCYL2	0.03845457	down	down	up
217173_s_at	LDLR	0.03845689	up	down	down
238263_at	LOC285965	0.03850232	up	up	down
1561320_at		0.03851281	up	up	down
244816_at		0.03852234	up	up	down
222467_s_at	SAPS3	0.03857186	down	down	up
1555922_at	C10orf114	0.03857656	up	up	up
1560340_s_at	RP9P	0.03858155	down	down	down
223019_at	FAM129B	0.03860012	up	up	down
237740_at		0.03860821	up	down	down
223771_at	TMEM87A	0.03861149	down	down	down
215532_x_at	ZNF492	0.03861787	down	down	down
242832_at	PER1	0.03862184	up	up	down
216421_at		0.03862361	down	down	up
216467_s_at		0.03862361	up	up	up
214404_x_at	SPDEF	0.03864053	up	up	down
233940_at		0.03864254	down	down	down
228960_at	NARG2	0.03864254	down	up	up
217021_at	CYB5A	0.0386445	down	up	up
232715_at		0.03864827	down	up	up
212910_at	THAP11	0.03864881	down	down	down
206414_s_at	ASAP2	0.03864881	down	down	down
1569578_at		0.0386562	up	down	down
233020_at		0.03867461	down	down	up
222347_at	LOC644450	0.03868446	up	down	down
216213_at	NEK1	0.03869677	down	down	up
201042_at	TGM2	0.03869677	up	down	down
242908_x_at		0.03869677	down	up	up
236205_at	ABCC6P1	0.03869681	down	up	up
238240_at		0.03869759	up	up	down
206538_at	MRAS	0.03870977	up	up	down
212078_s_at	MLL	0.0387197	up	down	down
225077_at	CHD2	0.03875359	up	up	down
1566503_at		0.03875422	up	down	down
213733_at	MYO1F	0.03875699	up	down	down
235693_at		0.03875787	up	up	up
224507_s_at	MGC12916	0.03876031	up	down	down
221175_at	C3orf36	0.03876031	up	up	down
215140_at	LOC100128570	0.03878077	up	down	down
227554_at		0.03878077	down	up	up
209368_at	EPHX2	0.03878711	down	down	up
1562942_at		0.03879802	up	up	down
202624_s_at	CABIN1	0.03881795	down	up	up
232156_at	MUDENG	0.03882885	up	up	down
244824_at		0.03885358	down	down	up
205207_at	IL6	0.03885358	up	up	up
237841_at		0.03889187	down	up	up
211479_s_at	HTR2C	0.0388964	up	down	down
231599_x_at	DPF1	0.03889899	up	down	down
1563182_at	ACVR1C	0.03889899	up	down	down
235429_at		0.03889899	up	up	up
232589_at		0.03890101	down	up	up
221193_s_at	ZCCHC10	0.03890713	down	down	up
223748_at	SLC4A11	0.03890764	down	down	down
1555647_a_at	FOXP2	0.03890764	down	up	up
225283_at	ARRDC4	0.03890764	up	up	up
210459_at	PSMD4	0.03892114	up	up	down
1568375_at	DEFB124	0.0389552	up	up	down
207830_s_at	PPP1R8	0.03896465	down	down	up
221423_s_at	YIPF5	0.03896775	down	down	up
205784_x_at	ARVCF	0.03896775	up	up	down
243942_at		0.03896775	up	up	down
202110_at	COX7B	0.03896775	down	up	up
231479_at	TTC33	0.03896961	down	up	up
241083_at		0.03897078	up	down	down
243272_at		0.03898065	up	down	down
200816_s_at	PAFAH1B1	0.03898065	down	down	down
236922_at		0.03898065	down	up	up
215434_x_at	NBPF1 /// NBPF10	0.03898065	up	up	up
214048_at	MBD4	0.03898582	down	down	down
212525_s_at	H2AFX	0.03898982	up	down	down
202271_at	FBXO28	0.03901877	down	down	up
1569272_at	PIK3C3	0.03903558	up	up	down
221770_at	RPE	0.03904625	down	down	up
236689_at	RNF151	0.03905848	up	up	down
224773_at	NAV1	0.03905956	up	up	down
211926_s_at	MYH9	0.03908643	up	down	down
216542_x_at	IGHA1 /// IGHG1 /// IGHV3-23	0.03908643	up	up	down
218866_s_at	POLR3K	0.03909713	down	down	down
212719_at	PHLPP	0.03910112	down	down	up
219711_at	ZNF586	0.03910112	down	down	down
228725_x_at	PRMT2	0.03910112	down	up	up
243352_at	ALPK1	0.03910817	up	down	down
240521_at		0.0391276	up	down	down
211871_x_at	GNB5	0.03912795	down	down	up
220597_s_at	ARL6IP4	0.03913008	up	up	down
1570307_s_at		0.03914899	up	down	down
214173_x_at	C19orf2	0.03916189	down	up	up
207402_at	ZNF132	0.03916247	down	down	up
1561067_at		0.03918542	down	down	up
229602_at		0.03918542	down	down	down
229071_at	C17orf100	0.03918542	down	down	down
226830_x_at	CHD2	0.03918542	down	up	up
240979_at	LOC284100	0.03918698	up	up	down
234887_at		0.03918698	up	up	down
225937_at		0.03920103	up	up	down
1560277_a_at	LOC283403	0.0392159	up	up	down
212224_at	ALDH1A1	0.0392215	down	down	down
211798_x_at	IGLJ3	0.03922382	up	up	down
213815_x_at	C19orf29	0.03922732	up	down	down
223431_at	CNO	0.03922756	down	down	up
205995_x_at	IQCB1	0.03922756	down	down	up
226752_at	FAM174A	0.03923491	down	down	up
216125_s_at	RANBP9	0.03923589	down	down	up
238265_x_at		0.03926978	up	down	down
223026_s_at	VPS29	0.03933863	down	down	up
224660_at	PIGY	0.03933863	down	up	up
204535_s_at	REST	0.03934673	up	up	down
1559728_at	ZBTB40	0.03934927	up	down	down
212167_s_at	SMARCB1	0.03935713	down	down	down
231893_at	KIAA1755	0.03935799	up	down	down
234862_at		0.03935799	up	up	down
230915_at	DHRS7C	0.03936866	up	down	down
33148_at	ZFR	0.03937602	up	up	up
238231_at	NFYC	0.03938112	down	down	up
210237_at	ARTN	0.03939479	up	down	down
205459_s_at	NPAS2	0.03940485	down	down	down
210338_s_at	HSPA8	0.03943282	down	down	up
211336_x_at	LILRB1	0.03943383	up	down	down
229648_at	RICS	0.03943383	down	down	down
1552596_at	GAS2L2	0.03943383	down	up	up
226098_at	IFT80	0.03943383	down	up	up
1567702_at		0.03944001	up	down	down
203844_at	VHL	0.03944566	up	up	down
219369_s_at	OTUB2	0.03947664	down	up	up
202825_at	SLC25A4	0.03948656	down	down	up
216551_x_at	PLCG1	0.03948737	up	down	down
229362_at	PUS10	0.03950011	down	up	up
238685_at	LOC729178	0.03950882	up	up	down
221964_at	TULP3	0.03951327	down	down	down
225177_at	RAB11FIP1	0.03952438	down	down	up
235198_at	OSTM1	0.03952438	down	down	up
232432_s_at	SLC30A5	0.03952665	down	down	up
1562482_at		0.03953381	up	up	down
1558963_at		0.03953954	up	up	down
1557890_at	LOC729178	0.03956711	up	up	down
201682_at	PMPCB	0.03956923	down	down	up
240018_at		0.03957213	up	up	up
229484_at	PPM1J	0.03959338	down	up	up
208568_at	MC2R	0.03960032	up	up	down
221853_s_at	NOMO1 /// NOMO2 /// NOMO3	0.03960092	up	down	down
236420_s_at	ANO4	0.0396025	up	down	down
219564_at	KCNJ16	0.0396025	down	down	up
1557047_at	YEATS2	0.03962508	up	down	down
203108_at	GPRC5A	0.03962915	up	up	down
212485_at	GPATCH8	0.03963212	down	down	down
217534_at	FAM49B	0.03963974	up	down	down
229426_at	COX5A	0.03966936	down	down	up
227986_at	ZNF343	0.03968624	down	down	up
1558581_at	LOC647310	0.03968886	up	up	down
227797_x_at	LYRM2	0.03969303	down	down	up
215539_at		0.03969303	up	up	down
1559755_at	C21orf49	0.03969303	up	up	down
224703_at	WDR22	0.03969303	up	up	down
1552625_a_at	TRNT1	0.03970441	down	down	up
235485_at	WDR44	0.03973732	up	up	down
213691_at		0.03974683	up	up	down
1553338_at	C1orf55	0.03974774	down	down	up
213765_at	MFAP5	0.03975298	down	up	up
220674_at	CD22	0.03975799	up	up	down
203972_s_at	PEX3	0.03975898	down	down	up
1561642_at		0.03977646	up	down	down
230373_at		0.03977646	up	up	down
230453_s_at	ATP2A3	0.0397765	up	up	down
243421_at		0.0397765	up	up	up
204702_s_at	NFE2L3	0.03977841	down	down	down
236729_at	CASP3	0.03978821	up	down	down
229092_at	NR2F2	0.03981327	down	down	down
233733_at		0.03982191	up	down	down
222672_at	LYRM4	0.03982191	down	down	up
204248_at	GNA11	0.03982308	up	up	down
209186_at	ATP2A2	0.03985434	down	down	down
215553_x_at		0.03985434	up	up	down
1557804_at		0.03986581	down	down	down
241742_at	PRAM1	0.03986581	up	up	down
240748_at		0.03986581	up	up	down
1555112_a_at	C1orf114	0.03986581	down	up	up
1560836_at		0.03986994	down	up	up
228701_at	C8orf46	0.03989824	up	down	down
1554537_at	TMEM126B	0.03990083	down	down	up
228744_at	HAUS2	0.03990112	down	down	up
209395_at	CHI3L1	0.03990711	up	up	down
227474_at	LOC654433	0.03996097	up	up	down
244434_at		0.03996423	up	down	down
1555322_at	PP2672	0.03996661	up	down	down
223518_at	DFFA	0.03997319	up	down	down
218889_at	NOC3L	0.03997467	down	down	up
1553931_at	OSTCL	0.03998332	up	down	down
226410_at	C16orf84	0.03998332	up	up	down
236158_at		0.03998616	down	up	up
216304_x_at	YME1L1	0.03998946	down	down	up
218983_at	C1RL	0.03998946	up	up	down
228778_at		0.03999232	down	down	up
226927_at	C12orf73	0.0400026	down	down	down
239221_at	GPR123	0.04000915	up	down	down
223689_at	IGF2BP1	0.0400311	up	up	down
221159_at		0.04003788	up	down	down
202881_x_at		0.04005601	up	up	down
216471_x_at	LOC100130648 /// SSX2 /// SSX2B	0.04005645	up	up	down
1560745_at		0.04006628	down	down	up
224506_s_at	PPAPDC3	0.04006738	up	up	up
234856_at		0.04009214	up	down	down
235794_at	MOBP	0.04009214	down	down	down
1559777_at	LOC731424	0.04009214	up	up	down
207643_s_at	TNFRSF1A	0.04009214	up	up	down
233394_at	NFIB	0.04012465	down	down	up
204667_at	FOXA1	0.04012896	down	up	up
219572_at	CADPS2	0.04016938	down	down	up
244310_at		0.0401741	up	up	down
204340_at	TMEM187	0.04019959	down	up	up
215035_at	IGLV6-57	0.0402035	up	up	down
1559550_s_at		0.04022666	up	up	down
1554847_at	ATP6V1B1	0.04023018	up	up	down
222146_s_at	TCF4	0.04023372	up	up	down
226088_at	ZDHHC12	0.04023711	up	down	down
1552800_at	ABHD11	0.04028261	up	up	down
221689_s_at	PIGP	0.04028788	down	up	up
1556156_at	ESRRB	0.0402931	up	down	down
1561534_at		0.04030212	down	down	down
1556677_at		0.04030761	down	up	up
230090_at	GDNF	0.04031242	down	down	down
214733_s_at	YIPF1	0.04031527	down	down	up
233440_at		0.04031861	up	down	down
227600_at		0.04032391	down	down	up
209155_s_at	NT5C2	0.04032563	down	down	down
229021_at	MCTP2	0.04032642	up	down	down
1554679_a_at	LAPTM4B	0.04033369	down	down	up
209270_at	LAMB3	0.04033822	up	up	down
227179_at	STAU2	0.04033822	up	up	up
55872_at	ZNF512B	0.04034142	up	down	down
1569879_a_at	MEGF11	0.04034453	up	up	down
205168_at	DDR2	0.0403565	up	down	down
235959_at		0.0403565	down	down	down
1569724_at		0.0403565	up	up	down
201182_s_at	CHD4	0.0403733	up	up	down
242613_at		0.04038144	down	down	up
230018_at	DPP9	0.04038144	up	down	down
222843_at	FIGNL1	0.04038144	down	down	down
228388_at	NFKBIB	0.04038144	up	up	down
203550_s_at	C1orf2	0.04039486	up	down	down
232032_x_at	SDF4	0.04039965	up	down	down
1561891_at		0.0404155	down	down	up
1570405_at		0.04042185	up	down	down
216403_at	SP3P	0.04042185	up	down	down
205798_at	IL7R	0.04042185	up	down	down
242913_at	CLIC6	0.04042185	up	up	up
238284_at		0.04045557	up	up	down
223253_at	EPDR1	0.04046811	down	up	up
1560694_at	SFT2D1	0.04047617	down	up	up
242606_at		0.04047995	up	up	down
230239_at	ROCK1	0.04051003	up	up	down
209675_s_at	HNRNPUL1	0.04052268	up	down	down
217264_s_at	SCNN1A	0.04052939	up	up	down
220844_at	TCEB3B	0.04056189	up	down	down
204973_at	GJB1	0.04056189	up	down	down
212455_at	YTHDC1	0.04056189	down	down	down
209361_s_at	PCBP4	0.04056189	up	down	down
240882_at		0.04056189	up	up	down
211232_x_at	GLP1R	0.04056189	up	up	down
239839_at	ZNF555	0.04056283	down	down	up
227604_at	LOC151146	0.04056283	down	up	up
226850_at	SUMF1	0.04056283	down	up	up
234137_s_at		0.04056777	up	up	up
214199_at	SFTPD	0.04056777	up	up	up
221907_at	TRMT61A	0.04056934	up	up	down
221137_at		0.04056997	down	up	up
1559627_at	LOC285941	0.04058989	up	down	down
214403_x_at	SPDEF	0.04059355	up	up	down
216926_s_at	KIAA0892	0.04061785	up	down	down
233816_at		0.04061785	up	down	down
237969_at		0.04061848	up	up	down
1566784_at	LOC728806	0.04061848	up	up	down
1552379_at	RDH10	0.04064267	up	up	down
212567_s_at	MAP4	0.04065477	up	down	down
241265_x_at		0.0406565	down	down	up
1569029_at	MAP1D	0.0406565	up	down	down
240015_at		0.04065845	down	up	up
243705_at	DDHD1	0.04067928	up	down	down
214023_x_at	TUBB2B	0.0406946	down	up	up
213860_x_at	CSNK1A1	0.04069974	down	down	up
222272_x_at	SCIN	0.04069974	up	up	down
228077_at	MRI1	0.04072632	down	down	up
238871_at	MLLT4	0.04072632	up	down	down
205146_x_at	APBA3	0.04072632	up	up	down
235871_at	LIPH	0.0407407	up	up	down
201785_at	RNASE1	0.04074779	down	down	up
210512_s_at	VEGFA	0.04075811	up	up	down
225829_at	PDZD8	0.04078832	down	down	up
209853_s_at	PSME3	0.04079051	down	up	up
241370_at	LOC286052	0.04079507	down	up	up
233279_at		0.04079687	up	up	down
240514_at	PGA3	0.04079859	up	down	down
206866_at	CDH4	0.04080853	up	up	down
1558202_at	LOC145783	0.04080877	down	down	up
227773_at	SAMD10	0.04081529	up	down	down
202812_at	GAA	0.04081713	down	down	down
234061_at		0.04082233	up	up	down
216215_s_at	RBM9	0.04083636	down	down	down
206223_at	LMTK2	0.04087178	up	down	down
213250_at	CCDC85B	0.04087178	up	down	down
215966_x_at	GK3P	0.04087178	down	up	up
234959_at		0.04087682	up	up	down
219343_at	CDC37L1	0.04088806	down	down	up
226081_at	LZIC	0.04088806	down	down	up
229925_at	SLC6A17	0.04088806	up	down	down
230161_at		0.0408983	down	up	up
1557438_at		0.04090276	down	up	up
213287_s_at	KRT10	0.04090276	down	up	up
214525_x_at	MLH3	0.04090614	up	down	down
243428_at	KCNQ1OT1	0.04092404	up	down	down
227636_at	THAP5	0.04093672	down	down	up
227040_at	NHLRC3	0.04096583	down	down	up
224472_x_at	SDF4	0.04097813	up	down	down
1562794_at		0.04097813	up	down	down
1555735_a_at	BAP1	0.04097813	down	down	down
230147_at	F2RL2	0.04098015	up	up	up
230553_at		0.04098254	up	up	down
206391_at	RARRES1	0.04098622	up	down	down
211242_x_at	KIR2DL4	0.04098908	up	up	down
200668_s_at	UBE2D3	0.04099212	down	down	up
1554672_at	TTC26	0.04099421	down	up	up
210463_x_at	TRMT1	0.0409943	down	down	down
241389_at	CHRNB2	0.04101545	up	down	down
213337_s_at	SOCS1	0.04102207	up	up	down
235253_at	RAD1	0.04102302	down	down	up
1555323_at	ABCB9	0.04104788	up	up	down
244559_at		0.04104856	down	down	up
201676_x_at	PSMA1	0.04107521	down	down	up
39891_at	ZNF710	0.04107645	up	down	down
211548_s_at	HPGD	0.04108419	down	down	up
228609_at		0.04111341	up	up	down
217046_s_at	AGER	0.04111341	up	up	down
210567_s_at	SKP2	0.04112468	down	down	up
218290_at	PLEKHJ1	0.04112706	up	down	down
1562572_at		0.04112706	down	down	up
231374_at		0.04112706	up	down	down
239151_at	RP11-144G6.7	0.04113879	down	up	up
215949_x_at	IGHM /// LOC652494	0.04114227	up	up	down
221393_at	TAAR3	0.04114711	up	up	up
205961_s_at	PSIP1	0.04115045	down	up	up
202724_s_at	FOXO1	0.0411521	down	down	down
1555155_at	MLLT6	0.04116328	up	down	down
203685_at	BCL2	0.0411743	down	up	up
218717_s_at	LEPREL1	0.04117484	down	down	up
1561450_at		0.04117494	down	up	up
1560536_at		0.04118472	up	up	down
207341_at	PRTN3	0.04118628	up	up	down
215432_at	ACSM1	0.04122052	down	up	up
206908_s_at	CLDN11	0.04122238	up	down	down
226305_at	LYNX1	0.04122238	up	down	down
1554371_at	PKD1L2	0.04122238	up	up	down
1553880_at	C10orf91	0.04122813	up	down	down
238455_at		0.04122813	down	down	up
229132_at	MINA	0.0412282	down	up	up
238847_at		0.04123474	down	down	up
219689_at	SEMA3G	0.04124069	down	down	up
237876_at		0.04124209	down	down	up
205413_at	MPPED2	0.04124611	down	down	up
216965_x_at	SPG20	0.04125112	down	down	up
211821_x_at	GYPA	0.04125112	up	up	up
204786_s_at	IFNAR2	0.04125112	up	up	down
224501_at	C1orf170	0.04125337	up	up	down
243874_at	LPP	0.04125337	up	up	down
210222_s_at	RTN1	0.04125757	down	up	up
216854_at	GDF11	0.04125925	up	up	down
230539_at	FAM182A	0.04128094	down	up	up
232805_at		0.04128165	up	down	down
204096_s_at	ELL	0.0412838	up	down	down
49051_g_at	DTX3	0.04128959	down	down	down
213563_s_at	TUBGCP2	0.04129199	up	up	down
214438_at	HLX	0.04129695	up	down	down
244225_x_at	LMNA	0.04129695	up	up	down
219641_at	DET1	0.04130703	down	down	up
226127_at	ALKBH3	0.04131362	down	down	up
229891_x_at	KIAA1704	0.04132136	down	down	up
1560633_a_at	D21S2089E	0.04133317	up	down	down
1553949_at	IQSEC3	0.04134772	down	down	up
209578_s_at	POFUT2	0.04135479	up	up	up
203569_s_at	OFD1	0.04138012	up	up	up
221469_at	GPR32	0.04140126	up	down	down
231289_at	NCOA1	0.04140126	up	up	down
226500_at	ZBTB47	0.04141225	up	down	down
222897_s_at	ZFP64	0.04142498	up	down	down
221865_at	C9orf91	0.04142498	down	down	down
238735_at		0.04142498	down	up	up
201493_s_at	PUM2	0.04143601	down	down	up
219837_s_at	CYTL1	0.04143601	down	down	up
235249_at	RDH13	0.04143601	up	up	down
229112_at	SIRT5	0.04144252	up	up	down
239101_at	ITCH	0.04144365	down	down	up
230410_at	NRP2	0.04144365	up	up	down
217639_at		0.04144365	up	up	down
223920_s_at	TP53AIP1	0.04145425	up	up	down
212946_at	KIAA0564	0.04145505	down	up	up
216049_at	RHOBTB3	0.04145505	up	up	down
218128_at	NFYB	0.04146181	down	down	up
231091_x_at		0.0414761	up	up	down
220999_s_at	CYFIP2	0.04151363	up	down	down
221333_at	FOXP3	0.04151754	up	up	down
1552408_at	ODF4	0.04151754	up	up	down
225334_at	C10orf32	0.04153246	down	down	up
226392_at		0.04153246	down	down	up
234105_at		0.04153246	up	down	down
210360_s_at	MTSS1	0.04153868	up	down	down
205699_at	MAP2K6	0.04153868	up	up	up
202400_s_at	SRF	0.04154332	up	up	down
227928_at	C12orf48	0.04155318	down	down	up
216581_at		0.04155628	up	up	down
237471_at	LOC154822	0.04155923	down	up	up
202829_s_at	VAMP7	0.04157217	down	down	up
219800_s_at	THNSL1	0.04157217	down	down	up
233091_at	ATAD3B	0.04157472	up	down	down
1556670_at		0.04157472	up	up	down
202191_s_at	GAS7	0.04157472	up	up	up
201672_s_at	USP14	0.04160581	down	down	down
235764_at		0.04160985	down	down	up
215661_at	MAST2	0.04161301	up	up	down
1552617_a_at	RFWD2	0.04161841	down	down	up
