Probe Set ID	Gene Symbol	Corrected p-value	Regulation ([PF] vs [SP])1	Regulation ([PF] vs [ST])1	Regulation ([SP] vs [ST])1
222556_at	ALG5	3.13E-06	down	down	up
218823_s_at	KCTD9	3.13E-06	down	up	up
207076_s_at	ASS1	3.14E-06	up	up	up
201373_at	PLEC1	3.20E-06	up	up	up
214455_at	HIST1H2BC	3.22E-06	down	up	up
240616_at	LOC100131110	3.24E-06	up	up	up
222005_s_at	GNG3	3.26E-06	up	down	down
222651_s_at	TRPS1	3.33E-06	up	up	up
203232_s_at	ATXN1	3.36E-06	down	up	up
1568955_at	SRGAP2P1	3.39E-06	down	up	up
225165_at	PPP1R1B	3.39E-06	up	up	up
209644_x_at	CDKN2A	3.42E-06	up	down	down
218706_s_at	GRAMD3	3.43E-06	down	up	up
221756_at	PIK3IP1	3.53E-06	up	down	down
1559078_at	BCL11A	3.55E-06	down	down	down
1559103_s_at		3.61E-06	down	up	up
236448_at	UNC5A	3.62E-06	up	down	down
1559141_s_at	FAM87B	3.62E-06	up	up	up
225720_at	SYNPO2	3.62E-06	down	up	up
219498_s_at	BCL11A	3.65E-06	down	down	down
202032_s_at	MAN2A2	3.72E-06	up	down	down
239082_at		3.76E-06	down	up	up
225895_at	SYNPO2	3.77E-06	up	up	up
224076_s_at	WHSC1L1	3.78E-06	down	down	down
204713_s_at	F5	3.78E-06	up	up	up
205218_at	POLR3F	3.81E-06	down	down	up
227627_at	SGK3	3.81E-06	down	down	down
223085_at	RNF19A	3.81E-06	up	up	up
242125_at		3.85E-06	up	down	down
234041_at		3.85E-06	down	up	up
227973_at	C2orf69	3.87E-06	down	down	down
230597_at	SLC7A3	3.87E-06	up	down	down
204714_s_at	F5	3.88E-06	up	up	up
236577_at		3.90E-06	up	up	up
244422_at		3.91E-06	up	up	up
