Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with +8 and normal
216361_s_at	RUNXBP2	8p11	present at least in one case	present at least in one case
242290_at	TACC1	8p11	present at least in one case	present at least in one case
217437_s_at	TACC1	8p11	present at least in one case	present at least in one case
202423_at	RUNXBP2	8p11	present at least in one case	present at least in one case
200911_s_at	TACC1	8p11	present at least in one case	present at least in one case
236371_s_at	NCOA6IP	8q11	absent in all cases	absent in all cases
213139_at	SNAI2	8q11	present at least in one case	present at least in one case
221367_at	MOS	8q11	present at least in one case	present at least in one case
238346_s_at	NCOA6IP	8q11	present at least in one case	present at least in one case
210543_s_at	PRKDC	8q11	present at least in one case	present at least in one case
219231_at	NCOA6IP	8q11	present at least in one case	present at least in one case
208694_at	PRKDC	8q11	present at least in one case	present at least in one case
220156_at	FLJ11767	8q11.1	absent in all cases	absent in all cases
230411_at	UBE2V2	8q11.1	present at least in one case	present at least in one case
209096_at	UBE2V2	8q11.1	present at least in one case	present at least in one case
207553_at	OPRK1	8q11.2	absent in all cases	absent in all cases
241942_at	FLJ25471	8q11.21	absent in all cases	absent in all cases
207479_at	KIAA0146	8q11.21	present at least in one case	present at least in one case
212523_s_at	KIAA0146	8q11.21	present at least in one case	present at least in one case
228325_at	KIAA0146	8q11.21	present at least in one case	present at least in one case
206135_at	ST18	8q11.22	present at least in one case	present at least in one case
237802_at	KIAA1889	8q11.22	present at least in one case	present at least in one case
219993_at	SOX17	8q11.22	present at least in one case	present at least in one case
232382_s_at	LOC115294	8q11.22	present at least in one case	present at least in one case
235507_at	LOC115294	8q11.22	present at least in one case	present at least in one case
226119_at	LOC115294	8q11.22	present at least in one case	present at least in one case
210464_at	DKFZP434F122	8q11.23	absent in all cases	absent in all cases
222655_s_at	FLJ20421	8q11.23	absent in all cases	absent in all cases
227774_s_at	FLJ20421	8q11.23	absent in all cases	absent in all cases
232460_at	LYPLA1	8q11.23	absent in all cases	absent in all cases
230692_at	LOC157503	8q11.23	present at least in one case	absent in all cases
227800_at	MGC39325	8q11.23	present at least in one case	present at least in one case
226483_at	FLJ32370	8q11.23	present at least in one case	present at least in one case
204530_s_at	TOX	8q11.23	present at least in one case	present at least in one case
221959_at	MGC39325	8q11.23	present at least in one case	present at least in one case
228790_at	MGC39325	8q11.23	present at least in one case	present at least in one case
204529_s_at	TOX	8q11.23	present at least in one case	present at least in one case
222654_at	FLJ20421	8q11.23	present at least in one case	present at least in one case
218516_s_at	FLJ20421	8q11.23	present at least in one case	present at least in one case
238903_at	LOC137886	8q11.23	present at least in one case	present at least in one case
212934_at	LOC137886	8q11.23	present at least in one case	present at least in one case
222701_s_at	MGC2217	8q11.23	present at least in one case	present at least in one case
227936_at	FLJ32370	8q11.23	present at least in one case	present at least in one case
218642_s_at	MGC2217	8q11.23	present at least in one case	present at least in one case
210428_s_at	LYPLA1	8q11.23	present at least in one case	present at least in one case
203007_x_at	LYPLA1	8q11.23	present at least in one case	present at least in one case
212449_s_at	LYPLA1	8q11.23	present at least in one case	present at least in one case
225834_at	MRPL15	8q11.2-q13	present at least in one case	present at least in one case
218027_at	MRPL15	8q11.2-q13	present at least in one case	present at least in one case
207406_at	CYP7A1	8q11-q12	present at least in one case	present at least in one case
220234_at	CA8	8q11-q12	present at least in one case	present at least in one case
234919_s_at	SNTG1	8q11-q12	present at least in one case	present at least in one case
220405_at	SNTG1	8q11-q12	present at least in one case	present at least in one case
224021_at	RP1	8q11-q13	present at least in one case	present at least in one case
205372_at	PLAG1	8q12	present at least in one case	present at least in one case
216247_at	RPS20	8q12	present at least in one case	present at least in one case
216246_at	RPS20	8q12	present at least in one case	present at least in one case
200958_s_at	SDCBP	8q12	present at least in one case	present at least in one case
200949_x_at	RPS20	8q12	present at least in one case	present at least in one case
214003_x_at	RPS20	8q12	present at least in one case	present at least in one case
210138_at	RGS20	8q12.1	absent in all cases	absent in all cases
222755_s_at	KIAA1416	8q12.1	absent in all cases	absent in all cases
230217_at	MGC34646	8q12.1	absent in all cases	absent in all cases
242037_at	ASPH	8q12.1	absent in all cases	absent in all cases
238017_at	RDH-E2	8q12.1	present at least in one case	present at least in one case
207284_s_at	ASPH	8q12.1	present at least in one case	present at least in one case
205808_at	ASPH	8q12.1	present at least in one case	present at least in one case
220619_at	KIAA1416	8q12.1	present at least in one case	present at least in one case
208733_at	RAB2	8q12.1	present at least in one case	present at least in one case
209135_at	ASPH	8q12.1	present at least in one case	present at least in one case
226123_at	LOC286180	8q12.1	present at least in one case	present at least in one case
210896_s_at	ASPH	8q12.1	present at least in one case	present at least in one case
203207_s_at	CHPPR	8q12.1	present at least in one case	present at least in one case
225008_at	MGC34646	8q12.1	present at least in one case	present at least in one case
221960_s_at	RAB2	8q12.1	present at least in one case	present at least in one case
203208_s_at	CHPPR	8q12.1	present at least in one case	present at least in one case
218829_s_at	KIAA1416	8q12.1	present at least in one case	present at least in one case
208732_at	RAB2	8q12.1	present at least in one case	present at least in one case
224996_at	MGC34646	8q12.1	present at least in one case	present at least in one case
208730_x_at	RAB2	8q12.1	present at least in one case	present at least in one case
203560_at	GGH	8q12.1	present at least in one case	present at least in one case
208731_at	RAB2	8q12.1	present at least in one case	present at least in one case
208734_x_at	RAB2	8q12.1	present at least in one case	present at least in one case
221749_at	FLJ31657	8q12.1	present at least in one case	present at least in one case
218185_s_at	FLJ10511	8q12.2	present at least in one case	present at least in one case
222550_at	FLJ10511	8q12.2	present at least in one case	present at least in one case
224028_at	CPA6	8q12.3	absent in all cases	absent in all cases
228695_at	MGC33510	8q12.3	absent in all cases	absent in all cases
228701_at	MGC33510	8q12.3	absent in all cases	absent in all cases
233408_at	FLJ12987	8q12.3	absent in all cases	absent in all cases
236175_at	RNF29	8q12.3	absent in all cases	absent in all cases
232721_at	RNF29	8q12.3	present at least in one case	present at least in one case
229430_at	MGC33510	8q12.3	present at least in one case	present at least in one case
220732_at	FLJ12987	8q12.3	present at least in one case	present at least in one case
243264_s_at	FLJ11267	8q12.3	present at least in one case	present at least in one case
232798_at	LOC85479	8q12.3	present at least in one case	present at least in one case
220216_at	FLJ11267	8q12.3	present at least in one case	present at least in one case
221925_s_at	FLJ22490	8q12.3	present at least in one case	present at least in one case
220072_at	FLJ22490	8q12.3	present at least in one case	present at least in one case
209567_at	RRS1	8q12.3	present at least in one case	present at least in one case
227105_at	FLJ22490	8q12.3	present at least in one case	present at least in one case
227113_at	ADH8	8q12.3	present at least in one case	present at least in one case
201652_at	COPS5	8q12.3	present at least in one case	present at least in one case
220038_at	SGKL	8q12.3-8q13.1	present at least in one case	present at least in one case
227627_at	SGKL	8q12.3-8q13.1	present at least in one case	present at least in one case
206693_at	IL7	8q12-q13	present at least in one case	present at least in one case
212142_at	MCM4	8q12-q13	present at least in one case	present at least in one case
222037_at	MCM4	8q12-q13	present at least in one case	present at least in one case
212141_at	MCM4	8q12-q13	present at least in one case	present at least in one case
222036_s_at	MCM4	8q12-q13	present at least in one case	present at least in one case
203269_at	NSMAF	8q12-q13	present at least in one case	present at least in one case
205629_s_at	CRH	8q13	absent in all cases	absent in all cases
217590_s_at	ANKTM1	8q13	absent in all cases	absent in all cases
243820_at	BHLHB5	8q13	absent in all cases	absent in all cases
231380_at	VEST1	8q13	present at least in one case	present at least in one case
205630_at	CRH	8q13	present at least in one case	present at least in one case
228636_at	BHLHB5	8q13	present at least in one case	present at least in one case
234988_at	VCIP135	8q13	present at least in one case	present at least in one case
208349_at	ANKTM1	8q13	present at least in one case	present at least in one case
230500_at	PDE7A	8q13	present at least in one case	present at least in one case
224046_s_at	PDE7A	8q13	present at least in one case	present at least in one case
219810_at	VCIP135	8q13	present at least in one case	present at least in one case
203449_s_at	TERF1	8q13	present at least in one case	present at least in one case
203448_s_at	TERF1	8q13	present at least in one case	present at least in one case
202955_s_at	BIG1	8q13	present at least in one case	present at least in one case
216266_s_at	BIG1	8q13	present at least in one case	present at least in one case
202956_at	BIG1	8q13	present at least in one case	present at least in one case
210754_s_at	LYN	8q13	present at least in one case	present at least in one case
202625_at	LYN	8q13	present at least in one case	present at least in one case
202626_s_at	LYN	8q13	present at least in one case	present at least in one case
212344_at	SULF1	8q13.1	absent in all cases	absent in all cases
212353_at	SULF1	8q13.1	present at least in one case	present at least in one case
212354_at	SULF1	8q13.1	present at least in one case	present at least in one case
220984_s_at	OATPRP4	8q13.1	present at least in one case	present at least in one case
205731_s_at	NCOA2	8q13.1	present at least in one case	present at least in one case
208511_at	PTTG3	8q13.1	present at least in one case	present at least in one case
205732_s_at	NCOA2	8q13.1	present at least in one case	present at least in one case
210733_at	TRAM	8q13.1	present at least in one case	present at least in one case
212867_at	NCOA2	8q13.1	present at least in one case	present at least in one case
201399_s_at	TRAM	8q13.1	present at least in one case	present at least in one case
201398_s_at	TRAM	8q13.1	present at least in one case	present at least in one case
210614_at	TTPA	8q13.1-q13.3	present at least in one case	present at least in one case
208172_s_at	KCNB2	8q13.2	absent in all cases	absent in all cases
208123_at	KCNB2	8q13.2	present at least in one case	present at least in one case
214725_at	FLJ40021	8q13.2	present at least in one case	present at least in one case
239493_at	RPL7	8q13.2	present at least in one case	present at least in one case
235209_at	FLJ40021	8q13.2	present at least in one case	present at least in one case
235210_s_at	FLJ40021	8q13.2	present at least in one case	present at least in one case
240727_s_at	FLJ40021	8q13.2	present at least in one case	present at least in one case
218521_s_at	FLJ11011	8q13.2	present at least in one case	present at least in one case
222657_s_at	FLJ11011	8q13.2	present at least in one case	present at least in one case
212042_x_at	RPL7	8q13.2	present at least in one case	present at least in one case
200717_x_at	RPL7	8q13.2	present at least in one case	present at least in one case
207456_at	HNF4G	8q13.3	absent in all cases	absent in all cases
214608_s_at	EYA1	8q13.3	absent in all cases	absent in all cases
219779_at	ZFH4	8q13.3	absent in all cases	absent in all cases
221279_at	GDAP1	8q13.3	absent in all cases	absent in all cases
207938_at	PI15	8q13.3	present at least in one case	present at least in one case
223475_at	LOC83690	8q13.3	present at least in one case	present at least in one case
226083_at	FLJ20533	8q13.3	present at least in one case	present at least in one case
219448_at	FLJ20533	8q13.3	present at least in one case	present at least in one case
202823_at	TCEB1	8q13.3	present at least in one case	present at least in one case
206584_at	LY96	8q13.3	present at least in one case	present at least in one case
219449_s_at	FLJ20533	8q13.3	present at least in one case	present at least in one case
202824_s_at	TCEB1	8q13.3	present at least in one case	present at least in one case
222992_s_at	NDUFB9	8q13.3	present at least in one case	present at least in one case
204472_at	GEM	8q13-q21	present at least in one case	present at least in one case
222863_at	RINZF	8q13-q21.1	present at least in one case	present at least in one case
235491_at	RINZF	8q13-q21.1	present at least in one case	present at least in one case
229417_at	STAU2	8q13-q21.1	present at least in one case	present at least in one case
227179_at	STAU2	8q13-q21.1	present at least in one case	present at least in one case
204226_at	STAU2	8q13-q21.1	present at least in one case	present at least in one case
233899_x_at	RINZF	8q13-q21.1	present at least in one case	present at least in one case
219312_s_at	RINZF	8q13-q21.1	present at least in one case	present at least in one case
228562_at	RINZF	8q13-q21.1	present at least in one case	present at least in one case
204865_at	CA3	8q13-q22	present at least in one case	present at least in one case
205949_at	CA1	8q13-q22.1	present at least in one case	present at least in one case
205950_s_at	CA1	8q13-q22.1	present at least in one case	present at least in one case
218839_at	HEY1	8q21	absent in all cases	absent in all cases
229843_at	WWP1	8q21	absent in all cases	absent in all cases
235978_at	FABP4	8q21	absent in all cases	absent in all cases
208167_s_at	MMP16	8q21	present at least in one case	present at least in one case
207012_at	MMP16	8q21	present at least in one case	present at least in one case
207013_s_at	MMP16	8q21	present at least in one case	present at least in one case
208166_at	MMP16	8q21	present at least in one case	present at least in one case
209928_s_at	MSC	8q21	present at least in one case	present at least in one case
201691_s_at	TPD52	8q21	present at least in one case	present at least in one case
236655_at	TPD52	8q21	present at least in one case	present at least in one case
214161_at	C8orf1	8q21	present at least in one case	present at least in one case
208361_s_at	BN51T	8q21	present at least in one case	present at least in one case
212637_s_at	WWP1	8q21	present at least in one case	present at least in one case
203980_at	FABP4	8q21	present at least in one case	present at least in one case
204024_at	C8orf1	8q21	present at least in one case	present at least in one case
209544_at	RIPK2	8q21	present at least in one case	present at least in one case
41553_at	C8orf1	8q21	present at least in one case	present at least in one case
201688_s_at	TPD52	8q21	present at least in one case	present at least in one case
201689_s_at	TPD52	8q21	present at least in one case	present at least in one case
44783_s_at	HEY1	8q21	present at least in one case	present at least in one case
201690_s_at	TPD52	8q21	present at least in one case	present at least in one case
212638_s_at	WWP1	8q21	present at least in one case	present at least in one case
209545_s_at	RIPK2	8q21	present at least in one case	present at least in one case
228225_at	PXMP3	8q21.1	present at least in one case	present at least in one case
210296_s_at	PXMP3	8q21.1	present at least in one case	present at least in one case
203000_at	STMN2	8q21.11	absent in all cases	absent in all cases
236271_at	FABP5	8q21.11	present at least in one case	present at least in one case
203001_s_at	STMN2	8q21.11	present at least in one case	present at least in one case
231615_at	CGI-62	8q21.11	present at least in one case	present at least in one case
226864_at	PKIA	8q21.11	present at least in one case	present at least in one case
205308_at	CGI-62	8q21.11	present at least in one case	present at least in one case
204612_at	PKIA	8q21.11	present at least in one case	present at least in one case
225622_at	PAG	8q21.11	present at least in one case	present at least in one case
225626_at	PAG	8q21.11	present at least in one case	present at least in one case
202345_s_at	FABP5	8q21.11	present at least in one case	present at least in one case
226803_at	MGC22825	8q21.12	present at least in one case	present at least in one case
219793_at	SNX16	8q21.12	present at least in one case	present at least in one case
229618_at	SNX16	8q21.12	present at least in one case	present at least in one case
218919_at	FLJ14007	8q21.12	present at least in one case	present at least in one case
213967_at	LOC138046	8q21.13	absent in all cases	absent in all cases
231237_x_at	E2F5	8q21.13	absent in all cases	absent in all cases
238287_at	XAT2	8q21.13	absent in all cases	absent in all cases
221586_s_at	E2F5	8q21.13	present at least in one case	present at least in one case
222051_s_at	E2F5	8q21.13	present at least in one case	present at least in one case
222665_at	CGI-90	8q21.13	present at least in one case	present at least in one case
231872_at	KIAA1764	8q21.13	present at least in one case	present at least in one case
202118_s_at	CPNE3	8q21.13	present at least in one case	present at least in one case
218549_s_at	CGI-90	8q21.13	present at least in one case	present at least in one case
202119_s_at	CPNE3	8q21.13	present at least in one case	present at least in one case
226165_at	E2F5	8q21.13	present at least in one case	present at least in one case
203011_at	IMPA1	8q21.13-q21.3	present at least in one case	present at least in one case
219819_s_at	MRPS28	8q21.1-q21.2	present at least in one case	present at least in one case
223614_at	DKFZp761D112	8q21.2	present at least in one case	present at least in one case
220222_at	PRO1905	8q21.3	absent in all cases	absent in all cases
233305_at	STIP-1	8q21.3	present at least in one case	present at least in one case
232023_at	MGC26979	8q21.3	present at least in one case	present at least in one case
207386_at	CYP7B1	8q21.3	present at least in one case	present at least in one case
235759_at	STIP-1	8q21.3	present at least in one case	present at least in one case
242338_at	DKFZp762C1112	8q21.3	present at least in one case	present at least in one case
228011_at	LOC137392	8q21.3	present at least in one case	present at least in one case
225972_at	DKFZp762C1112	8q21.3	present at least in one case	present at least in one case
225974_at	DKFZp762C1112	8q21.3	present at least in one case	present at least in one case
226338_at	DKFZp762O076	8q21.3	present at least in one case	present at least in one case
222825_at	CGI-77	8q21.3	present at least in one case	present at least in one case
218273_s_at	PDP	8q21.3	present at least in one case	present at least in one case
235391_at	LOC137392	8q21.3	present at least in one case	present at least in one case
222572_at	PDP	8q21.3	present at least in one case	present at least in one case
202447_at	DECR1	8q21.3	present at least in one case	present at least in one case
219494_at	RAD54B	8q21.3-q22	present at least in one case	present at least in one case
205625_s_at	CALB1	8q21.3-q22.1	present at least in one case	present at least in one case
206826_at	PMP2	8q21.3-q22.1	present at least in one case	present at least in one case
205626_s_at	CALB1	8q21.3-q22.1	present at least in one case	present at least in one case
214630_at	CYP11B2	8q21-q22	absent in all cases	absent in all cases
222959_at	CNGB3	8q21-q22	absent in all cases	absent in all cases
220304_s_at	CNGB3	8q21-q22	present at least in one case	present at least in one case
217299_s_at	NBS1	8q21-q24	present at least in one case	present at least in one case
202905_x_at	NBS1	8q21-q24	present at least in one case	present at least in one case
202907_s_at	NBS1	8q21-q24	present at least in one case	present at least in one case
202906_s_at	NBS1	8q21-q24	present at least in one case	present at least in one case
216831_s_at	CBFA2T1	8q22	absent in all cases	absent in all cases
231705_at	UK114	8q22	absent in all cases	absent in all cases
232401_at	KCNS2	8q22	absent in all cases	absent in all cases
235602_at	TP53INP1	8q22	absent in all cases	absent in all cases
244721_at	TP53INP1	8q22	absent in all cases	absent in all cases
206065_s_at	DPYS	8q22	present at least in one case	present at least in one case
220483_s_at	RNF19	8q22	present at least in one case	present at least in one case
205528_s_at	CBFA2T1	8q22	present at least in one case	present at least in one case
221266_s_at	DCSTAMP	8q22	present at least in one case	present at least in one case
205529_s_at	CBFA2T1	8q22	present at least in one case	present at least in one case
216832_at	CBFA2T1	8q22	present at least in one case	present at least in one case
213906_at	MYBL1	8q22	present at least in one case	present at least in one case
202350_s_at	MATN2	8q22	present at least in one case	present at least in one case
228047_at	RPL30	8q22	present at least in one case	present at least in one case
208883_at	DD5	8q22	present at least in one case	present at least in one case
203790_s_at	UK114	8q22	present at least in one case	present at least in one case
209065_at	UQCRB	8q22	present at least in one case	present at least in one case
208882_s_at	DD5	8q22	present at least in one case	present at least in one case
208884_s_at	DD5	8q22	present at least in one case	present at least in one case
225912_at	TP53INP1	8q22	present at least in one case	present at least in one case
223085_at	RNF19	8q22	present at least in one case	present at least in one case
209301_at	CA2	8q22	present at least in one case	present at least in one case
201433_s_at	PTDSS1	8q22	present at least in one case	present at least in one case
209066_x_at	UQCRB	8q22	present at least in one case	present at least in one case
205849_s_at	UQCRB	8q22	present at least in one case	present at least in one case
200062_s_at - HG-U133B	RPL30	8q22	present at least in one case	present at least in one case
200062_s_at - HG-U133A	RPL30	8q22	present at least in one case	present at least in one case
209847_at	CDH17	8q22.1	absent in all cases	absent in all cases
213449_at	POP1	8q22.1	absent in all cases	absent in all cases
219121_s_at	FLJ20171	8q22.1	absent in all cases	absent in all cases
239269_at	LOC286148	8q22.1	absent in all cases	absent in all cases
225846_at	FLJ20171	8q22.1	present at least in one case	present at least in one case
211078_s_at	STK3	8q22.1	present at least in one case	present at least in one case
222950_at	FLJ13955	8q22.1	present at least in one case	present at least in one case
220549_at	FSBP	8q22.1	present at least in one case	present at least in one case
220128_s_at	FLJ13955	8q22.1	present at least in one case	present at least in one case
244569_at	LOC157657	8q22.1	present at least in one case	present at least in one case
220400_at	FLJ20583	8q22.1	present at least in one case	present at least in one case
211814_s_at	CCNE2	8q22.1	present at least in one case	present at least in one case
213122_at	KIAA1750	8q22.1	present at least in one case	present at least in one case
204068_at	STK3	8q22.1	present at least in one case	present at least in one case
213391_at	LOC286148	8q22.1	present at least in one case	present at least in one case
205034_at	CCNE2	8q22.1	present at least in one case	present at least in one case
219363_s_at	CGI-12	8q22.1	present at least in one case	present at least in one case
223110_at	DKFZP434I116	8q22.1	present at least in one case	present at least in one case
235509_at	MGC40214	8q22.1	present at least in one case	present at least in one case
208767_s_at	LAPTM4B	8q22.1	present at least in one case	present at least in one case
208029_s_at	LAPTM4B	8q22.1	present at least in one case	present at least in one case
222699_s_at	FLJ13187	8q22.1	present at least in one case	present at least in one case
218905_at	FLJ20530	8q22.1	present at least in one case	present at least in one case
218640_s_at	FLJ13187	8q22.1	present at least in one case	present at least in one case
214039_s_at	LAPTM4B	8q22.1	present at least in one case	present at least in one case
218049_s_at	MRPL13	8q22.1-q22.3	present at least in one case	present at least in one case
241987_x_at	MGC39715	8q22.2	absent in all cases	absent in all cases
223691_at	DKFZP434I092	8q22.2	present at least in one case	present at least in one case
212731_at	LOC157567	8q22.2	present at least in one case	present at least in one case
210117_at	SPAG1	8q22.2	present at least in one case	present at least in one case
203501_at	PGCP	8q22.2	present at least in one case	present at least in one case
208454_s_at	PGCP	8q22.2	present at least in one case	present at least in one case
213243_at	KIAA0532	8q22.2	present at least in one case	present at least in one case
236254_at	MGC45726	8q22.2	present at least in one case	present at least in one case
202634_at	POLR2K	8q22.2	present at least in one case	present at least in one case
202635_s_at	POLR2K	8q22.2	present at least in one case	present at least in one case
202393_s_at	TIEG	8q22.2	present at least in one case	present at least in one case
225568_at	PABPC1	8q22.2-q23	present at least in one case	present at least in one case
215157_x_at	PABPC1	8q22.2-q23	present at least in one case	present at least in one case
220254_at	ST7	8q22.2-q23.1	present at least in one case	present at least in one case
220253_s_at	ST7	8q22.2-q23.1	present at least in one case	present at least in one case
219631_at	ST7	8q22.2-q23.1	present at least in one case	present at least in one case
206137_at	RIMS2	8q22.3	absent in all cases	absent in all cases
207751_at	PRO2949	8q22.3	absent in all cases	absent in all cases
232326_at	LOC157556	8q22.3	absent in all cases	absent in all cases
213776_at	LOC157562	8q22.3	present at least in one case	present at least in one case
220843_s_at	DKFZP564O0463	8q22.3	present at least in one case	present at least in one case
219388_at	FLJ13782	8q22.3	present at least in one case	present at least in one case
215302_at	LOC257152	8q22.3	present at least in one case	present at least in one case
225681_at	CTHRC1	8q22.3	present at least in one case	present at least in one case
215478_at	RIMS2	8q22.3	present at least in one case	present at least in one case
214485_at	ODF1	8q22.3	present at least in one case	present at least in one case
231784_s_at	DKFZP564O0463	8q22.3	present at least in one case	present at least in one case
202872_at	ATP6V1C1	8q22.3	present at least in one case	present at least in one case
222780_s_at	BAALC	8q22.3	present at least in one case	present at least in one case
202874_s_at	ATP6V1C1	8q22.3	present at least in one case	present at least in one case
213747_at	OAZIN	8q22.3	present at least in one case	present at least in one case
218899_s_at	BAALC	8q22.3	present at least in one case	present at least in one case
221020_s_at	MFTC	8q22.3	present at least in one case	present at least in one case
227141_at	CTHRC1	8q22.3	present at least in one case	present at least in one case
225676_s_at	DKFZP564O0463	8q22.3	present at least in one case	present at least in one case
201772_at	OAZIN	8q22.3	present at least in one case	present at least in one case
211445_x_at	FKSG17	8q22.3	present at least in one case	present at least in one case
218059_at	LOC51123	8q22.3	present at least in one case	present at least in one case
212461_at	OAZIN	8q22.3	present at least in one case	present at least in one case
220294_at	KCNV1	8q22.3-8q24.1	absent in all cases	absent in all cases
205608_s_at	ANGPT1	8q22.3-q23	present at least in one case	present at least in one case
205609_at	ANGPT1	8q22.3-q23	present at least in one case	present at least in one case
203987_at	FZD6	8q22.3-q23.1	present at least in one case	present at least in one case
213966_at	EIF3S6	8q22-q23	present at least in one case	present at least in one case
211685_s_at	NCALD	8q22-q23	present at least in one case	present at least in one case
212157_at	SDC2	8q22-q23	present at least in one case	present at least in one case
212158_at	SDC2	8q22-q23	present at least in one case	present at least in one case
235429_at	EIF3S6	8q22-q23	present at least in one case	present at least in one case
212154_at	SDC2	8q22-q23	present at least in one case	present at least in one case
201754_at	COX6C	8q22-q23	present at least in one case	present at least in one case
208697_s_at	EIF3S6	8q22-q23	present at least in one case	present at least in one case
216866_s_at	COL14A1	8q23	absent in all cases	absent in all cases
211438_at	TRHR	8q23	present at least in one case	absent in all cases
239006_at	SLC26A7	8q23	present at least in one case	present at least in one case
219778_at	ZFPM2	8q23	present at least in one case	present at least in one case
225438_at	CML66	8q23	present at least in one case	present at least in one case
216865_at	COL14A1	8q23	present at least in one case	present at least in one case
212865_s_at	COL14A1	8q23	present at least in one case	present at least in one case
223879_s_at	OXR1	8q23	present at least in one case	present at least in one case
218197_s_at	OXR1	8q23	present at least in one case	present at least in one case
204278_s_at	EBAG9	8q23	present at least in one case	present at least in one case
222553_x_at	OXR1	8q23	present at least in one case	present at least in one case
225439_at	CML66	8q23	present at least in one case	present at least in one case
204274_at	EBAG9	8q23	present at least in one case	present at least in one case
203584_at	KIAA0103	8q23.1	present at least in one case	present at least in one case
223342_at	RRM2B	8q23.1	present at least in one case	present at least in one case
200641_s_at	YWHAZ	8q23.1	present at least in one case	present at least in one case
200638_s_at	YWHAZ	8q23.1	present at least in one case	present at least in one case
200639_s_at	YWHAZ	8q23.1	present at least in one case	present at least in one case
200640_at	YWHAZ	8q23.1	present at least in one case	present at least in one case
230673_at	DKFZp586C1021	8q23.2	absent in all cases	absent in all cases
218692_at	FLJ20366	8q23.2	present at least in one case	present at least in one case
226381_at	FLJ20366	8q23.2	present at least in one case	present at least in one case
226776_at	DC6	8q23.2	present at least in one case	present at least in one case
226775_at	DC6	8q23.2	present at least in one case	present at least in one case
218482_at	DC6	8q23.2	present at least in one case	present at least in one case
240228_at	KIAA1894	8q23.3	present at least in one case	present at least in one case
227402_s_at	MGC14595	8q23.3	present at least in one case	present at least in one case
201592_at	EIF3S3	8q23.3	present at least in one case	present at least in one case
215431_at	SNTB1	8q23-q24	absent in all cases	absent in all cases
214708_at	SNTB1	8q23-q24	present at least in one case	present at least in one case
208608_s_at	SNTB1	8q23-q24	present at least in one case	present at least in one case
213791_at	PENK	8q23-q24	present at least in one case	present at least in one case
207420_at	COLEC10	8q23-q24.1	absent in all cases	absent in all cases
204933_s_at	TNFRSF11B	8q24	absent in all cases	absent in all cases
206083_at	BAI1	8q24	absent in all cases	absent in all cases
207458_at	MGC3113	8q24	absent in all cases	absent in all cases
221162_at	HHLA1	8q24	absent in all cases	absent in all cases
234914_at	ZNF7	8q24	absent in all cases	absent in all cases
234920_at	ZNF7	8q24	absent in all cases	absent in all cases
206811_at	ADCY8	8q24	present at least in one case	present at least in one case
206573_at	KCNQ3	8q24	present at least in one case	present at least in one case
204932_at	TNFRSF11B	8q24	present at least in one case	present at least in one case
216240_at	PVT1	8q24	present at least in one case	present at least in one case
216249_at	PVT1	8q24	present at least in one case	present at least in one case
216971_s_at	PLEC1	8q24	present at least in one case	present at least in one case
219548_at	ZNF16	8q24	present at least in one case	present at least in one case
201373_at	PLEC1	8q24	present at least in one case	present at least in one case
205089_at	ZNF7	8q24	present at least in one case	present at least in one case
227062_at	PLEC1	8q24	present at least in one case	present at least in one case
203760_s_at	SLA	8q24	present at least in one case	present at least in one case
225827_at	EIF2C2	8q24	present at least in one case	present at least in one case
200607_s_at	RAD21	8q24	present at least in one case	present at least in one case
203761_at	SLA	8q24	present at least in one case	present at least in one case
200608_s_at	RAD21	8q24	present at least in one case	present at least in one case
200632_s_at	NDRG1	8q24	present at least in one case	present at least in one case
209510_at	TRC8	8q24	present at least in one case	present at least in one case
213577_at	SQLE	8q24.1	present at least in one case	absent in all cases
213562_s_at	SQLE	8q24.1	present at least in one case	present at least in one case
204501_at	NOV	8q24.1	present at least in one case	present at least in one case
210839_s_at	ENPP2	8q24.1	present at least in one case	present at least in one case
214321_at	NOV	8q24.1	present at least in one case	present at least in one case
209392_at	ENPP2	8q24.1	present at least in one case	present at least in one case
209218_at	SQLE	8q24.1	present at least in one case	present at least in one case
239983_at	ZnT-8	8q24.11	present at least in one case	present at least in one case
201995_at	EXT1	8q24.11-q24.13	present at least in one case	present at least in one case
233211_at	MTBP	8q24.12	absent in all cases	absent in all cases
233436_at	MTBP	8q24.12	absent in all cases	absent in all cases
206432_at	HAS2	8q24.12	present at least in one case	present at least in one case
224218_s_at	TRPS1	8q24.12	present at least in one case	present at least in one case
219000_s_at	MGC5528	8q24.12	present at least in one case	present at least in one case
218502_s_at	TRPS1	8q24.12	present at least in one case	present at least in one case
222651_s_at	TRPS1	8q24.12	present at least in one case	present at least in one case
234351_x_at	TRPS1	8q24.12	present at least in one case	present at least in one case
218858_at	FLJ12428	8q24.12	present at least in one case	present at least in one case
209523_at	TAF2	8q24.12	present at least in one case	present at least in one case
202431_s_at	MYC	8q24.12-q24.13	present at least in one case	present at least in one case
228870_at	NSE2	8q24.13	absent in all cases	absent in all cases
230817_at	NSE2	8q24.13	absent in all cases	absent in all cases
236950_s_at	LOC157381	8q24.13	absent in all cases	absent in all cases
237045_at	FLJ23790	8q24.13	present at least in one case	present at least in one case
235266_at	PRO2000	8q24.13	present at least in one case	present at least in one case
225488_at	MGC3067	8q24.13	present at least in one case	present at least in one case
