HELP IDENTIFIER	GENE_SYMBOL
MSPI0406S00764592	LRRC36
MSPI0406S00765029	RANBP10
MSPI0406S00765412	RBM35B
MSPI0406S00765413	RBM35B
MSPI0406S00765768	CDH3
MSPI0406S00769316	GLG1
MSPI0406S00770108	CHST6
MSPI0406S00770639	KIAA1576
MSPI0406S00775844	IRF8
MSPI0406S00776382	FOXF1
MSPI0406S00778118
MSPI0406S00784824	ITGAE
MSPI0406S00785511
MSPI0406S00786286	ZNF232
MSPI0406S00787296	PITPNM3
MSPI0406S00788009	TNK1
MSPI0406S00791060
MSPI0406S00791403	ZNF18
MSPI0406S00791659	RICH2
MSPI0406S00791953	HS3ST3A1
MSPI0406S00797056	DHRS7B
MSPI0406S00798560	FLJ25006
MSPI0406S00801053	RHBDL3
MSPI0406S00801760	CCL1
MSPI0406S00803663	TCF2
MSPI0406S00806128	CCR7
MSPI0406S00806377	KRT34
MSPI0406S00806489	KRT19
MSPI0406S00811398	MYL4
MSPI0406S00812108	SKAP1
MSPI0406S00812178	HOXB2
MSPI0406S00812179	HOXB2
MSPI0406S00813213	MYST2
MSPI0406S00813907	CACNA1G
MSPI0406S00814004	ABCC3
MSPI0406S00814463
MSPI0406S00814634	CA10
MSPI0406S00814635	CA10
MSPI0406S00815004	HLF
MSPI0406S00818013	TBX2
MSPI0406S00818051	TBX4
MSPI0406S00819256	FTSJ3
MSPI0406S00819440	ICAM2
MSPI0406S00825240	FADS6
MSPI0406S00825274	USH1G
MSPI0406S00826166	RECQL5
MSPI0406S00829958	CANT1
MSPI0406S00836948	COLEC12
MSPI0406S00838579	L3MBTL4
MSPI0406S00839616	TWSG1
MSPI0406S00841051	TUBB6
MSPI0406S00841286	SPIRE1
MSPI0406S00841500	CEP192
MSPI0406S00843061	GATA6
MSPI0406S00844006	OSBPL1A
MSPI0406S00844606	AQP4
MSPI0406S00844607	AQP4
MSPI0406S00845064	DSC3
MSPI0406S00845669	C18orf34
MSPI0406S00845740	NOL4
MSPI0406S00845741	NOL4
MSPI0406S00846123	MOCOS
MSPI0406S00847965	RNF165
MSPI0406S00849674	MYO5B
MSPI0406S00849703	CCDC11
MSPI0406S00850236	DCC
MSPI0406S00850577	CCDC68
MSPI0406S00851148	FECH
MSPI0406S00851706	MALT1
MSPI0406S00852057	RAX
MSPI0406S00852221	CCBE1
MSPI0406S00852330	PMAIP1
MSPI0406S00853335	SERPINB8
MSPI0406S00853946	DOK6
MSPI0406S00853947	DOK6
MSPI0406S00856426	GALR1
MSPI0406S00857454	SALL3
MSPI0406S00858022	CTDP1
MSPI0406S00865292	C19orf30
MSPI0406S00870600	ZNF560
MSPI0406S00871363	ICAM4
MSPI0406S00871445	ICAM3
MSPI0406S00873011	ELAVL3
MSPI0406S00874904	CACNA1A
MSPI0406S00875609	PRKACA
MSPI0406S00876486	SLC1A6
MSPI0406S00877200	CYP4F11
MSPI0406S00878873	BST2
MSPI0406S00889381	RPSA
MSPI0406S00889494	ZNF565
MSPI0406S00890230	HKR1
MSPI0406S00890326	ZNF540
MSPI0406S00890992	C19orf33
MSPI0406S00892282	PAF1
MSPI0406S00892462	EID2
MSPI0406S00893076	SPTBN4
MSPI0406S00895737	ZNF225
MSPI0406S00895856	ZNF229
MSPI0406S00900404	LMTK3
MSPI0406S00900721	IZUMO1
MSPI0406S00901219	SNRP70
MSPI0406S00902145	MED25
MSPI0406S00902432
MSPI0406S00905076	VN1R2
MSPI0406S00905804	CACNG8
MSPI0406S00907613	FIZ1
MSPI0406S00908092	ZNF787
MSPI0406S00908161	GALP
MSPI0406S00908309	ZNF582
MSPI0406S00908340	ZNF667
MSPI0406S00908349	ZNF471
MSPI0406S00908360	ZFP28
MSPI0406S00908509	ZIM2
MSPI0406S00908743	ZNF264
MSPI0406S00908898	ZNF419B
MSPI0406S00908909	ZNF549
MSPI0406S00909626	ZNF132
MSPI0406S00910827	PDYN
MSPI0406S00911669	SLC4A11
MSPI0406S00913115	CHGB
MSPI0406S00914641	MACROD2
MSPI0406S00916410	INSM1
MSPI0406S00916789	NKX2-2
MSPI0406S00917078	FOXA2
MSPI0406S00917721	C20orf39
MSPI0406S00918109	VSX1
MSPI0406S00919448	POFUT1
MSPI0406S00919586
MSPI0406S00921204	MAP1LC3A
MSPI0406S00922088	PHF20
MSPI0406S00925443	PTPRT
MSPI0406S00926110	GDAP1L1
MSPI0406S00926844	WFDC2
MSPI0406S00927227	CD40
MSPI0406S00927407
MSPI0406S00929615	PTGIS
MSPI0406S00930859	DPM1
MSPI0406S00932724	DOK5
MSPI0406S00933296	TFAP2C
MSPI0406S00933297	TFAP2C
MSPI0406S00933860	BMP7
MSPI0406S00933861	BMP7
MSPI0406S00934116	CTCFL
MSPI0406S00934593	C20orf85
MSPI0406S00934672	C20orf86
MSPI0406S00934941	MGC4294
MSPI0406S00945323	CLIC6
MSPI0406S00945831	CBR3
MSPI0406S00946573	DSCR6
MSPI0406S00949356	TMPRSS3
MSPI0406S00951810	KRTAP10-3
MSPI0406S00951914	KRTAP10-12
MSPI0406S00955831	GSCL
MSPI0406S00957904	LZTR1
MSPI0406S00959915	IGLL1
MSPI0406S00960076	VPREB3
MSPI0406S00961227	CTA-221G9.4
MSPI0406S00970546	JOSD1
MSPI0406S00971903
MSPI0406S00971904
MSPI0406S00973669	WBP2NL
MSPI0406S00974410	A4GALT
MSPI0406S00977939	PKDREJ
MSPI0406S00980563
MSPI0406S00987565	ARHGAP6
MSPI0406S00987633	FRMPD4
MSPI0406S00988205	UBE2E3
MSPI0406S00988962	NHS
MSPI0406S00990104	MAP7D2
MSPI0406S00990363	SMS
MSPI0406S00990699	PTCHD1
MSPI0406S00993367	PRRG1
MSPI0406S00995554	NDP
MSPI0406S00999359	GPR173
MSPI0406S01000128	WNK3
MSPI0406S01001778	OPHN1
MSPI0406S01002742	IL2RG
MSPI0406S01003797	CDX4
MSPI0406S01004894	TBX22
MSPI0406S01005254	POU3F4
MSPI0406S01005258
MSPI0406S01006062	PABPC5
MSPI0406S01006063	PABPC5
MSPI0406S01007756	TCEAL2
MSPI0406S01008401	ESX1
MSPI0406S01008698	TBC1D8B
MSPI0406S01009158	IRS4
MSPI0406S01010416
MSPI0406S01010928	LONRF3
MSPI0406S01012814	WDR40B
MSPI0406S01013170	XPNPEP2
MSPI0406S01015163	MAP7D3
MSPI0406S01015376
MSPI0406S01016070	SOX3
MSPI0406S01016072	SOX3
MSPI0406S01016747	SLITRK4
MSPI0406S01016748	SLITRK4
MSPI0406S01017070	SLITRK2
MSPI0406S01018238	GPR50
MSPI0406S01020614	CLIC2
