Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with +13 and normal
202669_s_at	EFNB2	13q33	present at least in one case	present at least in one case
202668_at	EFNB2	13q33	present at least in one case	present at least in one case
207095_at	SLC10A2	13q33	present at least in one case	present at least in one case
219479_at	KDELC1	13q33	present at least in one case	present at least in one case
222508_s_at	FLJ10154	13q33.1	present at least in one case	present at least in one case
228477_at	FLJ10154	13q33.1	present at least in one case	present at least in one case
218067_s_at	FLJ10154	13q33.1	present at least in one case	present at least in one case
234993_at	FLJ14906	13q33.2	present at least in one case	present at least in one case
215119_at	KIAA0865	13q33.3	absent in all cases	absent in all cases
236853_at	MGC35169	13q33.3	absent in all cases	absent in all cases
239116_at	ANKRD10	13q33.3	present at least in one case	present at least in one case
236416_at	ARHGEF7	13q33.3	present at least in one case	present at least in one case
235412_at	ARHGEF7	13q33.3	present at least in one case	present at least in one case
242999_at	ARHGEF7	13q33.3	present at least in one case	present at least in one case
231023_at	FLJ12118	13q33.3	present at least in one case	present at least in one case
229642_at	ARHGEF7	13q33.3	present at least in one case	present at least in one case
202547_s_at	ARHGEF7	13q33.3	present at least in one case	present at least in one case
217940_s_at	FLJ10769	13q33.3	present at least in one case	present at least in one case
218093_s_at	ANKRD10	13q33.3	present at least in one case	present at least in one case
227260_at	ANKRD10	13q33.3	present at least in one case	present at least in one case
218153_at	FLJ12118	13q33.3	present at least in one case	present at least in one case
219622_at	RAB20	13q33.3	present at least in one case	present at least in one case
202548_s_at	ARHGEF7	13q33.3	present at least in one case	present at least in one case
223251_s_at	ANKRD10	13q33.3	present at least in one case	present at least in one case
207254_at	SLC15A1	13q33-q34	absent in all cases	absent in all cases
211349_at	SLC15A1	13q33-q34	present at least in one case	present at least in one case
206235_at	LIG4	13q33-q34	present at least in one case	present at least in one case
227766_at	LIG4	13q33-q34	present at least in one case	present at least in one case
206220_s_at	RASA3	13q34	absent in all cases	absent in all cases
206221_at	RASA3	13q34	absent in all cases	absent in all cases
206712_at	GRTP1	13q34	absent in all cases	absent in all cases
208041_at	RHOK	13q34	absent in all cases	absent in all cases
211981_at	COL4A1	13q34	absent in all cases	absent in all cases
212935_at	MCF2L	13q34	absent in all cases	absent in all cases
214103_s_at	RAP2A	13q34	absent in all cases	absent in all cases
220354_at	MGC2780	13q34	absent in all cases	absent in all cases
220464_at	MCF2L	13q34	absent in all cases	absent in all cases
221310_at	FGF14	13q34	absent in all cases	absent in all cases
230317_x_at	C13orf11	13q34	absent in all cases	absent in all cases
231405_at	LOC122258	13q34	absent in all cases	absent in all cases
237414_at	F7	13q34	absent in all cases	absent in all cases
238054_at	ARH2	13q34	absent in all cases	absent in all cases
239636_at	MCF2L	13q34	absent in all cases	absent in all cases
241603_at	ATP11A	13q34	absent in all cases	absent in all cases
241604_at	ATP11A	13q34	absent in all cases	absent in all cases
244817_at	ING1	13q34	absent in all cases	absent in all cases
229377_at	GRTP1	13q34	present at least in one case	present at least in one case
205620_at	F10	13q34	present at least in one case	present at least in one case
208034_s_at	PROZ	13q34	present at least in one case	present at least in one case
211966_at	COL4A2	13q34	present at least in one case	present at least in one case
207546_at	ATP4B	13q34	present at least in one case	present at least in one case
35147_at	MCF2L	13q34	present at least in one case	present at least in one case
211964_at	COL4A2	13q34	present at least in one case	present at least in one case
216488_s_at	ATP11A	13q34	present at least in one case	present at least in one case
210350_x_at	ING1	13q34	present at least in one case	present at least in one case
213582_at	ATP11A	13q34	present at least in one case	present at least in one case
220241_at	C13orf11	13q34	present at least in one case	present at least in one case
211980_at	COL4A1	13q34	present at least in one case	present at least in one case
215842_s_at	ATP11A	13q34	present at least in one case	present at least in one case
225149_at	FLJ11305	13q34	present at least in one case	present at least in one case
213728_at	LAMP1	13q34	present at least in one case	present at least in one case
215739_s_at	TUBGCP3	13q34	present at least in one case	present at least in one case
207300_s_at	F7	13q34	present at least in one case	present at least in one case
219116_s_at	C13orf17	13q34	present at least in one case	present at least in one case
206959_s_at	UPF3A	13q34	present at least in one case	present at least in one case
220240_s_at	C13orf11	13q34	present at least in one case	present at least in one case
242538_at	TFDP1	13q34	present at least in one case	present at least in one case
201424_s_at	CUL4A	13q34	present at least in one case	present at least in one case
227757_at	CUL4A	13q34	present at least in one case	present at least in one case
225562_at	RASA3	13q34	present at least in one case	present at least in one case
204147_s_at	TFDP1	13q34	present at least in one case	present at least in one case
221830_at	RAP2A	13q34	present at least in one case	present at least in one case
225585_at	RAP2A	13q34	present at least in one case	present at least in one case
230875_s_at	ATP11A	13q34	present at least in one case	present at least in one case
209808_x_at	ING1	13q34	present at least in one case	present at least in one case
203690_at	TUBGCP3	13q34	present at least in one case	present at least in one case
201423_s_at	CUL4A	13q34	present at least in one case	present at least in one case
219940_s_at	FLJ11305	13q34	present at least in one case	present at least in one case
201551_s_at	LAMP1	13q34	present at least in one case	present at least in one case
202717_s_at	CDC16	13q34	present at least in one case	present at least in one case
208415_x_at	ING1	13q34	present at least in one case	present at least in one case
209658_at	CDC16	13q34	present at least in one case	present at least in one case
206958_s_at	UPF3A	13q34	present at least in one case	present at least in one case
226194_at	C13orf8	13q34	present at least in one case	present at least in one case
209659_s_at	CDC16	13q34	present at least in one case	present at least in one case
226050_at	C13orf11	13q34	present at least in one case	present at least in one case
214323_s_at	UPF3A	13q34	present at least in one case	present at least in one case
209184_s_at	IRS2	13q34	present at least in one case	present at least in one case
212330_at	TFDP1	13q34	present at least in one case	present at least in one case
201552_at	LAMP1	13q34	present at least in one case	present at least in one case
209185_s_at	IRS2	13q34	present at least in one case	present at least in one case
201553_s_at	LAMP1	13q34	present at least in one case	present at least in one case
