Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with -7 and normal
224306_at	NPC1L1	7p13	absent in all cases	absent in all cases
239490_at	FLJ10803	7p13	absent in all cases	absent in all cases
207312_at	PHKG1	7p12-q21	absent in all cases	absent in all cases
202694_at	STK17A	7p12-p14	present at least in one case	present at least in one case
202695_s_at	STK17A	7p12-p14	present at least in one case	present at least in one case
202693_s_at	STK17A	7p12-p14	present at least in one case	present at least in one case
209410_s_at	GRB10	7p12-p11.2	present at least in one case	present at least in one case
209409_at	GRB10	7p12-p11.2	present at least in one case	present at least in one case
210999_s_at	GRB10	7p12-p11.2	present at least in one case	present at least in one case
213333_at	MDH2	7p12.3-q11.2	present at least in one case	present at least in one case
209036_s_at	MDH2	7p12.3-q11.2	present at least in one case	present at least in one case
236309_x_at	DKFZp761I2123	7p12.3	present at least in one case	present at least in one case
227091_at	KIAA1505	7p12.3	present at least in one case	present at least in one case
224517_at	MGC13098	7p12.3	present at least in one case	present at least in one case
217754_at	NOH61	7p12.3	present at least in one case	present at least in one case
223164_at	MGC4607	7p12.3	present at least in one case	present at least in one case
225699_at	LOC285958	7p12.3	present at least in one case	present at least in one case
54970_at	DKFZp761I2123	7p12.3	present at least in one case	present at least in one case
207750_at	PRO1866	7p12.3	absent in all cases	absent in all cases
213630_at	KIAA0363	7p12.3	absent in all cases	absent in all cases
221525_at	DKFZp761I2123	7p12.3	absent in all cases	absent in all cases
221924_at	DKFZp761I2123	7p12.3	absent in all cases	absent in all cases
221172_at	FLJ21075	7p12.2	absent in all cases	absent in all cases
231618_s_at	MGC33329	7p12.2	absent in all cases	absent in all cases
206805_at	SEMA3A	7p12.1	present at least in one case	present at least in one case
222843_at	FIGNL1	7p12.1	present at least in one case	present at least in one case
213050_at	COBL	7p12.1	absent in all cases	absent in all cases
201984_s_at	EGFR	7p12	present at least in one case	present at least in one case
211551_at	EGFR	7p12	present at least in one case	present at least in one case
201816_s_at	GBAS	7p12	present at least in one case	present at least in one case
201983_s_at	EGFR	7p12	absent in all cases	absent in all cases
210984_x_at	EGFR	7p12	absent in all cases	absent in all cases
211550_at	EGFR	7p12	absent in all cases	absent in all cases
211607_x_at	EGFR	7p12	absent in all cases	absent in all cases
218982_s_at	MRPS17	7p11-q11.21	present at least in one case	present at least in one case
231521_at	FLJ13195	7p11.2-q11.2	present at least in one case	present at least in one case
218994_s_at	FLJ13195	7p11.2-q11.2	present at least in one case	present at least in one case
222801_s_at	FLJ13195	7p11.2-q11.2	present at least in one case	present at least in one case
215321_at	RPIB9	7p11.2	present at least in one case	absent in all cases
241703_at	RPIB9	7p11.2	present at least in one case	present at least in one case
203484_at	SEC61G	7p11.2	present at least in one case	present at least in one case
212169_at	FKBP9	7p11.1	present at least in one case	present at least in one case
227301_at	CCT6A	7p11.1	present at least in one case	present at least in one case
201326_at	CCT6A	7p11.1	present at least in one case	present at least in one case
201327_s_at	CCT6A	7p11.1	present at least in one case	present at least in one case
217720_at	LOC51142	7p11.1	present at least in one case	present at least in one case
203819_s_at	KOC1	7p11	present at least in one case	present at least in one case
203820_s_at	KOC1	7p11	present at least in one case	present at least in one case
205311_at	DDC	7p11	absent in all cases	absent in all cases
214347_s_at	DDC	7p11	absent in all cases	absent in all cases
207775_at	MGC4859	7p	present at least in one case	present at least in one case
220887_at	MGC4859	7p	present at least in one case	present at least in one case
204608_at	ASL	7cen-q11.2	present at least in one case	present at least in one case
223885_at	CALN1	7q11	present at least in one case	present at least in one case
224123_at	DKFZp434F142	7q11.1	present at least in one case	present at least in one case
207117_at	H-plk	7q11.1	present at least in one case	present at least in one case
243661_at	MGC12518	7q11.1	present at least in one case	present at least in one case
224881_at	LOC154807	7q11.1	present at least in one case	present at least in one case
203898_at	RCP9	7q11.1	present at least in one case	present at least in one case
203899_s_at	RCP9	7q11.1	present at least in one case	present at least in one case
215239_x_at	ZNF273	7q11.1	present at least in one case	present at least in one case
235170_at	FLJ34299	7q11.1	present at least in one case	present at least in one case
225002_s_at	DKFZP566I1024	7q11.1	present at least in one case	present at least in one case
234729_at	DKFZP566I1024	7q11.1	absent in all cases	absent in all cases
222208_s_at	POLR2J	7q11.2	present at least in one case	present at least in one case
208928_at	POR	7q11.2	present at least in one case	present at least in one case
205048_s_at	PSPHL	7q11.2	present at least in one case	present at least in one case
205739_x_at	ZFD25	7q11.2	present at least in one case	present at least in one case
227406_at	GABPB1	7q11.2	present at least in one case	present at least in one case
207605_x_at	ZNF117	7q11.2	present at least in one case	present at least in one case
204618_s_at	GABPB1	7q11.2	present at least in one case	present at least in one case
209555_s_at	CD36	7q11.2	present at least in one case	present at least in one case
206488_s_at	CD36	7q11.2	present at least in one case	present at least in one case
212782_x_at	POLR2J	7q11.2	present at least in one case	present at least in one case
206658_at	UPK3B	7q11.2	absent in all cases	absent in all cases
209554_at	CD36	7q11.2	absent in all cases	absent in all cases
243365_s_at	AUTS2	7q11.21	present at least in one case	present at least in one case
213474_at	FLJ32069	7q11.21	present at least in one case	present at least in one case
243364_at	AUTS2	7q11.21	present at least in one case	present at least in one case
204140_at	TPST1	7q11.21	present at least in one case	present at least in one case
212599_at	AUTS2	7q11.21	present at least in one case	present at least in one case
223302_s_at	VIK	7q11.21	present at least in one case	present at least in one case
218310_at	RABEX5	7q11.21	present at least in one case	present at least in one case
218347_at	FLJ10900	7q11.21	present at least in one case	present at least in one case
225945_at	VIK	7q11.21	present at least in one case	present at least in one case
218008_at	FLJ10099	7q11.21	present at least in one case	present at least in one case
222669_s_at	SBDS	7q11.21	present at least in one case	present at least in one case
228110_x_at	RABEX5	7q11.21	absent in all cases	absent in all cases
230277_at	VIK	7q11.21	absent in all cases	absent in all cases
235397_at	LOC285908	7q11.21	absent in all cases	absent in all cases
244743_x_at	ZNF138	7q11.21-q11.23	present at least in one case	present at least in one case
219640_at	CLDN15	7q11.22	present at least in one case	present at least in one case
228823_at	POLR2J2	7q11.22	present at least in one case	present at least in one case
216242_x_at	POLR2J2	7q11.22	present at least in one case	present at least in one case
214740_at	POLR2J2	7q11.22	absent in all cases	absent in all cases
235569_at	MGC35352	7q11.22	absent in all cases	absent in all cases
227434_at	WBSCR17	7q11.23	present at least in one case	absent in all cases
215732_s_at	DTX2	7q11.23	present at least in one case	present at least in one case
216269_s_at	ELN	7q11.23	present at least in one case	present at least in one case
236529_at	SRCRB4D	7q11.23	present at least in one case	present at least in one case
235880_at	FLJ37078	7q11.23	present at least in one case	present at least in one case
205426_s_at	HIP1	7q11.23	present at least in one case	present at least in one case
218412_s_at	GTF2IRD1	7q11.23	present at least in one case	present at least in one case
221927_s_at	WBSCR21	7q11.23	present at least in one case	present at least in one case
206763_at	FKBP6	7q11.23	present at least in one case	present at least in one case
204729_s_at	STX1A	7q11.23	present at least in one case	present at least in one case
210892_s_at	GTF2I	7q11.23	present at least in one case	present at least in one case
222591_at	MK-STYX	7q11.23	present at least in one case	present at least in one case
205425_at	HIP1	7q11.23	present at least in one case	present at least in one case
212679_at	TBL2	7q11.23	present at least in one case	present at least in one case
216915_s_at	PTPN12	7q11.23	present at least in one case	present at least in one case
211768_at	WBSCR5	7q11.23	present at least in one case	present at least in one case
1053_at	RFC2	7q11.23	present at least in one case	present at least in one case
208445_s_at	BAZ1B	7q11.23	present at least in one case	present at least in one case
223482_at	TMPIT	7q11.23	present at least in one case	present at least in one case
227952_at	WBSCR14	7q11.23	present at least in one case	present at least in one case
213670_x_at	WBSCR20C	7q11.23	present at least in one case	present at least in one case
216111_x_at	POM121	7q11.23	present at least in one case	present at least in one case
232053_x_at	NPD007	7q11.23	present at least in one case	present at least in one case
212685_s_at	TBL2	7q11.23	present at least in one case	present at least in one case
211031_s_at	CYLN2	7q11.23	present at least in one case	present at least in one case
201841_s_at	HSPB1	7q11.23	present at least in one case	present at least in one case
214100_x_at	WBSCR20C	7q11.23	present at least in one case	present at least in one case
221247_s_at	WBSCR16	7q11.23	present at least in one case	present at least in one case
210910_s_at	ZP_3	7q11.23	present at least in one case	present at least in one case
204148_s_at	POMZP3	7q11.23	present at least in one case	present at least in one case
213460_x_at	WBSCR20C	7q11.23	present at least in one case	present at least in one case
218321_x_at	MK-STYX	7q11.23	present at least in one case	present at least in one case
222150_s_at	LOC54103	7q11.23	present at least in one case	present at least in one case
230370_x_at	MK-STYX	7q11.23	present at least in one case	present at least in one case
233982_x_at	MK-STYX	7q11.23	present at least in one case	present at least in one case
213142_x_at	LOC54103	7q11.23	present at least in one case	present at least in one case
223367_at	WBSCR18	7q11.23	present at least in one case	present at least in one case
203802_x_at	WBSCR20A	7q11.23	present at least in one case	present at least in one case
232353_s_at	MK-STYX	7q11.23	present at least in one case	present at least in one case
202518_at	BCL7B	7q11.23	present at least in one case	present at least in one case
213842_x_at	POM121	7q11.23	present at least in one case	present at least in one case
204834_at	FGL2	7q11.23	present at least in one case	present at least in one case
214473_x_at	PMS2L9	7q11.23	present at least in one case	present at least in one case
222995_s_at	NPD007	7q11.23	present at least in one case	present at least in one case
212178_s_at	POM121	7q11.23	present at least in one case	present at least in one case
223396_at	DC32	7q11.23	present at least in one case	present at least in one case
204961_s_at	NCF1	7q11.23	present at least in one case	present at least in one case
214084_x_at	NCF1	7q11.23	present at least in one case	present at least in one case
213773_x_at	WBSCR20A	7q11.23	present at least in one case	present at least in one case
201065_s_at	GTF2I	7q11.23	present at least in one case	present at least in one case
202006_at	PTPN12	7q11.23	present at least in one case	present at least in one case
205081_at	CRIP1	7q11.23	present at least in one case	present at least in one case
210891_s_at	GTF2I	7q11.23	present at least in one case	present at least in one case
221581_s_at	WBSCR5	7q11.23	present at least in one case	present at least in one case
222985_at	YWHAG	7q11.23	present at least in one case	present at least in one case
213360_s_at	POM121	7q11.23	present at least in one case	present at least in one case
206621_s_at	WBSCR1	7q11.23	present at least in one case	present at least in one case
201428_at	CLDN4	7q11.23	absent in all cases	absent in all cases
203696_s_at	RFC2	7q11.23	absent in all cases	absent in all cases
203953_s_at	CLDN3	7q11.23	absent in all cases	absent in all cases
203954_x_at	CLDN3	7q11.23	absent in all cases	absent in all cases
204356_at	LIMK1	7q11.23	absent in all cases	absent in all cases
204357_s_at	LIMK1	7q11.23	absent in all cases	absent in all cases
207639_at	FZD9	7q11.23	absent in all cases	absent in all cases
208372_s_at	LIMK1	7q11.23	absent in all cases	absent in all cases
211313_s_at	BAZ1B	7q11.23	absent in all cases	absent in all cases
212670_at	ELN	7q11.23	absent in all cases	absent in all cases
213336_at	BAZ1B	7q11.23	absent in all cases	absent in all cases
214757_at	PMS2L9	7q11.23	absent in all cases	absent in all cases
216884_at	PTPN12	7q11.23	absent in all cases	absent in all cases
221163_s_at	WBSCR14	7q11.23	absent in all cases	absent in all cases
221463_at	CCL24	7q11.23	absent in all cases	absent in all cases
223710_at	CCL26	7q11.23	absent in all cases	absent in all cases
229658_at	BAZ1B	7q11.23	absent in all cases	absent in all cases
229896_at	GTF2I	7q11.23	absent in all cases	absent in all cases
239018_at	WBSCR18	7q11.23	absent in all cases	absent in all cases
215286_s_at	DKFZP564F013	7q11.23-q21	present at least in one case	present at least in one case
217097_s_at	DKFZP564F013	7q11.23-q21	present at least in one case	present at least in one case
209780_at	DKFZP564F013	7q11.23-q21	present at least in one case	present at least in one case
221191_at	DKFZP434A0131	7q11.23-q21.1	present at least in one case	present at least in one case
235263_at	DKFZP434A0131	7q11.23-q21.1	present at least in one case	present at least in one case
223724_s_at	DKFZP434A0131	7q11.23-q21.1	absent in all cases	absent in all cases
243960_x_at	DKFZP434A0131	7q11.23-q21.1	absent in all cases	absent in all cases
210650_s_at	PCLO	7q11.23-q21.3	present at least in one case	present at least in one case
213558_at	PCLO	7q11.23-q21.3	present at least in one case	present at least in one case
217096_at	PCLO	7q11.23-q21.3	absent in all cases	absent in all cases
215410_at	PMS2L2	7q11-q22	present at least in one case	present at least in one case
179_at	PMS2L5	7q11-q22	present at least in one case	present at least in one case
215412_x_at	PMS2L2	7q11-q22	present at least in one case	present at least in one case
210707_x_at	PMS2L5	7q11-q22	present at least in one case	present at least in one case
216525_x_at	PMS2L3	7q11-q22	present at least in one case	present at least in one case
215667_x_at	PMS2L5	7q11-q22	present at least in one case	present at least in one case
217485_x_at	PMS2L1	7q11-q22	present at least in one case	present at least in one case
213893_x_at	PMS2L5	7q11-q22	present at least in one case	present at least in one case
215192_at	PMS2L4	7q11-q22	absent in all cases	absent in all cases
217488_x_at	PMS2L3	7q11-q22	absent in all cases	absent in all cases
212092_at	PEG10	7q21	present at least in one case	absent in all cases
206616_s_at	ADAM22	7q21	present at least in one case	present at least in one case
206615_s_at	ADAM22	7q21	present at least in one case	present at least in one case
212094_at	PEG10	7q21	present at least in one case	present at least in one case
208237_x_at	ADAM22	7q21	present at least in one case	present at least in one case
205542_at	STEAP	7q21	present at least in one case	present at least in one case
201679_at	ARS2	7q21	present at least in one case	present at least in one case
209737_at	AIP1	7q21	present at least in one case	present at least in one case
223249_at	CLDN12	7q21	present at least in one case	present at least in one case
204451_at	FZD1	7q21	present at least in one case	present at least in one case
204452_s_at	FZD1	7q21	present at least in one case	present at least in one case
222046_at	ARS2	7q21	present at least in one case	present at least in one case
209576_at	GNAI1	7q21	present at least in one case	present at least in one case
227692_at	GNAI1	7q21	present at least in one case	present at least in one case
203301_s_at	DMTF1	7q21	present at least in one case	present at least in one case
201680_x_at	ARS2	7q21	present at least in one case	present at least in one case
222047_s_at	ARS2	7q21	present at least in one case	present at least in one case
207702_s_at	AIP1	7q21	absent in all cases	absent in all cases
208226_x_at	ADAM22	7q21	absent in all cases	absent in all cases
208227_x_at	ADAM22	7q21	absent in all cases	absent in all cases
214127_s_at	ARS2	7q21	absent in all cases	absent in all cases
217553_at	STEAP	7q21	absent in all cases	absent in all cases
225871_at	STEAP2	7q21	absent in all cases	absent in all cases
205999_x_at	CYP3A4	7q21.1	present at least in one case	present at least in one case
243951_at	ABCB1	7q21.1	present at least in one case	present at least in one case
210998_s_at	HGF	7q21.1	present at least in one case	present at least in one case
209994_s_at	ABCB1	7q21.1	present at least in one case	present at least in one case
243015_at	CYP3A5	7q21.1	present at least in one case	present at least in one case
205998_x_at	CYP3A4	7q21.1	present at least in one case	present at least in one case
209961_s_at	HGF	7q21.1	present at least in one case	present at least in one case
211440_x_at	CYP3A43	7q21.1	present at least in one case	present at least in one case
209993_at	ABCB1	7q21.1	present at least in one case	present at least in one case
210997_at	HGF	7q21.1	present at least in one case	present at least in one case
231704_at	CYP3A4	7q21.1	present at least in one case	present at least in one case
209960_at	HGF	7q21.1	present at least in one case	present at least in one case
210241_s_at	TP53TG1	7q21.1	present at least in one case	present at least in one case
209917_s_at	TP53TG1	7q21.1	present at least in one case	present at least in one case
204573_at	CROT	7q21.1	present at least in one case	present at least in one case
210755_at	HGF	7q21.1	present at least in one case	present at least in one case
208920_at	SRI	7q21.1	present at least in one case	present at least in one case
210886_x_at	TP53TG1	7q21.1	present at least in one case	present at least in one case
208921_s_at	SRI	7q21.1	present at least in one case	present at least in one case
205765_at	CYP3A5	7q21.1	absent in all cases	absent in all cases
207773_x_at	CYP3A43	7q21.1	absent in all cases	absent in all cases
207819_s_at	ABCB4	7q21.1	absent in all cases	absent in all cases
208367_x_at	CYP3A4	7q21.1	absent in all cases	absent in all cases
210726_at	CYP3A4	7q21.1	absent in all cases	absent in all cases
211441_x_at	CYP3A43	7q21.1	absent in all cases	absent in all cases
211442_x_at	CYP3A43	7q21.1	absent in all cases	absent in all cases
230125_at	GUSB	7q21.11	present at least in one case	present at least in one case
235301_at	FLJ31340	7q21.11	present at least in one case	present at least in one case
244317_at	FLJ31340	7q21.11	present at least in one case	present at least in one case
202605_at	GUSB	7q21.11	present at least in one case	present at least in one case
206941_x_at	SEMA3E	7q21.11	absent in all cases	absent in all cases
215324_at	SEMA3D	7q21.11	absent in all cases	absent in all cases
220187_at	FLJ23153	7q21.12	present at least in one case	present at least in one case
209840_s_at	LRRN3	7q21.12	present at least in one case	present at least in one case
209841_s_at	LRRN3	7q21.12	present at least in one case	present at least in one case
225987_at	FLJ23153	7q21.12	present at least in one case	present at least in one case
205716_at	MCFP	7q21.12	present at least in one case	present at least in one case
231441_at	MGC26647	7q21.12	absent in all cases	absent in all cases
221594_at	DKFZP564O0523	7q21.13	present at least in one case	present at least in one case
205003_at	KIAA0716	7q21.13	present at least in one case	present at least in one case
232661_s_at	DKFZP564O0523	7q21.13	present at least in one case	present at least in one case
224687_at	DKFZP434A0225	7q21.13	present at least in one case	present at least in one case
221595_at	DKFZP564O0523	7q21.13	present at least in one case	present at least in one case
221596_s_at	DKFZP564O0523	7q21.13	present at least in one case	present at least in one case
224682_at	DKFZP434A0225	7q21.13	present at least in one case	present at least in one case
234311_s_at	LOC85865	7q21.13	present at least in one case	present at least in one case
219455_at	FLJ21062	7q21.13	absent in all cases	absent in all cases
241313_at	KIAA0716	7q21.13	absent in all cases	absent in all cases
243181_at	DKFZP434A0225	7q21.13	absent in all cases	absent in all cases
204215_at	MGC4175	7q21.1-q21.2	present at least in one case	present at least in one case
205814_at	GRM3	7q21.1-q21.2	absent in all cases	absent in all cases
202710_at	BET1	7q21.1-q22	present at least in one case	present at least in one case
212666_at	SMURF1	7q21.1-q31.1	present at least in one case	present at least in one case
212668_at	SMURF1	7q21.1-q31.1	absent in all cases	absent in all cases
215458_s_at	SMURF1	7q21.1-q31.1	absent in all cases	absent in all cases
235643_at	FLJ39885	7q21.2	present at least in one case	present at least in one case
219691_at	FLJ20073	7q21.2	present at least in one case	present at least in one case
242601_at	LOC253012	7q21.2	present at least in one case	present at least in one case
230036_at	FLJ39885	7q21.2	present at least in one case	present at least in one case
228531_at	FLJ20073	7q21.2	present at least in one case	present at least in one case
226031_at	FLJ20097	7q21.2	present at least in one case	present at least in one case
226603_at	FLJ39885	7q21.2	present at least in one case	present at least in one case
226332_at	MGC40405	7q21.2	present at least in one case	present at least in one case
207045_at	FLJ20097	7q21.2	absent in all cases	absent in all cases
213978_at	FLJ39885	7q21.2	absent in all cases	absent in all cases
202314_at	CYP51A1	7q21.2-q21.3	present at least in one case	present at least in one case
233942_at	CYP51A1	7q21.2-q21.3	absent in all cases	absent in all cases
220687_at	TRRAP	7q21.2-q22.1	present at least in one case	present at least in one case
214908_s_at	TRRAP	7q21.2-q22.1	present at least in one case	present at least in one case
202642_s_at	TRRAP	7q21.2-q22.1	present at least in one case	present at least in one case
227372_s_at	LOC55971	7q21.3	present at least in one case	absent in all cases
231244_at	CAS1	7q21.3	present at least in one case	present at least in one case
206223_at	KPI2	7q21.3	present at least in one case	present at least in one case
229081_at	SLC25A13	7q21.3	present at least in one case	present at least in one case
206345_s_at	PON1	7q21.3	present at least in one case	present at least in one case
206344_at	PON1	7q21.3	present at least in one case	present at least in one case
222676_at	LOC55971	7q21.3	present at least in one case	present at least in one case
221088_s_at	PPP1R9A	7q21.3	present at least in one case	present at least in one case
229798_s_at	BRI3	7q21.3	present at least in one case	present at least in one case
218981_at	DC11	7q21.3	present at least in one case	present at least in one case
229061_s_at	SLC25A13	7q21.3	present at least in one case	present at least in one case
219342_at	CAS1	7q21.3	present at least in one case	present at least in one case
210830_s_at	PON2	7q21.3	present at least in one case	present at least in one case
203775_at	SLC25A13	7q21.3	present at least in one case	present at least in one case
227581_at	DKFZP434B0335	7q21.3	present at least in one case	present at least in one case
201876_at	PON2	7q21.3	present at least in one case	present at least in one case
205047_s_at	ASNS	7q21.3	present at least in one case	present at least in one case
227580_s_at	DKFZP434B0335	7q21.3	present at least in one case	present at least in one case
204244_s_at	ASK	7q21.3	present at least in one case	present at least in one case
223376_s_at	BRI3	7q21.3	present at least in one case	present at least in one case
207166_at	GNGT1	7q21.3	absent in all cases	absent in all cases
207886_s_at	CALCR	7q21.3	absent in all cases	absent in all cases
207887_s_at	CALCR	7q21.3	absent in all cases	absent in all cases
213695_at	PON3	7q21.3	absent in all cases	absent in all cases
222675_s_at	LOC55971	7q21.3	absent in all cases	absent in all cases
227371_at	LOC55971	7q21.3	absent in all cases	absent in all cases
231912_s_at	DKFZP434B0335	7q21.3	absent in all cases	absent in all cases
231966_at	PPP1R9A	7q21.3	absent in all cases	absent in all cases
233985_x_at	PPP1R9A	7q21.3	absent in all cases	absent in all cases
241082_at	ASNS	7q21.3	absent in all cases	absent in all cases
202628_s_at	SERPINE1	7q21.3-q22	present at least in one case	present at least in one case
202627_s_at	SERPINE1	7q21.3-q22	absent in all cases	absent in all cases
214234_s_at	CYP3A5P2	7q21.3-q22.1	present at least in one case	present at least in one case
205960_at	PDK4	7q21.3-q22.1	present at least in one case	present at least in one case
205348_s_at	DNCI1	7q21.3-q22.1	present at least in one case	present at least in one case
214670_at	ZNF36	7q21.3-q22.1	present at least in one case	present at least in one case
225207_at	PDK4	7q21.3-q22.1	present at least in one case	present at least in one case
213479_at	NPTX2	7q21.3-q22.1	present at least in one case	present at least in one case
210983_s_at	MCM7	7q21.3-q22.1	present at least in one case	present at least in one case
202276_at	DSS1	7q21.3-q22.1	present at least in one case	present at least in one case
208795_s_at	MCM7	7q21.3-q22.1	present at least in one case	present at least in one case
214235_at	CYP3A5P2	7q21.3-q22.1	absent in all cases	absent in all cases
214900_at	ZNF36	7q21.3-q22.1	absent in all cases	absent in all cases
207870_at	AKAP9	7q21-q22	present at least in one case	present at least in one case
208481_at	ASB4	7q21-q22	present at least in one case	present at least in one case
204688_at	SGCE	7q21-q22	present at least in one case	present at least in one case
242634_at	ODAG	7q21-q22	present at least in one case	present at least in one case
214160_at	CDK6	7q21-q22	present at least in one case	present at least in one case
206552_s_at	TAC1	7q21-q22	present at least in one case	present at least in one case
211502_s_at	PFTK1	7q21-q22	present at least in one case	present at least in one case
204871_at	MTERF	7q21-q22	present at least in one case	present at least in one case
229785_at	CCM1	7q21-q22	present at least in one case	present at least in one case
231198_at	CDK6	7q21-q22	present at least in one case	present at least in one case
215483_at	AKAP9	7q21-q22	present at least in one case	present at least in one case
34031_i_at	CCM1	7q21-q22	present at least in one case	present at least in one case
204873_at	PEX1	7q21-q22	present at least in one case	present at least in one case
207143_at	CDK6	7q21-q22	present at least in one case	present at least in one case
214718_at	ODAG	7q21-q22	present at least in one case	present at least in one case
215023_s_at	PEX1	7q21-q22	present at least in one case	present at least in one case
208503_s_at	ODAG	7q21-q22	present at least in one case	present at least in one case
204604_at	PFTK1	7q21-q22	present at least in one case	present at least in one case
213018_at	ODAG	7q21-q22	present at least in one case	present at least in one case
210962_s_at	AKAP9	7q21-q22	present at least in one case	present at least in one case
204738_s_at	CCM1	7q21-q22	absent in all cases	absent in all cases
207050_at	CACNA2D1	7q21-q22	absent in all cases	absent in all cases
217228_s_at	ASB4	7q21-q22	absent in all cases	absent in all cases
217229_at	ASB4	7q21-q22	absent in all cases	absent in all cases
237721_s_at	ASB4	7q21-q22	absent in all cases	absent in all cases
205939_at	CYP3A7	7q21-q22.1	present at least in one case	present at least in one case
211843_x_at	CYP3A7	7q21-q22.1	absent in all cases	absent in all cases
203789_s_at	SEMA3C	7q21-q31	present at least in one case	present at least in one case
203788_s_at	SEMA3C	7q21-q31	present at least in one case	present at least in one case
217254_s_at	EPO	7q22	present at least in one case	present at least in one case
201505_at	LAMB1	7q22	present at least in one case	present at least in one case
239309_at	DLX6	7q22	present at least in one case	present at least in one case
242940_x_at	DLX6	7q22	present at least in one case	present at least in one case
223941_at	FBXO24	7q22	present at least in one case	present at least in one case
232321_at	MUC17	7q22	present at least in one case	present at least in one case
213707_s_at	DLX5	7q22	present at least in one case	present at least in one case
216680_s_at	EPHB4	7q22	present at least in one case	present at least in one case
209277_at	TFPI2	7q22	present at least in one case	present at least in one case
214676_x_at	MUC3B	7q22	present at least in one case	present at least in one case
205378_s_at	ACHE	7q22	present at least in one case	present at least in one case
202894_at	EPHB4	7q22	present at least in one case	present at least in one case
205377_s_at	ACHE	7q22	present at least in one case	present at least in one case
222126_at	IRS3L	7q22	present at least in one case	present at least in one case
223995_at	CIP1	7q22	present at least in one case	present at least in one case
217054_at	MUC3A	7q22	present at least in one case	present at least in one case
232407_at	MUC17	7q22	present at least in one case	present at least in one case
204692_at	LRRN1	7q22	present at least in one case	present at least in one case
226768_at	PERQ1	7q22	present at least in one case	present at least in one case
227321_at	STAG3	7q22	present at least in one case	present at least in one case
205923_at	RELN	7q22	present at least in one case	present at least in one case
219753_at	STAG3	7q22	present at least in one case	present at least in one case
224265_s_at	ZAN	7q22	present at least in one case	present at least in one case
203731_s_at	ZFP95	7q22	present at least in one case	present at least in one case
207883_s_at	TFR2	7q22	present at least in one case	present at least in one case
205586_x_at	VGF	7q22	present at least in one case	present at least in one case
203730_s_at	ZFP95	7q22	present at least in one case	present at least in one case
219788_at	PILR	7q22	present at least in one case	present at least in one case
209129_at	TRIP6	7q22	present at least in one case	present at least in one case
219070_s_at	AF053356_CDS3	7q22	present at least in one case	present at least in one case
222017_x_at	LRRN1	7q22	present at least in one case	present at least in one case
217117_x_at	MUC3B	7q22	present at least in one case	present at least in one case
220371_s_at	CIP1	7q22	present at least in one case	present at least in one case
205367_at	APS	7q22	present at least in one case	present at least in one case
226280_at	LAMB1	7q22	present at least in one case	present at least in one case
209482_at	RPP20	7q22	present at least in one case	present at least in one case
202367_at	CUTL1	7q22	present at least in one case	present at least in one case
222218_s_at	PILR	7q22	present at least in one case	present at least in one case
37796_at	LRRN1	7q22	present at least in one case	present at least in one case
210215_at	TFR2	7q22	present at least in one case	present at least in one case
214526_x_at	PMS2L8	7q22	present at least in one case	present at least in one case
202185_at	PLOD3	7q22	present at least in one case	present at least in one case
214756_x_at	PMS2L8	7q22	present at least in one case	present at least in one case
200852_x_at	GNB2	7q22	present at least in one case	present at least in one case
214743_at	CUTL1	7q22	present at least in one case	present at least in one case
90610_at	LRRN1	7q22	present at least in one case	present at least in one case
202465_at	PCOLCE	7q22	absent in all cases	absent in all cases
206013_s_at	ACTL6	7q22	absent in all cases	absent in all cases
206014_at	ACTL6	7q22	absent in all cases	absent in all cases
207257_at	EPO	7q22	absent in all cases	absent in all cases
209278_s_at	TFPI2	7q22	absent in all cases	absent in all cases
210332_at	ACHE	7q22	absent in all cases	absent in all cases
211651_s_at	LAMB1	7q22	absent in all cases	absent in all cases
214898_x_at	MUC3B	7q22	absent in all cases	absent in all cases
215863_at	TFR2	7q22	absent in all cases	absent in all cases
221157_s_at	FBXO24	7q22	absent in all cases	absent in all cases
221289_at	DLX6	7q22	absent in all cases	absent in all cases
221956_at	LRRN1	7q22	absent in all cases	absent in all cases
222362_at	IRS3L	7q22	absent in all cases	absent in all cases
223994_s_at	CIP1	7q22	absent in all cases	absent in all cases
224263_x_at	ZAN	7q22	absent in all cases	absent in all cases
224264_x_at	ZAN	7q22	absent in all cases	absent in all cases
224267_x_at	ZAN	7q22	absent in all cases	absent in all cases
224268_x_at	ZAN	7q22	absent in all cases	absent in all cases
226654_at	MUC12	7q22	absent in all cases	absent in all cases
228755_at	PERQ1	7q22	absent in all cases	absent in all cases
231814_at	MUC11	7q22	absent in all cases	absent in all cases
236447_at	PERQ1	7q22	absent in all cases	absent in all cases
238180_at	MUC12	7q22	absent in all cases	absent in all cases
235650_at	FLJ23834	7q22.1	present at least in one case	present at least in one case
221659_s_at	LOC93408	7q22.1	present at least in one case	present at least in one case
239422_at	DKFZp547M109	7q22.1	present at least in one case	present at least in one case
209837_at	AP4M1	7q22.1	present at least in one case	present at least in one case
218785_s_at	FLJ14117	7q22.1	present at least in one case	present at least in one case
242307_at	LOC285989	7q22.1	present at least in one case	present at least in one case
222796_at	KIAA0632	7q22.1	present at least in one case	present at least in one case
220659_s_at	FLJ10925	7q22.1	present at least in one case	present at least in one case
218956_s_at	KIAA0632	7q22.1	present at least in one case	present at least in one case
