MEO430Av2	Normal_BaP	Tumor_BaP	fold change	p value_BaP	GO term
1423407_a_at	418.65	256.33	-1.63	0.0048	cell adhesion
1449396_at	266.75	77.27	-3.45	0.001	cell adhesion
1419589_at	11976.15	5812.2	-2.06	0.0001	cell adhesion
1435386_at	11482.13	3111.55	-3.69	0.0002	cell adhesion
1422977_at	1282.3	227.63	-5.63	0.0002	cell adhesion
1418664_at	1850.05	731.57	-2.53	<0.0001	cell adhesion
1450798_at	2188.63	1112.9	-1.97	0.0008	cell adhesion
1426285_at	1496.53	740.55	-2.02	0.0001	cell adhesion
1416674_at	1219.55	548.16	-2.22	0.0001	cell adhesion
1425475_at	1818.8	971.33	-1.87	<0.0001	cell adhesion
1449465_at	720.08	307.57	-2.34	0.0001	cell adhesion
1434180_at	13319.95	8351.63	-1.59	0.0002	cell adhesion
1449563_at	341.9	128.67	-2.66	<0.0001	cell adhesion
1416953_at	16181.93	9384.3	-1.72	0.0015	cell adhesion
1426872_at	876.5	245.25	-3.57	0.0042	cell adhesion
1416156_at	14915.4	8354.53	-1.79	<0.0001	cell adhesion
1422738_at	514.3	404.33	-1.27	0.0011	cell adhesion
1455158_at	4205.75	2972.87	-1.41	0.0023	cell adhesion
1416357_a_at	2932.63	1817.73	-1.61	0.0003	cell adhesion
1449740_s_at	456.83	214.67	-2.13	0.0002	cell adhesion
1424114_s_at	3245.38	2211.43	-1.47	0.0028	cell adhesion
1450199_a_at	1452.73	829.25	-1.75	<0.0001	cell adhesion
1426873_s_at	4421.83	2775.27	-1.59	<0.0001	cell adhesion
1424807_at	1631.9	1251.27	-1.3	0.0014	cell adhesion
1418050_at	262.45	176.37	-1.49	0.0004	cell adhesion
1421729_a_at	697.65	461.03	-1.51	0.0011	cell adhesion
1452209_at	4956.78	3772.2	-1.31	0.0009	cell adhesion
1416716_at	285.03	235.78	-1.21	0.0028	cell adhesion
1449110_at	16982.65	10524.57	-1.61	0.0002	cell adhesion
1426246_at	3493.33	2737.13	-1.28	0.0001	cell adhesion
1460305_at	1219.3	568.1	-2.15	<0.0001	cell adhesion
1421888_x_at	1209.65	978.52	-1.24	0.0005	cell adhesion
1416157_at	1466.65	820.83	-1.79	0.0002	cell adhesion
1417533_a_at	3242.18	2024.25	-1.6	<0.0001	cell adhesion
1422450_at	4288.45	3269.77	-1.31	0.0001	cell adhesion
1451086_s_at	26881.1	21551.08	-1.25	0.0001	cell adhesion
1426301_at	6055.6	10454.2	1.73	0.0005	cell adhesion
1460235_at	5651.1	8229.9	1.46	0.0001	cell adhesion
1418393_a_at	596.38	1064.95	1.79	0.0002	cell adhesion
1423669_at	1700.7	2921.37	1.72	0.0007	cell adhesion
1420842_at	7618.05	18744.55	2.46	0.0002	cell adhesion
1448743_at	806.58	1863.32	2.31	<0.0001	cell adhesion
1416985_at	3075.9	4297.23	1.4	0.0048	cell adhesion
1419128_at	2969.28	7270.15	2.45	0.0001	cell adhesion
1448901_at	415.45	604.32	1.45	0.004	cell adhesion
1450295_s_at	300.95	711.1	2.36	<0.0001	cell adhesion
1421279_at	1658.53	7594.4	4.58	<0.0001	cell adhesion
1449254_at	4428.63	13836.2	3.12	0.0001	cell adhesion
1418925_at	693.98	1638.2	2.36	0.0001	cell adhesion
1448755_at	191.75	626.8	3.27	0.0003	cell adhesion
1417812_a_at	2155.63	6291.8	2.92	0.0002	cell adhesion
1449216_at	297.65	650.42	2.19	0.003	cell adhesion
1435495_at	91.45	269.13	2.94	<0.0001	cell adhesion
1452483_a_at	2638.85	4714.42	1.79	0.0012	cell adhesion
1417867_at	1880.18	71.77	-26.2	0.0018	immune response
1460251_at	1449.35	694.9	-2.09	<0.0001	immune response
1422160_at	431.15	150.1	-2.87	0.0001	immune response
1424882_a_at	1264.1	559.33	-2.26	0.0002	immune response
1448881_at	24825.65	9660.67	-2.57	0.0002	immune response
1417574_at	5831.25	2397.73	-2.43	0.0001	immune response
1425468_at	98.05	20.77	-4.72	0.0019	immune response
1450876_at	1637.2	593.57	-2.76	0.0001	immune response
1448775_at	806.25	424.17	-1.9	<0.0001	immune response
1419426_s_at	4269.7	1759.93	-2.43	0.0001	immune response
1434962_x_at	229.85	147.9	-1.55	0.0004	immune response
1418285_at	1162.53	681.9	-1.7	<0.0001	immune response
1417505_s_at	1601.15	1040.6	-1.54	0.0001	immune response
1422758_at	646.28	404.98	-1.6	0.001	immune response
1420412_at	1072.78	421.13	-2.55	0.0001	immune response
1416625_at	16599.35	8613.57	-1.93	<0.0001	immune response
1460661_at	539.13	69.93	-7.71	<0.0001	immune response
1435272_at	4264.28	2319.23	-1.84	0.0001	immune response
1450199_a_at	1452.73	829.25	-1.75	<0.0001	immune response
1422563_at	4352.18	3144.07	-1.38	0.0001	immune response
1452440_at	1974.59	1208.29	-1.63	0.0003	immune response
1422645_at	2019.4	1503.03	-1.34	0.0034	immune response
1423754_at	32040.5	18759.17	-1.71	0.0003	immune response
1423047_at	3128.3	2214.4	-1.41	<0.0001	immune response
1417291_at	4759.35	3945.3	-1.21	0.0009	immune response
1424617_at	1630.28	979.37	-1.66	0.0002	immune response
1451086_s_at	26881.1	21551.08	-1.25	0.0001	immune response
1429707_at	1743.63	2209.35	1.27	0.0004	immune response
1449839_at	1226.68	1646.6	1.34	0.0007	immune response
1423235_at	3368.38	4444.23	1.32	0.0001	immune response
1419483_at	380.13	648.77	1.71	0.0008	immune response
1419561_at	45.4	342.57	7.55	0.0004	immune response
1421473_at	169.9	214.57	1.26	0.0026	immune response
1417065_at	1765.85	3600.1	2.04	<0.0001	immune response
1419407_at	7662.98	12152.67	1.59	0.0039	immune response
1425519_a_at	32326.23	51581.57	1.6	0.0001	immune response
1419764_at	14534.64	30326.33	2.09	0.0049	immune response
1416155_at	1010.63	2969.82	2.94	<0.0001	immune response
1417056_at	8186.93	11239.33	1.37	0.0004	immune response
1451798_at	522.03	798.05	1.53	0.0015	immune response
1419083_at	66.08	104.23	1.58	0.002	immune response
1420653_at	2195.75	3201.87	1.46	<0.0001	immune response
1417266_at	12378.55	30062.58	2.43	<0.0001	immune response
1422527_at	1859.9	3288.12	1.77	0.0009	immune response
1418099_at	1099.05	1994.57	1.81	0.0039	immune response
1452431_s_at	15083.65	28792.62	1.91	0.0007	immune response
1449984_at	75.75	332.43	4.39	0.0018	immune response
1417268_at	1839.78	5056.83	2.75	0.0001	immune response
1417381_at	2846.9	5120.6	1.8	0.0021	immune response
1419282_at	271.9	493.93	1.82	0.0014	immune response
1427429_at	266.25	709.35	2.66	0.0001	immune response
1422476_at	5247.75	10680.03	2.04	0.0001	immune response
1419744_at	675.85	2793.98	4.13	0.0001	immune response
1417025_at	11146.83	21315.82	1.91	0.0022	immune response
1422891_at	1370.35	2939.52	2.15	0.0003	immune response
1451721_a_at	4122.2	8103.75	1.97	0.0004	immune response
1449580_s_at	2761.08	7481.58	2.71	0.0002	immune response
1418638_at	1105.23	2588.92	2.34	<0.0001	immune response
1419209_at	322.63	2166.23	6.71	0.0002	immune response
1422924_at	153.9	3052.6	19.83	0.0001	immune response
1419413_at	968.33	2598.35	2.68	0.0031	immune response
1419209_at	322.63	2166.23	6.71	0.0002	immune response
1418216_at	238.73	649.9	2.72	0.0001	immune response
1422243_at	890.98	225.77	-3.95	<0.0001	cell proliferation
1449528_at	3326.45	1016.43	-3.27	0.0002	cell proliferation
1452514_a_at	5537.8	2421.6	-2.29	0.0002	cell proliferation
1417574_at	5831.25	2397.73	-2.43	0.0001	cell proliferation
1451596_a_at	746.13	399.6	-1.87	0.0001	cell proliferation
1424050_s_at	820.33	660.1	-1.24	0.0013	cell proliferation
1425379_at	425.8	220.1	-1.93	<0.0001	cell proliferation
1416891_at	5969.53	3555.15	-1.68	<0.0001	cell proliferation
1418285_at	1162.53	681.9	-1.7	<0.0001	cell proliferation
1418634_at	4538.01	3030.41	-1.5	0.0003	cell proliferation
1448306_at	7210.4	3942.43	-1.83	<0.0001	cell proliferation
1422738_at	514.3	404.33	-1.27	0.0011	cell proliferation
1418711_at	2246.65	1333.1	-1.69	0.0018	cell proliferation
1419417_at	631.2	298.03	-2.12	0.0003	cell proliferation
1460661_at	539.13	69.93	-7.71	<0.0001	cell proliferation
1426531_at	4416.55	3336.6	-1.32	0.0002	cell proliferation
1448655_at	5165.3	3428.85	-1.51	0.0005	cell proliferation
1449942_a_at	4883.08	3120.77	-1.56	<0.0001	cell proliferation
1449731_s_at	9685.03	6031.53	-1.61	0.0002	cell proliferation
1450923_at	741.45	398.97	-1.86	0.0024	cell proliferation
1417455_at	799.55	429.37	-1.86	0.0037	cell proliferation
1435737_a_at	933.48	595.87	-1.57	<0.0001	cell proliferation
1423754_at	32040.5	18759.17	-1.71	0.0003	cell proliferation
1460420_a_at	1055.35	739.07	-1.43	<0.0001	cell proliferation
1417331_a_at	999.59	558.66	-1.79	0.0002	cell proliferation
1418109_at	117.88	76.69	-1.54	0.0027	cell proliferation
1417311_at	18880.83	14091.93	-1.34	<0.0001	cell proliferation
1416172_at	1165.03	1729.93	1.48	0.0001	cell proliferation
1422440_at	1095.8	1650.43	1.51	0.0016	cell proliferation
1449839_at	1226.68	1646.6	1.34	0.0007	cell proliferation
1427739_a_at	959.3	1251.07	1.3	0.0043	cell proliferation
1422025_at	203.65	337.57	1.66	0.0004	cell proliferation
1420847_a_at	2318.48	5548.35	2.39	<0.0001	cell proliferation
1416626_at	1089.18	6005.1	5.51	<0.0001	cell proliferation
1423319_at	1445.43	2725.73	1.89	0.0007	cell proliferation
1416696_at	1467.75	2255.13	1.54	0.0006	cell proliferation
1426083_a_at	13899.63	18971.9	1.36	0.0005	cell proliferation
1451421_a_at	1595.95	2140.57	1.34	0.0004	cell proliferation
1451016_at	437.6	872.87	1.99	<0.0001	cell proliferation
1421473_at	169.9	214.57	1.26	0.0026	cell proliferation
1418982_at	4424.98	14080.5	3.18	<0.0001	cell proliferation
1433489_s_at	4063.85	11421.13	2.81	<0.0001	cell proliferation
1424942_a_at	368.83	991.27	2.69	<0.0001	cell proliferation
1426570_a_at	216.73	496.77	2.29	<0.0001	cell proliferation
1420653_at	2195.75	3201.87	1.46	<0.0001	cell proliferation
1452320_at	1170	4276.6	3.66	<0.0001	cell proliferation
1418099_at	1099.05	1994.57	1.81	0.0039	cell proliferation
1428069_at	169.85	600.6	3.54	<0.0001	cell proliferation
1415810_at	115.93	197.37	1.7	0.0001	cell proliferation
1419431_at	64.65	1313.5	20.32	<0.0001	cell proliferation
1452260_at	365.38	109.6	-3.33	<0.0001	cell death
1448029_at	3281.03	1037.9	-3.16	0.0002	cell death
1460251_at	1449.35	694.9	-2.09	<0.0001	cell death
1422545_at	3443.58	1631.58	-2.11	0.0002	cell death
1449773_s_at	2999.55	1379.2	-2.17	<0.0001	cell death
1451596_a_at	746.13	399.6	-1.87	0.0001	cell death
1449522_at	749.03	333.22	-2.25	<0.0001	cell death
1418634_at	4538.01	3030.41	-1.5	0.0003	cell death
1422490_at	6444.73	4508.42	-1.43	<0.0001	cell death
1420412_at	1072.78	421.13	-2.55	0.0001	cell death
1416406_at	4867.3	3056.25	-1.59	0.0002	cell death
1452440_at	1974.59	1208.29	-1.63	0.0003	cell death
1449110_at	16982.65	10524.57	-1.61	0.0002	cell death
1417291_at	4759.35	3945.3	-1.21	0.0009	cell death
1416534_at	3151.7	2392	-1.32	0.0001	cell death
1460495_s_at	761.38	580.17	-1.31	0.0042	cell death
1418528_a_at	7059.1	8945.7	1.27	0.0043	cell death
1423547_at	51509.75	66664.73	1.29	0.0001	cell death
1449839_at	1226.68	1646.6	1.34	0.0007	cell death
1427739_a_at	959.3	1251.07	1.3	0.0043	cell death
1427505_a_at	728.28	1184.03	1.63	<0.0001	cell death
1418377_a_at	1013.73	1575	1.55	0.0021	cell death
1423814_at	422.18	652.1	1.54	0.0037	cell death
1422025_at	203.65	337.57	1.66	0.0004	cell death
1460642_at	157.8	456.6	2.89	0.0001	cell death
1417077_at	1438.9	2168.45	1.51	0.0017	cell death
1421392_a_at	2227.1	4377.07	1.97	0.0003	cell death
1427418_a_at	5897.9	9223.58	1.56	<0.0001	cell death
1427418_a_at	5897.9	9223.58	1.56	<0.0001	cell death
1423712_a_at	2876.7	3807.03	1.32	<0.0001	cell death
1423790_at	2710.4	4071.27	1.5	0.0002	cell death
1423602_at	746.85	1268.47	1.7	0.0019	cell death
1433775_at	1806.75	3582.9	1.98	<0.0001	cell death
1424629_at	111.65	217.13	1.94	0.0002	cell death
1419080_at	347.53	1106.37	3.18	0.0001	cell death
1419407_at	7662.98	12152.67	1.59	0.0039	cell death
1424942_a_at	368.83	991.27	2.69	<0.0001	cell death
1419004_s_at	4460.88	12331.6	2.76	0.0002	cell death
1420653_at	2195.75	3201.87	1.46	<0.0001	cell death
1418099_at	1099.05	1994.57	1.81	0.0039	cell death
1419004_s_at	4460.88	12331.6	2.76	0.0002	cell death
1452014_a_at	393.25	989.3	2.52	0.0003	cell death
1418626_a_at	2677.98	7539.95	2.82	0.0002	cell death
1418976_s_at	275.55	456.85	1.66	0.0011	cell death
1452114_s_at	4210.2	1482.37	-2.84	0.0002	cellular morphogenesis
1425291_at	917.23	132.6	-6.92	<0.0001	cellular morphogenesis
1417872_at	31085.2	13072.53	-2.38	<0.0001	cellular morphogenesis
1415923_at	799.08	307.63	-2.6	0.0003	cellular morphogenesis
1423537_at	1025	416.33	-2.46	0.0003	cellular morphogenesis
1454159_a_at	16856.85	3995.3	-4.22	<0.0001	cellular morphogenesis
1424092_at	2685.45	1290.93	-2.08	0.0012	cellular morphogenesis
1425379_at	425.8	220.1	-1.93	<0.0001	cellular morphogenesis
1423757_x_at	6607.08	2548.13	-2.59	<0.0001	cellular morphogenesis
1428847_a_at	12652	8806.83	-1.44	0.0004	cellular morphogenesis
1449465_at	720.08	307.57	-2.34	0.0001	cellular morphogenesis
1434180_at	13319.95	8351.63	-1.59	0.0002	cellular morphogenesis
1416529_at	9860	5631.8	-1.75	0.0002	cellular morphogenesis
1416953_at	16181.93	9384.3	-1.72	0.0015	cellular morphogenesis
1416156_at	14915.4	8354.53	-1.79	<0.0001	cellular morphogenesis
1418711_at	2246.65	1333.1	-1.69	0.0018	cellular morphogenesis
1423967_at	492.28	186.55	-2.64	0.0001	cellular morphogenesis
1416749_at	2223.55	1542.57	-1.44	<0.0001	cellular morphogenesis
1449942_a_at	4883.08	3120.77	-1.56	<0.0001	cellular morphogenesis
1450923_at	741.45	398.97	-1.86	0.0024	cellular morphogenesis
1417455_at	799.55	429.37	-1.86	0.0037	cellular morphogenesis
1448765_at	1415.25	1132.45	-1.25	<0.0001	cellular morphogenesis
1416157_at	1466.65	820.83	-1.79	0.0002	cellular morphogenesis
1460420_a_at	1055.35	739.07	-1.43	<0.0001	cellular morphogenesis
1428374_at	1496	1300.37	-1.15	0.0003	cellular morphogenesis
1427918_a_at	5632.93	4600.77	-1.22	0.0001	cellular morphogenesis
1433490_s_at	6024.05	3108.13	-1.94	0.0001	cellular morphogenesis
1451086_s_at	26881.1	21551.08	-1.25	0.0001	cellular morphogenesis
1423757_x_at	6607.08	2548.13	-2.59	<0.0001	cellular morphogenesis
1423814_at	422.18	652.1	1.54	0.0037	cellular morphogenesis
1422511_a_at	2279.75	2748.9	1.21	0.0001	cellular morphogenesis
1418393_a_at	596.38	1064.95	1.79	0.0002	cellular morphogenesis
1420498_a_at	2841.73	4237.63	1.49	0.0002	cellular morphogenesis
1434851_s_at	1344.33	1764.03	1.31	<0.0001	cellular morphogenesis
1449109_at	4585.9	10705.37	2.33	<0.0001	cellular morphogenesis
1428131_a_at	3738.03	5561.83	1.49	0.0001	cellular morphogenesis
1449353_at	1442.88	2207.55	1.53	0.0002	cellular morphogenesis
1422854_at	2065.1	2818.2	1.36	0.0003	cellular morphogenesis
1420653_at	2195.75	3201.87	1.46	<0.0001	cellular morphogenesis
1422853_at	723.95	957.3	1.32	0.0003	cellular morphogenesis
1449027_at	631.33	1285.7	2.04	0.0001	cellular morphogenesis
1426851_a_at	1223.85	5178.17	4.23	0.0001	cellular morphogenesis
1421195_at	2555.83	524.6	-4.87	<0.0001	cell motility
1418788_at	13305.25	4461.75	-2.98	0.0002	cell motility
1421624_a_at	144.7	23.53	-6.15	<0.0001	cell motility
1427231_at	290.83	163.67	-1.78	0.0004	cell motility
1416238_at	3256.48	1521.93	-2.14	<0.0001	cell motility
1417574_at	5831.25	2397.73	-2.43	0.0001	cell motility
1418157_at	359.98	190.97	-1.89	0.0002	cell motility
1419300_at	5797.93	2281.9	-2.54	0.0002	cell motility
1449522_at	749.03	333.22	-2.25	<0.0001	cell motility
1454890_at	703.1	290.6	-2.42	<0.0001	cell motility
1419426_s_at	4269.7	1759.93	-2.43	0.0001	cell motility
1449865_at	1433.88	655.97	-2.19	0.0001	cell motility
1454708_at	5965.78	3350.87	-1.78	0.0003	cell motility
1449379_at	5704.88	2614.13	-2.18	0.0002	cell motility
1426285_at	1496.53	740.55	-2.02	0.0001	cell motility
1418285_at	1162.53	681.9	-1.7	<0.0001	cell motility
1451756_at	1958.88	1117.97	-1.75	<0.0001	cell motility
1428847_a_at	12652	8806.83	-1.44	0.0004	cell motility
1449465_at	720.08	307.57	-2.34	0.0001	cell motility
1416953_at	16181.93	9384.3	-1.72	0.0015	cell motility
1416156_at	14915.4	8354.53	-1.79	0.0002	cell motility
1455158_at	4205.75	2972.87	-1.41	<0.0001	cell motility
1418361_at	372	225.33	-1.65	0.0035	cell motility
1424807_at	1631.9	1251.27	-1.3	0.0014	cell motility
1450923_at	741.45	398.97	-1.86	0.0024	cell motility
1415849_s_at	7472.93	4988.87	-1.5	<0.0001	cell motility
1460305_at	1219.3	568.1	-2.15	0.0023	cell motility
1416157_at	1466.65	820.83	-1.79	<0.0001	cell motility
1421928_at	407.2	272.67	-1.49	0.0014	cell motility
1451086_s_at	26881.1	21551.08	-1.25	0.0001	cell motility
1426392_a_at	11537.18	14006.2	1.21	0.0007	cell motility
1426301_at	6055.6	10454.2	1.73	0.0005	cell motility
1451097_at	3669.6	6779.57	1.85	0.0001	cell motility
1452587_at	12484.28	15015.33	1.2	0.0019	cell motility
1416985_at	3075.9	4297.23	1.4	0.0048	cell motility
1433775_at	1806.75	3582.9	1.98	<0.0001	cell motility
1450295_s_at	300.95	711.1	2.36	<0.0001	cell motility
1452061_s_at	607.18	861.6	1.42	0.0032	cell motility
1448972_at	956.15	215.25	-4.44	0.0001	cell-cell signaling
1427465_at	930.8	388.75	-2.39	<0.0001	cell-cell signaling
1421622_a_at	574.85	241.27	-2.38	<0.0001	cell-cell signaling
1418596_at	1258.08	473.45	-2.66	0.0001	cell-cell signaling
1450772_at	464.18	193.93	-2.39	<0.0001	cell-cell signaling
1416255_at	2768.55	1372.43	-2.02	<0.0001	cell-cell signaling
1425468_at	98.05	20.77	-4.72	0.0019	cell-cell signaling
1424050_s_at	820.33	660.1	-1.24	0.0013	cell-cell signaling
1422671_s_at	612.35	411.07	-1.49	0.0013	cell-cell signaling
1449094_at	1861.23	926.77	-2.01	<0.0001	cell-cell signaling
1419392_at	157.55	64.68	-2.44	0.0025	cell-cell signaling
1436665_a_at	5668.8	1966.13	-2.88	<0.0001	cell-cell signaling
1420834_at	1756.93	1329.87	-1.32	0.0001	cell-cell signaling
1415756_a_at	2926.38	2133.67	-1.37	0.0003	cell-cell signaling
1422093_at	526.9	309.95	-1.7	0.0027	cell-cell signaling
1428667_at	2473	1681.1	-1.47	0.0048	cell-cell signaling
1448765_at	1415.25	1132.45	-1.25	<0.0001	cell-cell signaling
1449144_at	5133.03	3110.68	-1.65	<0.0001	cell-cell signaling
1434959_at	294.53	82.2	-3.58	0.0001	cell-cell signaling
1425264_s_at	1634.4	2067.8	1.27	0.0002	cell-cell signaling
1420847_a_at	2318.48	5548.35	2.39	<0.0001	cell-cell signaling
1419080_at	347.53	1106.37	3.18	0.0001	cell-cell signaling
1420682_at	728.83	1475.07	2.02	0.0001	cell-cell signaling
1427682_a_at	340.45	693.6	2.04	0.0006	cell-cell signaling
1438650_x_at	1960.75	7138.92	3.64	<0.0001	cell-cell signaling
1433489_s_at	4063.85	11421.13	2.81	<0.0001	cell-cell signaling
1451798_at	522.03	798.05	1.53	0.0015	cell-cell signaling
1415800_at	3740.98	14844.83	3.97	<0.0001	cell-cell signaling
1423271_at	343.13	1042.07	3.04	0.0001	cell-cell signaling
1448767_s_at	93.03	810.33	8.71	0.0001	cell-cell signaling
1416715_at	106.1	602.87	5.68	0.0002	cell-cell signaling
1419426_s_at	4269.7	1759.93	-2.43	0.0001	regulation of cell differentiation
1421965_s_at	3134.13	2177.12	-1.44	0.001	regulation of cell differentiation
1418634_at	4538.01	3030.41	-1.5	0.0003	regulation of cell differentiation
1422093_at	526.9	309.95	-1.7	0.0027	regulation of cell differentiation
1435272_at	4264.28	2319.23	-1.84	0.0001	regulation of cell differentiation
1449144_at	5133.03	3110.68	-1.65	<0.0001	regulation of cell differentiation
1460220_a_at	1690.28	806.27	-2.1	0.0001	regulation of cell differentiation
1418136_at	3918.35	1882.7	-2.08	0.0001	regulation of cell differentiation
1422025_at	203.65	337.57	1.66	0.0004	regulation of cell differentiation
1423235_at	3368.38	4444.23	1.32	0.0001	regulation of cell differentiation
1449109_at	4585.9	10705.37	2.33	<0.0001	regulation of cell differentiation
1422912_at	4702.4	10176.42	2.16	0.0002	regulation of cell differentiation
1426083_a_at	13899.63	18971.9	1.36	0.0005	regulation of cell differentiation
1425519_a_at	32326.23	51581.57	1.6	0.0001	regulation of cell differentiation
1416155_at	1010.63	2969.82	2.94	<0.0001	regulation of cell differentiation
1419083_at	66.08	104.23	1.58	0.002	regulation of cell differentiation
1422527_at	1859.9	3288.12	1.77	0.0009	regulation of cell differentiation
1452431_s_at	15083.65	28792.62	1.91	0.0007	regulation of cell differentiation
1452114_s_at	4210.2	1482.37	-2.84	0.0002	cell growth
1417872_at	31085.2	13072.53	-2.38	<0.0001	cell growth
1415923_at	799.08	307.63	-2.6	0.0003	cell growth
1423537_at	1025	416.33	-2.46	0.0003	cell growth
1454159_a_at	16856.85	3995.3	-4.22	<0.0001	cell growth
1423757_x_at	6607.08	2548.13	-2.59	<0.0001	cell growth
1416529_at	9860	5631.8	-1.75	0.0002	cell growth
1416953_at	16181.93	9384.3	-1.72	0.0015	cell growth
1416749_at	2223.55	1542.57	-1.44	<0.0001	cell growth
1450923_at	741.45	398.97	-1.86	0.0024	cell growth
1417455_at	799.55	429.37	-1.86	0.0037	cell growth
1423757_x_at	6607.08	2548.13	-2.59	<0.0001	cell growth
1422511_a_at	2279.75	2748.9	1.21	0.0001	cell growth
1449109_at	4585.9	10705.37	2.33	<0.0001	cell growth
1449353_at	1442.88	2207.55	1.53	0.0002	cell growth
1422854_at	2065.1	2818.2	1.36	0.0003	cell growth
1420653_at	2195.75	3201.87	1.46	<0.0001	cell growth
1422853_at	723.95	957.3	1.32	0.0003	cell growth
1426851_a_at	1223.85	5178.17	4.23	0.0001	cell growth
1452114_s_at	4210.2	1482.37	-2.84	0.0002	regulation of growth
1421471_at	278.3	84.8	-3.28	0.0001	regulation of growth
1415923_at	799.08	307.63	-2.6	0.0003	regulation of growth
1423537_at	1025	416.33	-2.46	0.0003	regulation of growth
1454159_a_at	16856.85	3995.3	-4.22	<0.0001	regulation of growth
1454890_at	703.1	290.6	-2.42	<0.0001	regulation of growth
1423757_x_at	6607.08	2548.13	-2.59	<0.0001	regulation of growth
1419499_at	8526.08	4824.03	-1.77	<0.0001	regulation of growth
1416953_at	16181.93	9384.3	-1.72	0.0015	regulation of growth
1416749_at	2223.55	1542.57	-1.44	<0.0001	regulation of growth
1460220_a_at	1690.28	806.27	-2.1	0.0001	regulation of growth
1423757_x_at	6607.08	2548.13	-2.59	<0.0001	regulation of growth
1420619_a_at	6037.15	7651.6	1.27	0.0013	regulation of growth
1422511_a_at	2279.75	2748.9	1.21	0.0001	regulation of growth
1449109_at	4585.9	10705.37	2.33	<0.0001	regulation of growth
1449353_at	1442.88	2207.55	1.53	0.0002	regulation of growth
1422854_at	2065.1	2818.2	1.36	0.0003	regulation of growth
1422853_at	723.95	957.3	1.32	0.0003	regulation of growth
1426851_a_at	1223.85	5178.17	4.23	0.0001	regulation of growth
1418187_at	21317.13	5936.37	-3.59	0.0002	regulation of signal transduction
1417271_a_at	10831.83	4024.03	-2.69	0.0002	regulation of signal transduction
1460444_at	3917.45	1865.6	-2.1	0.0003	regulation of signal transduction
1449465_at	720.08	307.57	-2.34	0.0001	regulation of signal transduction
1417312_at	1421.28	769.53	-1.85	<0.0001	regulation of signal transduction
1421239_at	1898.33	774.47	-2.45	<0.0001	regulation of signal transduction
1452843_at	7664	3912.87	-1.96	0.0009	regulation of signal transduction
1416749_at	2223.55	1542.57	-1.44	<0.0001	regulation of signal transduction
1435272_at	4264.28	2319.23	-1.84	0.0001	regulation of signal transduction
1417481_at	2105.95	3554.25	1.69	<0.0001	regulation of signal transduction
1434403_at	2471.83	4077.83	1.65	0.0001	regulation of signal transduction
1428131_a_at	3738.03	5561.83	1.49	0.0001	regulation of signal transduction
1460251_at	1449.35	694.9	-2.09	<0.0001	lymphocyte differentiation
1417505_s_at	1601.15	1040.6	-1.54	0.0001	lymphocyte differentiation
1435272_at	4264.28	2319.23	-1.84	0.0001	lymphocyte differentiation
1423235_at	3368.38	4444.23	1.32	0.0001	lymphocyte differentiation
1417065_at	1765.85	3600.1	2.04	<0.0001	lymphocyte differentiation
1425519_a_at	32326.23	51581.57	1.6	0.0001	lymphocyte differentiation
1416155_at	1010.63	2969.82	2.94	<0.0001	lymphocyte differentiation
1422527_at	1859.9	3288.12	1.77	0.0009	lymphocyte differentiation
1452431_s_at	15083.65	28792.62	1.91	0.0007	lymphocyte differentiation
1418788_at	13305.25	4461.75	-2.98	0.0002	regulation of locomotion
1416238_at	3256.48	1521.93	-2.14	<0.0001	regulation of locomotion
1417574_at	5831.25	2397.73	-2.43	0.0001	regulation of locomotion
1449522_at	749.03	333.22	-2.25	<0.0001	regulation of locomotion
1454890_at	703.1	290.6	-2.42	<0.0001	regulation of locomotion
1426285_at	1496.53	740.55	-2.02	0.0001	regulation of locomotion
1416156_at	14915.4	8354.53	-1.79	<0.0001	regulation of locomotion
1424807_at	1631.9	1251.27	-1.3	0.0014	regulation of locomotion
1415849_s_at	7472.93	4988.87	-1.5	<0.0001	regulation of locomotion
1416157_at	1466.65	820.83	-1.79	0.0002	regulation of locomotion
1418758_a_at	11018.05	4458.5	-2.47	<0.0001	regulation of cell adhesion
1450798_at	2188.63	1112.9	-1.97	0.0008	regulation of cell adhesion
1426285_at	1496.53	740.55	-2.02	0.0001	regulation of cell adhesion
1424807_at	1631.9	1251.27	-1.3	0.0014	regulation of cell adhesion
1448694_at	6864.03	3201.6	-2.14	<0.0001	epithelial cell differentiation
1418634_at	4538.01	3030.41	-1.5	0.0003	epithelial cell differentiation
1418136_at	3918.35	1882.7	-2.08	0.0001	epithelial cell differentiation
1434851_s_at	1344.33	1764.03	1.31	<0.0001	epithelial cell differentiation
1450950_at	2417.23	1645.97	-1.47	0.0015	chromosome segregation
1452197_at	2161.2	3307.2	1.53	<0.0001	chromosome segregation
1454694_a_at	524.3	853.6	1.63	0.0013	chromosome segregation
1419749_at	941.58	596.43	-1.58	0.0005	DNA methylation
1449563_at	341.9	128.67	-2.66	<0.0001	DNA methylation
