probe	EntrezGene.ID	Basal	Her2	LumA	LumB	Normal
256260	5983	0.444	0.604636364	-0.24657143	0.244181818	-0.4394
814260	2531	0.449	0.244272727	-0.064296296	-0.330181818	0.3777
324210	10280	0.451	0.165818182	0.0225	0.091818182	-0.2562
784109	8910	0.464	0.587090909	-0.417	-0.2779	0.655
141726	NA	0.464	0.274666667	-0.60164	-0.239545455	-0.240666667
140100	55862	0.476	-0.161272727	-0.104464287	-0.335909091	0.2183
238907	56997	0.477	-0.264818182	0.065392857	0.081545455	0.6036
261393	NA	0.478	-0.153909091	-0.173928571	0.851545455	-0.997444444
49464	7374	0.488	-0.120454545	-0.052642857	0.412545455	-0.5798
146123	5796	0.49	0.5413	-0.992826088	-0.2542	-0.0761
83297	8323	0.49	0.112090909	-0.172423077	0.116363636	-0.355
795685	83608	0.495	0.027590909	-0.25646	0.210727273	-0.4875
324510	79745	0.501	0.1728	-0.333065217	-0.236954546	0.773166667
882483	3475	0.503	0.065272727	0.074166667	-0.270363636	-0.061124998
145503	1032	0.503	-0.009	-0.091928571	0.628090909	-0.7352
884655	2617	0.505	0.649727273	-0.285071429	0.282	-0.6504
725680	7022	0.517	-0.264772727	-0.311607143	-0.080454546	0.90185
756595	6281	0.521	0.591818182	-0.486607143	0.229090909	-0.622
144881	813	0.534	0.519222222	-0.483857143	0.0837	-0.732375
757383	84079	0.534	-0.1023	-0.21958	0.1891	-0.175222222
156211	525	0.54	0.123863636	0.71487037	-0.300681818	0.762777778
23185	3371	0.541	1.932428571	-0.497875	-0.143818182	0.4585
300289	10518	0.541	0.416875	-0.88964	0.041272727	0.327
263013	5352	0.552	0.296909091	-0.445785714	0.029636364	-0.5272
307119	NA	0.553	-0.328636364	0.117642857	0.622636364	-0.230111111
125722	1716	0.567	-0.0593	-0.00256	-0.0466	-0.183222222
142788	871	0.568	0.296111111	-0.574464286	-0.037818182	-0.582444444
208001	966	0.576	0.068181818	-0.196892857	-0.243636364	-0.061
784830	8872	0.598	0.210909091	-0.274777778	0.525454546	-0.843666667
711552	873	0.605	-0.1087	-0.77092	0.208909091	0.0887
812105	10962	0.607	0.1253	-0.152	0.061818182	-0.308666667
767817	5435	0.61	-0.129818182	-0.442285714	0.584727273	-0.375999998
504791	2941	0.614	0.166454545	-0.113076924	-0.303272727	0.0244
471196	81618	0.618	0.386909091	-0.661285714	0.269272733	0.277
140806	5066	0.627	0.254727273	0.229607143	-0.662090909	0.167375
301995	8470	0.636	0.03718182	0.377666667	-1.353333333	0.9922
810612	6282	0.638	0.121	-0.44488	0.126090909	-0.9046
741474	2821	0.641	0.189636364	-0.060333333	0.561909091	-0.2976
810459	8325	0.649	-0.391857146	0.064958333	-0.336454546	0.308
743220	65094	0.669	-0.255636364	-0.190037037	0.296909091	-0.1851
897546	10400	0.682	-0.301818182	0.032571429	0.142590909	0.24395
321488	23580	0.686	-0.3208	0.10174074	-0.0447	0.434
487861	4097	0.69	-0.001181818	-0.237777778	-0.089090909	-0.1285
246808	55655	0.699	-0.371545455	0.134703704	0.8279	0.4113
773301	1001	0.705	0.541181818	-0.632038462	-0.314600001	0.425111111
32231	64943	0.716	0.801954545	-0.428125	0.64695	-0.14775
949988	55353	0.729	0.455659091	-0.384169643	1.695022727	-0.935275
46182	1503	0.739	0.19975	-0.815770833	0.49175	-0.581
248849	55205	0.743	0.2554	-0.401307692	-0.4055	0.152444444
81289	72	0.745	0.290818182	-0.602518519	-0.1161	0.562777778
809557	4172	0.746	-0.1847	-0.210857143	0.194	-0.467888889
155716	3084	0.747	0.057555556	-0.4894	0.728181818	0.0529
265060	3815	0.749	0.297222222	-0.55668	0.242727273	2.0454
504207	10591	0.787	-0.3556	-0.188807692	0.414181818	-0.1383
813751	6484	0.798	-0.075272727	-0.155071429	0.3394	-0.3228
826135	11329	0.8	0.189142857	-0.260043478	-0.305818182	0.045555555
358885	2296	0.814	0.036727273	-0.0865	-0.1425	-0.0148
298122	8324	0.821	0.310000001	-0.473846154	-0.605727273	1.207
460403	3918	0.825	0.292454545	-0.410608696	-1.8428	1.1049
121551	3898	0.842	0.297818182	-1.343259259	0.316818182	-0.07
809657	NA	0.85	-0.4197	0.350269231	0.406818182	0.3321
323238	2919	0.88	1.0436	-0.551291667	-0.044545455	1.524555556
268736	5359	0.884	-0.144444444	-0.193857143	0.008818182	-0.1943
789369	3400	0.894	-0.163454545	-0.499642857	0.017363636	0.6906
488017	NA	0.901	0.470545455	-0.362111111	0.05	0.708599998
949932	4904	0.901	0.465727273	-0.4665	0.677909091	-0.3625
415064	NA	0.911	-0.2928	-0.793134615	-0.014	0.749277778
490361	NA	0.914	0.192545455	-0.637384615	-0.091636364	0.214
811020	157378	0.925	0.5421	-0.776384615	0.769	-0.3474
246304	10950	0.932	0.243090909	-0.689535714	0.394	-0.1866
625623	8884	0.941	-0.092181818	-0.636642857	0.183454546	-0.0317
841340	6890	0.945	-0.156272724	-0.177607143	0.808	-1.4073
212198	7159	0.968	0.1859	-0.181964286	-0.2623	-0.213444444
771323	5351	0.997	0.183681818	-0.254517857	0.168181818	-0.086
144932	8099	0.998	0.199636364	-0.234392857	0.174636364	-0.351
248261	2731	1.01	0.399636364	-0.485962963	0.560545455	-0.144888889
136235	2950	1.03	0.332363636	-0.703964286	0.057863636	0.34405
809588	8836	1.05	0.177363636	-0.655928571	1.723181818	-0.8804
366950	6590	1.14	0.905636364	-0.981464286	-1.770636364	0.658
306771	NA	1.16	0.384375	-0.848652174	-0.4533	-0.7427
666879	NA	1.17	0.244181818	-0.482	-0.832181818	1.7099
810603	84886	1.19	0.123636364	-0.465481482	-0.080363636	-0.12525
278242	5165	1.19	-0.159363636	-0.243807692	0.238181818	-0.058444444
68950	898	1.22	0.176909091	-0.888291667	0.316545455	-1.0192
544639	1824	1.46	0.098454545	-0.63262963	-0.562727273	0.1988
470781	NA	1.46	0.248181818	-0.4208	-0.291181818	0.370666667
140574	6376	1.51	0.6332	-0.98382	-0.187818182	2.80205
587992	81611	1.53	0.336545455	-0.5805	0.390863636	-0.53865
223350	1356	1.57	0.583	-0.758333333	0.5431	-0.585900001
592540	3852	1.61	0.072545455	-0.847259259	-1.7207	1.7428
377275	23650	1.65	0.145166667	-0.88362	-0.588954546	2.35685
366889	3872	1.66	-0.0866	-0.594666667	-1.196545455	2.5436
345626	2173	1.74	-0.131772727	-0.767826923	-0.395227273	1.21405
460666	51442	1.77	0.9295	-0.967125	-0.438545455	1.265222222
487722	84002	1.8	0.609545455	-0.461478261	-0.341181821	0.083555556
756931	6271	1.81	-1.660545455	0.26575	0.384363636	0.7205
897956	23532	1.82	-0.288181818	-0.358086961	0.048636364	-1.431142857
809694	1381	1.9	-0.308272727	-0.898842105	2.041545455	1.291444444
854338	1117	2.39	0.0484	-0.220153846	-0.894545455	0.4681
253733	2296	2.63	0.4777	-0.658565217	-0.707636364	0.485555556
563598	2568	3.46	-0.235454545	-0.753769231	-0.417454546	3.0774
