Gene ID	Gene Name	Fold Change
215806_x_at	TRGC2 /// TRGV9 /// LOC442532 /// LOC442670 /// TARP	0.43
204162_at	KNTC2	0.42
216920_s_at	TRGC2 /// TRGV9 /// LOC442532 /// LOC442670 /// TARP	0.42
208228_s_at	FGFR2	0.39
220295_x_at	DEPDC1	0.46
208763_s_at	TSC22D3	0.46
211113_s_at	ABCG1	0.47
212686_at	PPM1H	0.48
221884_at	EVI1	0.44
211144_x_at	TRGC2	0.46
204365_s_at	C2orf23	0.48
209442_x_at	ANK3	0.46
217989_at	DHRS8	0.45
214746_s_at	ZNF467	0.49
212263_at	QKI	0.47
205167_s_at	CDC25C	0.43
50965_at	RAB26	0.46
220770_s_at	LOC63920	0.44
210220_at	FZD2	0.49
221016_s_at	TCF7L1	0.43
203953_s_at	CLDN3	0.49
202454_s_at	ERBB3	0.48
204352_at	TRAF5	0.47
212249_at	PIK3R1	0.50
214440_at	NAT1	0.43
207950_s_at	ANK3	0.47
207655_s_at	BLNK	0.45
203639_s_at	FGFR2	0.41
218699_at	RAB7L1	0.41
209813_x_at	TRGC2 /// TRGV9 /// LOC442532 /// LOC442670 /// TARP	0.46
206385_s_at	ANK3	0.48
203125_x_at	SLC11A2	0.45
207127_s_at	HNRPH3	0.49
211774_s_at	DKFZp564I122	0.50
201896_s_at	PSRC1	0.50
205304_s_at	KCNJ8	0.46
201369_s_at	ZFP36L2	0.46
213722_at	SOX2	0.45
218662_s_at	HCAP-G	0.50
204364_s_at	C2orf23	0.43
212354_at	SULF1	0.48
211959_at	IGFBP5	0.46
212240_s_at	PIK3R1	0.46
219990_at	E2F8	0.42
212593_s_at	PDCD4	0.44
212344_at	SULF1	0.52
204798_at	MYB	0.50
205486_at	TESK2	0.48
212636_at	QKI	0.47
210085_s_at	ANXA9	0.49
207330_at	PZP	0.48
205698_s_at	MAP2K6	0.45
208886_at	H1F0	0.49
207586_at	SHH	0.43
200747_s_at	NUMA1	0.50
204444_at	KIF11	0.50
201309_x_at	C5orf13	0.42
218627_at	FLJ11259	0.51
218289_s_at	UBE1DC1	0.52
220936_s_at	H2AFJ	0.47
213552_at	GLCE	0.51
206457_s_at	DIO1	0.46
212239_at	PIK3R1	0.46
204739_at	CENPC1	0.50
210588_x_at	HNRPH3	0.54
221864_at	MGC13024	0.51
210663_s_at	KYNU	0.51
219722_s_at	GDPD3	0.51
217388_s_at	KYNU	0.50
218734_at	FLJ13848	0.52
220414_at	CALML5	0.39
218663_at	HCAP-G	0.51
209121_x_at	NR2F2	0.52
202729_s_at	LTBP1	0.53
218487_at	ALAD	0.49
202814_s_at	HEXIM1	0.52
218704_at	FLJ20315	0.52
205161_s_at	PEX11A	0.46
221788_at	PGM3	0.53
214053_at	ERBB4	0.50
218039_at	NUSAP1	0.53
213568_at	OSR2	0.50
220038_at	SGK3	0.51
207886_s_at	CALCR	0.55
214451_at	TFAP2B	0.53
201291_s_at	TOP2A	0.50
205776_at	FMO5	0.53
219918_s_at	ASPM	0.51
219517_at	ELL3	0.53
221003_s_at	CAB39L	0.52
210130_s_at	TM7SF2	0.53
213849_s_at	PPP2R2B	0.53
203424_s_at	IGFBP5	0.40
219978_s_at	NUSAP1	0.53
202769_at	CCNG2	0.53
206204_at	GRB14	0.54
211778_s_at	OVOL2	0.39
218491_s_at	THY28	0.54
208056_s_at	CBFA2T3	0.56
211958_at	IGFBP5	0.44
221436_s_at	CDCA3	0.54
221869_at	GM632	0.53
219484_at	HCFC2	0.46
203145_at	SPAG5	0.53
205306_x_at	KMO	0.45
210095_s_at	IGFBP3	0.57
204385_at	KYNU	0.52
203803_at	PCYOX1	0.54
213419_at	APBB2	0.52
213243_at	VPS13B	0.52
218195_at	C6orf211	0.54
213712_at	ELOVL2	0.48
215043_s_at	SMA3 /// SMA5	0.42
218736_s_at	PALMD	0.50
212099_at	RHOB	0.54
219717_at	FLJ20280	0.51
204135_at	DOC1	0.45
203764_at	DLG7	0.51
204318_s_at	GTSE1	0.47
218421_at	CERK	0.51
201292_at	TOP2A	0.55
221085_at	TNFSF15	0.54
204805_s_at	H1FX	0.49
212503_s_at	KIAA0934	0.51
220979_s_at	ST6GALNAC5	0.46
209642_at	BUB1	0.54
221218_s_at	TPK1	0.52
212154_at	SDC2	0.57
203626_s_at	SKP2	0.49
213397_x_at	RNASE4	0.55
213106_at	ATP8A1	0.54
35666_at	SEMA3F	0.53
210963_s_at	GYG2	0.51
202421_at	IGSF3	0.53
205220_at	GPR109B	0.47
215342_s_at	RABGAP1L	0.42
212148_at	PBX1	0.56
210096_at	CYP4B1	0.48
213029_at	NFIB	0.56
216973_s_at	HOXB7	0.56
203954_x_at	CLDN3	0.53
209147_s_at	PPAP2A	0.52
201670_s_at	MARCKS	0.55
221564_at	HRMT1L1	0.52
202963_at	RFX5	0.53
204646_at	DPYD	0.49
205219_s_at	GALK2	0.53
219428_s_at	PXMP4	0.53
218355_at	KIF4A	0.55
202023_at	EFNA1	0.56
213624_at	SMPDL3A	0.55
206205_at	MPHOSPH9	0.54
217010_s_at	CDC25C	0.58
218221_at	ARNT	0.48
219518_s_at	ELL3	0.54
212265_at	QKI	0.54
209289_at	NFIB	0.57
203408_s_at	SATB1	0.53
217844_at	CTDSP1	0.53
203641_s_at	COBLL1	0.50
212504_at	KIAA0934	0.56
211032_at	COBLL1	0.57
216733_s_at	GATM	0.53
218222_x_at	ARNT	0.55
204340_at	CXorf12	0.55
218820_at	C14orf132	0.57
217644_s_at	SOS2	0.51
212143_s_at	IGFBP3	0.48
211919_s_at	CXCR4	0.54
202308_at	SREBF1	0.56
203801_at	MRPS14	0.51
203556_at	ZHX2	0.56
40148_at	APBB2	0.58
213331_s_at	NEK1	0.56
202708_s_at	HIST2H2BE	0.55
210732_s_at	LGALS8	0.56
219768_at	VTCN1	0.59
205046_at	CENPE	0.54
214177_s_at	PBXIP1	0.57
212599_at	AUTS2	0.58
208490_x_at	HIST1H2BF	0.55
215071_s_at	HIST1H2AC	0.57
203642_s_at	COBLL1	0.55
202948_at	IL1R1	0.55
209201_x_at	CXCR4	0.58
209891_at	SPBC25	0.55
205669_at	NCAM2	0.52
221909_at	FLJ14627	0.58
203998_s_at	SYT1	0.50
31874_at	GAS2L1	0.54
210946_at	PPAP2A	0.54
204612_at	PKIA	0.56
218816_at	LRRC1	0.58
213103_at	STARD13	0.60
219973_at	ARSJ	0.46
206665_s_at	BCL2L1	0.57
203037_s_at	MTSS1	0.52
207996_s_at	C18orf1	0.53
218976_at	DNAJC12	0.54
211711_s_at	PTEN	0.58
214719_at	LOC283537	0.54
212332_at	RBL2	0.53
214156_at	MYRIP	0.49
204373_s_at	CAP350	0.57
203787_at	SSBP2	0.58
218885_s_at	GALNT12	0.56
209618_at	CTNND2	0.52
202525_at	PRSS8	0.60
217892_s_at	EPLIN	0.59
214745_at	PLCL3	0.54
211712_s_at	ANXA9	0.56
212158_at	SDC2	0.57
207046_at	HIST2H4	0.52
204354_at	POT1	0.51
213601_at	SLIT1	0.59
213761_at	MDM1	0.50
202094_at	BIRC5	0.57
220060_s_at	FLJ20641	0.60
213329_at	SRGAP2	0.56
206114_at	EPHA4	0.53
210021_s_at	UNG2	0.49
209153_s_at	TCF3	0.59
214624_at	UPK1A	0.60
201774_s_at	CNAP1	0.51
213118_at	KIAA0701	0.55
203625_x_at	SKP2	0.60
220987_s_at	C11orf17 /// NUAK2	0.55
207156_at	HIST1H2AG	0.56
215324_at	SEMA3D	0.53
212870_at	RASSF3	0.61
209105_at	NCOA1	0.55
213269_at	ZNF248	0.57
207828_s_at	CENPF	0.59
219869_s_at	SLC39A8	0.60
213412_at	TJP3	0.55
206492_at	FHIT	0.59
208103_s_at	ANP32E	0.56
201539_s_at	FHL1	0.56
215729_s_at	VGLL1	0.54
211159_s_at	PPP2R5D	0.57
212956_at	KIAA0882	0.61
218031_s_at	CHES1	0.56
201668_x_at	MARCKS	0.60
38158_at	ESPL1	0.61
216969_s_at	KIF22	0.58
213529_at	ZNF688	0.57
55872_at	GM632	0.57
203655_at	XRCC1	0.61
218048_at	COMMD3	0.62
210754_s_at	LYN	0.60
200760_s_at	ARL6IP5	0.61
221965_at	MPHOSPH9	0.62
203680_at	PRKAR2B	0.61
204813_at	MAPK10	0.57
219767_s_at	CRYZL1	0.60
215108_x_at	TNRC9	0.61
217974_at	TM7SF3	0.52
201813_s_at	TBC1D5	0.60
205446_s_at	ATF2	0.60
204201_s_at	PTPN13	0.61
218248_at	FLJ22794	0.57
203755_at	BUB1B	0.62
202193_at	LIMK2	0.59
204247_s_at	CDK5	0.57
211042_x_at	MCAM	0.56
218432_at	FBXO3	0.61
218147_s_at	GLT8D1	0.54
219283_at	C1GALT1C1	0.59
214633_at	SOX3	0.57
205696_s_at	GFRA1	0.58
218692_at	FLJ20366	0.58
210859_x_at	CLN3	0.60
219860_at	LY6G5C	0.50
205567_at	CHST1	0.59
215997_s_at	CUL4B	0.56
201829_at	NET1	0.57
220258_s_at	WDR79	0.55
206110_at	HIST1H3H	0.56
219306_at	KIF15	0.58
219201_s_at	TWSG1	0.58
209574_s_at	C18orf1	0.57
219741_x_at	ZNF552	0.58
220192_x_at	SPDEF	0.60
203340_s_at	SLC25A12	0.61
204519_s_at	PLLP	0.56
212741_at	MAOA	0.60
205022_s_at	CHES1	0.62
204497_at	ADCY9	0.60
207001_x_at	TSC22D3	0.51
217437_s_at	TACC1	0.61
212728_at	DLG3	0.56
211138_s_at	KMO	0.57
205380_at	PDZK1	0.56
202688_at	TNFSF10	0.55
209094_at	DDAH1	0.64
204962_s_at	CENPA	0.62
220318_at	EPN3	0.60
210829_s_at	SSBP2	0.62
212928_at	TSPYL4	0.59
204788_s_at	PPOX	0.60
204640_s_at	SPOP	0.64
206565_x_at	SMA3	0.55
218477_at	TMEM14A	0.60
203102_s_at	MGAT2	0.60
204542_at	ST6GALNAC2	0.61
205452_at	PIGB	0.63
203178_at	GATM	0.62
201061_s_at	STOM	0.64
204967_at	APXL	0.58
204604_at	PFTK1	0.57
201367_s_at	ZFP36L2	0.63
205842_s_at	JAK2	0.58
204709_s_at	KIF23	0.59
201566_x_at	ID2 /// ID2B	0.58
203045_at	NINJ1	0.62
203139_at	DAPK1	0.62
205440_s_at	NPY1R	0.59
202162_s_at	CNOT8	0.61
216521_s_at	CXorf53	0.58
210447_at	GLUD2	0.58
219389_at	SUSD4	0.64
203476_at	TPBG	0.63
221250_s_at	MXD3	0.60
201850_at	CAPG	0.63
213581_at	PDCD2	0.64
206632_s_at	APOBEC3B	0.61
212614_at	ARID5B	0.63
207018_s_at	RAB27B	0.57
212692_s_at	LRBA	0.63
200761_s_at	ARL6IP5	0.64
221903_s_at	CYLD	0.58
212909_at	LYPD1	0.60
208873_s_at	C5orf18	0.61
209267_s_at	SLC39A8	0.62
210964_s_at	GYG2	0.56
214500_at	H2AFY	0.63
220945_x_at	MANSC1	0.59
205160_at	PEX11A	0.59
48825_at	ING4	0.64
219392_x_at	FLJ11029	0.61
206280_at	CDH18	0.61
201739_at	SGK	0.57
201830_s_at	NET1	0.63
219995_s_at	FLJ13841	0.63
207522_s_at	ATP2A3	0.59
219147_s_at	C9orf95	0.62
214543_x_at	QKI	0.60
213186_at	DZIP3	0.60
203080_s_at	BAZ2B	0.60
217028_at	CXCR4	0.57
218570_at	KBTBD4	0.62
201565_s_at	ID2	0.59
201505_at	LAMB1	0.62
221268_s_at	SGPP1	0.62
214544_s_at	SNAP23	0.60
208866_at	CSNK1A1	0.58
221837_at	KLHL22	0.61
209709_s_at	HMMR	0.63
204641_at	NEK2	0.63
212462_at	MYST4	0.65
202660_at	ITPR2	0.63
203988_s_at	FUT8	0.65
209980_s_at	SHMT1	0.65
213283_s_at	SALL2	0.60
201384_s_at	NBR1	0.61
215785_s_at	CYFIP2	0.63
204264_at	CPT2	0.62
201906_s_at	CTDSPL	0.62
207871_s_at	ST7	0.59
209420_s_at	SMPD1	0.60
202770_s_at	CCNG2	0.65
204432_at	SOX12	0.60
212331_at	RBL2	0.60
201752_s_at	ADD3	0.60
210052_s_at	TPX2	0.62
204404_at	SLC12A2	0.63
211080_s_at	NEK2	0.56
213032_at	NFIB	0.63
204353_s_at	POT1	0.62
214130_s_at	PDE4DIP	0.61
219637_at	ARMC9	0.63
209617_s_at	CTNND2	0.59
209797_at	TMEM4	0.63
213693_s_at	MUC1	0.64
219372_at	CDV1	0.61
205347_s_at	TMSL8	0.64
207183_at	GPR19	0.57
204252_at	CDK2	0.66
214404_x_at	SPDEF	0.64
210971_s_at	ARNTL	0.64
208591_s_at	PDE3B	0.62
204204_at	SLC31A2	0.64
203582_s_at	RAB4A	0.64
218927_s_at	CHST12	0.62
211804_s_at	CDK2	0.65
218162_at	OLFML3	0.60
35254_at	TRAFD1	0.64
209120_at	NR2F2	0.62
219156_at	SYNJ2BP	0.60
37943_at	ZFYVE26	0.63
201669_s_at	MARCKS	0.60
205628_at	PRIM2A	0.55
207345_at	FST	0.58
202976_s_at	RHOBTB3	0.64
208079_s_at	STK6	0.65
218308_at	TACC3	0.64
202815_s_at	HEXIM1	0.65
211200_s_at	EFCAB2	0.64
207480_s_at	MEIS2	0.57
214804_at	FSHPRH1	0.59
209713_s_at	SLC35D1	0.64
204688_at	SGCE	0.66
215731_s_at	MPHOSPH9	0.65
218014_at	PCNT1	0.63
215552_s_at	ESR1	0.62
204023_at	RFC4	0.64
204817_at	ESPL1	0.62
203770_s_at	STS	0.60
212392_s_at	PDE4DIP	0.58
207590_s_at	FSHPRH1	0.61
204290_s_at	ALDH6A1	0.62
213002_at	MARCKS	0.59
213768_s_at	ASCL1	0.62
212096_s_at	MTUS1	0.64
203491_s_at	PIG8	0.58
222067_x_at	HIST1H2BD	0.64
221258_s_at	KIF18A	0.59
203418_at	CCNA2	0.62
218789_s_at	FLJ20010	0.64
220173_at	C14orf45	0.66
210568_s_at	RECQL	0.61
212023_s_at	MKI67	0.61
208935_s_at	LGALS8	0.61
205110_s_at	FGF13	0.64
206316_s_at	KNTC1	0.66
201321_s_at	SMARCC2	0.67
203767_s_at	STS	0.61
205510_s_at	FLJ10038	0.66
219209_at	IFIH1	0.54
219479_at	KDELC1	0.60
220952_s_at	PLEKHA5	0.49
201843_s_at	EFEMP1	0.58
210132_at	EFNA3	0.64
218252_at	CKAP2	0.65
204900_x_at	SAP30	0.56
207165_at	HMMR	0.66
221703_at	BRIP1	0.64
202163_s_at	CNOT8	0.62
221856_s_at	FAM63A	0.58
212353_at	SULF1	0.56
211464_x_at	CASP6	0.63
213051_at	ZC3HAV1	0.64
204825_at	MELK	0.65
209431_s_at	ZNF278	0.64
35147_at	MCF2L	0.62
219512_at	C20orf172	0.63
209264_s_at	TSPAN4	0.63
205588_s_at	FGFR1OP	0.66
201132_at	HNRPH2	0.65
207559_s_at	ZNF261	0.65
217991_x_at	SSBP3	0.60
203489_at	SIVA	0.65
222047_s_at	ARS2	0.65
203723_at	ITPKB	0.65
212984_at	ATF2	0.61
210613_s_at	SYNGR1	0.60
218170_at	ISOC1	0.65
210110_x_at	HNRPH3	0.66
50376_at	ZNF444	0.65
206118_at	STAT4	0.60
205483_s_at	G1P2	0.64
201970_s_at	NASP	0.64
221590_s_at	ALDH6A1	0.62
202125_s_at	ALS2CR3	0.62
211559_s_at	CCNG2	0.62
202669_s_at	EFNB2	0.65
217707_x_at	SMARCA2	0.63
218517_at	PHF17	0.63
220329_s_at	C6orf96	0.66
201814_at	TBC1D5	0.63
202850_at	ABCD3	0.62
205316_at	SLC15A2	0.57
202705_at	CCNB2	0.65
203711_s_at	HIBCH	0.62
206544_x_at	SMARCA2	0.65
211651_s_at	LAMB1	0.65
202532_s_at	DHFR	0.65
204860_s_at	BIRC1	0.65
205253_at	PBX1	0.62
201426_s_at	VIM	0.66
206166_s_at	CLCA2	0.64
37986_at	EPOR	0.66
214481_at	HIST1H2AM	0.66
204137_at	TM7SF1	0.66
214224_s_at	PIN4	0.66
43544_at	THRAP5	0.66
218051_s_at	FLJ12442	0.63
208523_x_at	HIST1H2BI	0.66
220631_at	OSGEPL1	0.66
202220_at	KIAA0907	0.65
201877_s_at	PPP2R5C	0.65
218671_s_at	ATPIF1	0.66
220581_at	C6orf97	0.66
205303_at	KCNJ8	0.62
212095_s_at	MTUS1	0.63
205031_at	EFNB3	0.64
209772_s_at	CD24	0.66
207069_s_at	SMAD6	0.62
219067_s_at	C10orf86	0.60
212899_at	CDC2L6	0.64
212543_at	AIM1	0.65
219682_s_at	TBX3	0.60
203283_s_at	HS2ST1	0.64
202506_at	SSFA2	0.65
208442_s_at	ATM	0.66
218454_at	FLJ22662	0.66
211552_s_at	ALDH4A1	0.66
221505_at	ANP32E	0.66
209484_s_at	C1orf48	0.66
207769_s_at	PQBP1	0.67
209757_s_at	MYCN	0.64
204971_at	CSTA	0.61
218025_s_at	PECI	0.64
212443_at	NBEAL2	0.59
205706_s_at	ANKRD26	0.66
218108_at	C14orf130	0.67
204451_at	FZD1	0.64
206132_at	MCC	0.66
210552_s_at	RALGPS1	0.63
209421_at	MSH2	0.65
212789_at	hCAP-D3	0.65
217889_s_at	CYBRD1	0.58
204779_s_at	HOXB7	0.64
214909_s_at	DDAH2	0.67
213496_at	LPPR4	0.60
212915_at	PDZRN3	0.64
217765_at	NRBP	0.66
212131_at	FAM61A	0.66
211401_s_at	FGFR2	0.61
210074_at	CTSL2	0.64
213441_x_at	SPDEF	0.66
212451_at	KIAA0256	0.64
211713_x_at	KIAA0101	0.66
201034_at	ADD3	0.65
214051_at	MGC39900	0.64
205498_at	GHR	0.61
206744_s_at	ZMYM5	0.63
205732_s_at	NCOA2	0.58
212775_at	OBSL1	0.64
214616_at	HIST1H3E	0.65
202749_at	WRB	0.66
51146_at	PIGV	0.64
213599_at	OIP5	0.64
204822_at	TTK	0.64
214672_at	TTLL5	0.67
209893_s_at	FUT4	0.67
207414_s_at	PCSK6	0.66
203895_at	PLCB4	0.66
213342_at	YAP1	0.65
208527_x_at	HIST1H2BE	0.65
213209_at	TAF6L	0.63
217990_at	GMPR2	0.67
221675_s_at	CHPT1	0.66
219676_at	ZNF435	0.65
202964_s_at	RFX5	0.66
205405_at	SEMA5A	0.52
204488_at	TMEM15	0.65
221189_s_at	TARSL1	0.66
218569_s_at	KBTBD4	0.65
219636_s_at	ARMC9	0.64
202975_s_at	RHOBTB3	0.66
217983_s_at	RNASET2	0.65
210328_at	GNMT	0.63
222283_at	ZNF480	0.63
209032_s_at	IGSF4	0.65
202951_at	STK38	0.67
209926_at	MEF2B	0.65
215054_at	EPOR	0.64
214279_s_at	NDRG2	0.58
202626_s_at	LYN	0.66
203881_s_at	DMD	0.66
219553_at	NME7	0.67
208336_s_at	GPSN2	0.65
45714_at	HCFC1R1	0.66
203791_at	DMXL1	0.65
211124_s_at	KITLG	0.61
212551_at	CAP2	0.65
209703_x_at	DKFZP586A0522	0.65
202625_at	LYN	0.66
204916_at	RAMP1	0.64
205084_at	BCAP29	0.64
211234_x_at	ESR1	0.66
210255_at	RAD51L1	0.56
215022_x_at	ZNF11B	0.62
204778_x_at	HOXB7	0.61
202972_s_at	FAM13A1	0.66
201842_s_at	EFEMP1	0.65
210290_at	ZNF174	0.61
202516_s_at	DLG1	0.65
33646_g_at	GM2A	0.66
214786_at	MAP3K1	0.63
219008_at	FLJ21820	0.66
218628_at	CGI-116	0.65
204437_s_at	FOLR1	0.64
200923_at	LGALS3BP	0.67
209119_x_at	NR2F2	0.62
221345_at	GPR43	0.66
218922_s_at	LASS4	0.56
207786_at	CYP2R1	0.63
219889_at	FRAT1	0.64
215509_s_at	BUB1	0.63
220441_at	FLJ13236	0.66
213839_at	KIAA0500	0.64
208546_x_at	HIST1H2BH	0.64
213526_s_at	PSENEN /// F25965	0.65
204633_s_at	RPS6KA5	0.64
210299_s_at	FHL1	0.63
209724_s_at	ZFP161	0.64
216623_x_at	TNRC9	0.65
215407_s_at	ASTN2	0.65
203036_s_at	MTSS1	0.66
214774_x_at	TNRC9	0.63
207017_at	RAB27B	0.61
213469_at	PGAP1	0.66
212151_at	PBX1	0.64
205673_s_at	ASB9	0.65
201647_s_at	SCARB2	0.65
219174_at	CCDC2	0.64
215942_s_at	GTSE1	0.64
206100_at	CPM	0.62
206036_s_at	REL	0.67
221874_at	KIAA1324	0.65
209290_s_at	NFIB	0.66
220613_s_at	SYTL2	0.66
211792_s_at	CDKN2C	0.67
214721_x_at	CDC42EP4	0.65
214871_x_at	SMARCE1	0.66
213572_s_at	SERPINB1	0.64
209662_at	CETN3	0.66
213248_at	LOC221362	0.65
215708_s_at	PRIM2A	0.66
214022_s_at	IFITM1	0.65
209522_s_at	CRAT	0.62
212605_s_at	NUDT3	0.64
219274_at	TSPAN12	0.64
204389_at	MAOA	0.60
218951_s_at	PLCXD1	0.64
204315_s_at	GTSE1	0.64
211088_s_at	PLK4	0.66
221665_s_at	EPS8L1	0.63
206140_at	LHX2	0.65
204607_at	HMGCS2	0.59
214713_at	YLPM1	0.64
220183_s_at	NUDT6	0.67
219932_at	SLC27A6	0.63
214455_at	HIST1H2BC	0.63
206857_s_at	FKBP1B	0.66
204361_s_at	SCAP2	0.62
202514_at	DLG1	0.66
213067_at	MYH10	0.64
212450_at	KIAA0256	0.62
