Gene Sym	9-10-11 wga	15 wga	20-23 wga
HLA-C	3938.76	4962.94	8121.50
MDH1B	358.11	386.22	475.53
MAGI1	1033.97	1143.94	1207.93
PHKB	1303.29	1463.43	1552.33
FBXL10	1850.91	1968.20	2028.93
DACT2	599.85	795.40	885.69
NR5A2	1197.24	1353.56	1423.81
KIAA0513	189.32	274.94	312.72
CALB2	314.68	389.10	418.49
DMPK	395.94	459.31	484.26
UPK1B	346.01	1280.17	1636.58
PCYT1B	885.39	1047.03	1191.12
OLFM1	341.18	350.11	358.75
KCTD1	950.63	1177.88	1245.10
TP53I13	295.48	354.08	368.59
CNKSR1	324.57	370.52	426.03
MGST1	1099.78	2186.44	2370.51
PRKCB1	321.27	401.19	517.73
BTBD11	225.40	288.33	388.26
ANG	186.54	351.41	366.96
CD79B	189.30	255.60	371.45
ZNF706	1963.85	2119.70	2418.86
MET	563.62	869.90	887.50
AATK	407.21	657.49	661.22
SLCO2B1	882.39	937.61	1069.35
PIP5K1B	826.17	966.05	960.60
ASXL2	1119.48	1254.03	1247.68
CAPN1	474.89	502.20	582.40
PKIB	310.10	958.27	897.87
DGKZ	530.41	744.60	1057.55
TYW1	1200.12	1234.48	1290.20
S100A4	991.03	1202.46	1486.08
CYP8B1	239.72	266.67	311.87
NOTCH4	505.00	695.71	863.06
BTBD9	515.44	567.81	744.54
DUS1L	790.76	898.15	970.60
ART1	269.41	285.26	385.13
CASP8	471.83	485.45	606.35
UCHL1	2548.04	2879.72	3025.31
EML2	323.40	499.30	558.41
NDRG3	922.09	1256.65	1350.63
RIPK3	221.39	298.44	359.74
PLLP	326.42	458.78	584.85
TOR1B	947.62	1036.51	1098.60
AQP1	980.22	2020.88	3147.10
SFTPB	284.10	372.16	429.87
SREBF1	586.13	710.92	861.26
TSPAN9	463.46	543.27	590.19
PEX16	1247.27	1439.31	1539.04
RPS6KA5	537.97	589.32	663.46
HAGH	564.38	604.53	623.98
RASSF3	1044.36	1108.08	1204.10
DACT2	599.85	795.40	885.69
DAK	319.24	489.01	565.64
SLC26A11	886.65	1132.12	1239.68
C12orf34	366.74	542.84	608.46
USP35	336.79	395.01	503.55
ITGA2	352.08	462.78	498.22
PIK3C2A	1174.40	1259.72	1461.05
LCK	88.53	159.93	347.05
CCPG1	539.06	833.68	893.97
HIVEP2	379.21	512.95	533.95
MAGI3	891.87	917.56	1005.81
FBP1	357.56	648.51	678.60
TRADD	182.78	405.04	426.91
ANXA13	117.37	182.34	473.39
ABCC3	330.72	717.37	753.16
PLA2G1B	3332.22	21011.00	22412.90
C16orf5	533.32	548.04	665.10
EGLN1	1313.35	1309.31	1430.51
PPP1CB	3400.98	3388.22	3536.03
EIF2C2	1304.25	1285.83	1424.14
SLC12A6	233.54	246.47	275.39
RNF103	1675.38	1805.07	2086.71
RAPGEF5	742.95	834.85	1018.03
SESN1	1448.20	1658.81	2056.28
HPGD	924.30	862.20	1116.73
LTV1	1096.36	1075.82	1158.16
CASR	204.85	307.66	427.94
TMEM39A	1201.63	1275.77	1360.73
LYST	518.38	663.67	828.76
NPAL2	505.53	597.14	697.07
PLLP	326.42	458.78	584.85
TFF3	856.20	1724.83	2200.50
TMPRSS6	383.63	555.33	645.27
LYSMD2	1627.27	2113.03	2361.50
HAGH	564.38	604.53	623.98
DBNDD2	716.92	809.07	875.85
NPLOC4	800.90	950.40	1020.68
PGF	1669.47	2240.43	2664.92
LAIR1	592.26	657.69	708.22
KLC4	910.26	1057.77	1113.49
NMB	296.84	383.72	416.15
MSI2	416.93	502.01	578.26
CD37	99.99	188.87	270.31
KIFC2	210.29	408.04	476.61
FAM63A	869.07	1067.61	1256.08
C1QTNF5	1434.16	1535.81	1569.29
CD48	326.53	519.99	719.76
SPR	576.87	780.90	839.00
IFRD2	820.33	1066.79	1133.50
C1orf142	626.34	670.60	719.47
DNAJB13	198.49	299.57	326.24
CD79A	209.84	326.99	476.01
CYB561	682.02	1260.53	1370.75
C9orf98	540.74	620.60	635.68
IL16	368.56	485.07	506.99
SUPT6H	559.29	600.22	656.40
DGKZ	530.41	744.60	1057.55
HCLS1	611.61	758.58	977.57
DHCR7	579.61	591.70	609.93
IQSEC2	420.61	550.87	748.46
KIFC3	210.78	322.67	334.41
PEX14	527.19	601.36	609.10
FBP1	357.56	648.51	678.60
AQP8	756.92	2681.60	2876.33
TRADD	182.78	405.04	426.91
DHRS4	1227.54	1302.35	1434.39
KIAA0664	635.61	1206.11	1234.98
RALGPS1	475.64	700.80	711.58
WIZ	805.13	827.74	875.19
GPR6	368.07	391.04	439.31
VAMP8	2394.76	2521.19	2815.79
TCN2	464.71	631.48	630.87
SLC9A1	203.74	358.09	354.32
LONRF3	373.69	606.89	599.02
SLC22A17	298.46	557.04	545.22
AGPAT2	651.77	1105.32	1076.79
MT1H	8842.28	18882.00	18128.80
ARF5	2745.78	3615.58	3539.86
APOD	347.76	413.46	647.42
PHC3	1754.76	1905.55	2043.48
ABCC6	391.46	573.84	743.73
WDFY1	981.83	1080.40	1153.93
C17orf70	412.54	479.26	528.45
CA2	243.29	406.87	595.86
TPD52	965.16	1517.91	1849.42
TCF7	1041.26	1604.43	1937.33
IGF2	2503.53	3158.15	3985.32
CAB39L	407.28	469.34	550.60
PKN2	1687.16	1778.81	1824.69
UCHL1	2548.04	2879.72	3025.31
GNG7	538.61	652.40	837.91
APOB	199.83	261.16	369.92
C11orf54	1168.93	1357.80	1425.29
SFRS2IP	1237.02	1406.42	1464.32
RAPGEF5	742.95	834.85	1018.03
LRCH3	512.68	717.03	780.10
PAPPA2	319.55	372.37	484.90
SUMF2	605.03	873.13	954.70
ZNF434	1131.40	1168.64	1271.79
IL16	368.56	485.07	506.99
SERPINI1	921.32	1674.14	1722.49
FAM101B	1223.27	1308.76	1787.85
ZNF583	384.16	393.76	448.29
VPS53	497.03	520.41	655.46
ZFP91	1516.82	1565.56	1851.08
RALGPS1	475.64	700.80	711.58
STAG2	3095.22	3132.50	3356.50
PTPRC	281.43	374.94	886.08
C1orf210	640.76	686.43	1074.55
ZCCHC4	376.74	400.12	491.34
ZNF430	1103.23	1139.24	1276.24
FZD6	1413.91	1415.65	1480.11
RNF103	1675.38	1805.07	2086.71
NFIA	1241.01	1231.81	1383.93
PPIC	1862.33	1787.67	2533.71
TSPAN31	1407.64	1316.29	1865.45
TAGAP	108.99	190.50	295.60
EXOSC6	612.96	505.72	975.06
LAMP2	1422.14	1613.55	1815.31
DOCK9	606.12	548.10	770.97
PITPNC1	362.85	460.43	555.11
CAMK1D	720.22	839.05	936.06
MAN2A1	1493.96	1759.13	1966.85
PRKCSH	1641.78	1862.16	1931.16
ZFYVE19	364.66	444.54	468.56
YIPF2	444.98	648.35	707.07
ADRBK1	1467.94	1935.28	2069.25
RPS6KA4	371.28	448.31	476.42
IFRD2	820.33	1066.79	1133.50
GSDMDC1	255.16	324.80	342.22
FGFR1	1088.10	1159.64	1189.19
CD8A	281.91	489.00	537.64
RAB11FIP5	583.76	657.55	674.30
NUMBL	2419.42	3471.72	3698.20
RPN1	2063.97	2477.71	2662.78
DACT2	599.85	795.40	885.69
SH3BP2	265.44	382.53	405.73
EPS8L2	181.23	286.70	336.29
SEMA4B	668.92	975.18	1029.41
PEX16	1247.27	1439.31	1539.04
FAM117A	1724.56	1914.61	2014.54
ARHGEF1	243.73	431.16	457.21
PRSS8	808.82	1100.61	1135.06
ZDHHC8	574.60	645.11	688.05
RFX1	1263.21	1437.62	1451.84
PLEC1	166.94	230.61	235.56
CRYL1	609.68	895.91	917.37
PPP1R16A	416.08	512.48	580.08
CCDC57	316.14	467.18	475.88
KIAA0664	635.61	1206.11	1234.98
RAMP3	401.26	640.02	814.90
PGF	1669.47	2240.43	2664.92
KAZALD1	243.36	317.64	319.95
PKP3	318.77	504.87	510.54
ST14	555.36	676.54	773.34
TNFRSF14	241.17	300.47	348.18
EPN1	263.26	372.84	462.41
BTBD14B	308.22	417.54	416.21
PTPRN2	941.70	1254.45	1544.83
PTCRA	366.86	485.12	480.56
NELF	656.82	791.20	781.26
PLA2G4B	631.77	971.27	942.35
MAPK13	631.69	1081.15	1042.29
MIDN	699.77	839.66	827.51
SREBF1	586.13	710.92	861.26
EPHA10	219.98	269.41	329.43
HRBL	182.89	226.69	281.15
FAM3A	415.55	625.37	598.13
S100A4	991.03	1202.46	1486.08
LRRFIP2	206.09	232.58	228.04
CTDSP1	1586.11	2051.63	1970.89
DHCR7	579.61	591.70	609.93
RAMP1	934.52	1836.94	1665.78
TNFAIP2	587.22	740.21	710.62
PACS2	662.12	801.86	773.62
UNC13B	2252.33	2887.70	2743.52
ZNF434	1131.40	1168.64	1271.79
SPIB	216.81	259.73	436.09
C1orf210	640.76	686.43	1074.55
GAPVD1	915.17	924.33	1033.48
CA2	243.29	406.87	595.86
PLEKHA1	1302.61	1464.42	1647.75
SLC2A9	345.87	347.12	439.42
NFKB1	986.44	1092.61	1192.33
PCYT1B	885.39	1047.03	1191.12
PPIC	1862.33	1787.67	2533.71
SIPA1L2	802.49	921.71	1002.45
GRIN2C	296.53	365.55	408.22
FAM3B	2125.01	3548.83	4248.92
IPO13	666.16	824.13	901.64
CRIP1	361.69	341.29	436.48
PCYT1B	885.39	1047.03	1191.12
ROGDI	748.05	852.62	946.72
PRRG4	277.94	375.07	470.95
RAI2	758.81	870.70	988.94
ARHGEF5	572.83	704.20	778.98
MAP2K1	1495.38	1673.89	1768.70
RPS6KA5	537.97	589.32	663.46
SIRT6	655.17	714.48	803.44
UPK1B	346.01	1280.17	1636.58
AMPD3	503.69	608.53	808.31
SPATA2	438.19	491.79	598.44
IL17RA	386.46	507.42	750.00
SESN2	545.70	624.76	799.54
TGOLN2	1458.52	1813.64	1879.85
MGAT4A	817.56	1167.38	1222.32
TSHZ1	1784.22	1811.13	1890.31
GOLGA2	1102.87	1547.97	1603.33
ST8SIA3	248.00	414.86	431.36
DBT	1263.34	1760.55	1808.37
BTD	525.37	701.64	718.15
TNS1	1092.24	1655.88	1708.04
ZNF430	1103.23	1139.24	1276.24
MAP3K5	383.56	851.37	889.62
ITK	157.07	205.38	406.22
MUM1L1	418.80	460.75	648.58
ZNFX1	588.92	839.57	844.87
DGCR2	2074.36	2591.14	2596.52
PAPD4	669.15	763.49	764.14
ZNF710	614.03	724.53	836.43
CAPN12	244.19	290.81	333.89
ABCA2	367.21	491.14	588.68
SUPT6H	559.29	600.22	656.40
ATP8B2	465.87	487.67	521.26
REG3A	286.68	434.80	531.67
LDB1	404.36	440.24	501.61
MUC6	91.92	185.69	358.32
EEF2K	1112.74	1209.49	1260.22
SLC5A5	243.80	321.12	360.80
FOXK1	967.22	987.61	996.70
BRD2	1850.54	2274.12	2451.71
BCL2L11	719.63	751.90	832.90
EGR4	175.21	278.33	301.84
KRT1	270.17	292.93	395.92
EPN3	136.60	295.70	329.54
TGOLN2	1458.52	1813.64	1879.85
CDC42BPB	1041.36	1123.12	1136.33
PLEKHG5	295.14	299.01	327.21
ARHGEF1	243.73	431.16	457.21
ALDH3B1	186.63	210.41	386.55
SHANK3	824.91	846.02	1123.61
SLC45A3	435.24	447.97	499.20
STAG2	3095.22	3132.50	3356.50
MUC13	118.07	129.38	203.10
SPRR4	778.64	828.32	1001.14
THOC7	1715.98	1768.38	2154.53
CREG1	4443.44	4571.54	4894.93
NIPA2	2345.80	2352.72	2488.83
RNF125	173.16	300.41	436.52
SFRS4	1213.48	1305.75	1395.14
NUDT16L1	372.51	342.93	464.40
ITGB2	302.98	264.75	413.75
PCDHB14	603.40	590.25	637.42
TMEM74	235.51	193.33	340.42
WDR32	639.70	777.44	876.38
SEZ6L2	1045.80	1454.59	1665.23
RHOH	76.26	149.76	201.21
TOM1L2	547.52	682.85	742.64
MAG	278.59	409.72	505.87
CALB2	314.68	389.10	418.49
C12orf34	366.74	542.84	608.46
KIAA1539	448.83	553.03	591.01
PTPRN2	941.70	1254.45	1544.83
ATN1	454.30	524.73	545.54
CD34	1457.84	1738.42	1816.79
FZR1	432.50	503.91	597.51
ZNF468	410.16	492.92	605.59
PCYT2	325.05	393.39	487.90
BTBD11	225.40	288.33	388.26
PRKAR2A	2220.26	2591.84	2624.25
TM7SF2	536.51	680.98	691.27
NR4A1	242.79	639.43	665.02
ATP13A2	323.23	684.97	685.96
CLCNKB	66.10	188.39	187.13
SLC39A3	365.86	633.78	629.24
COL11A2	420.65	505.54	697.03
PTPN23	604.15	736.40	729.47
NELF	656.82	791.20	781.26
GNAI2	1586.12	1734.75	1718.66
PLLP	326.42	458.78	584.85
DUSP18	374.51	580.59	766.53
ATP6V1B2	2664.67	2746.10	2853.63
TBC1D10C	80.34	197.77	301.66
FAM65A	1552.02	1668.72	1768.59
TBC1D10B	1290.55	1620.30	1854.03
GABBR2	154.57	416.54	590.75
APH1A	1659.59	2083.55	2343.71
USP20	240.00	301.19	338.40
TJP2	1046.76	1231.76	1332.49
ZNF434	1131.40	1168.64	1271.79
TRIM10	306.47	549.99	653.89
SLC35E1	834.27	1225.11	1391.08
MAN2B2	573.96	703.35	756.01
PDE4C	2428.01	2941.65	3146.46
RGS1	85.49	219.71	661.36
PTPRN	253.26	437.42	507.36
KIAA1539	448.83	553.03	591.01
ENSA	1463.63	1496.66	1617.90
EML2	323.40	499.30	558.41
KLK7	192.00	234.12	396.23
ARHGEF9	847.31	951.81	986.56
ZFP3	554.57	586.18	716.80
GATAD1	1030.83	1255.69	1326.04
TTLL12	855.42	885.46	1036.22
PCDH12	656.12	673.87	763.18
BHLHB2	371.26	487.48	1079.81
GALNT10	846.51	889.81	900.59
RAD50	393.59	422.26	429.04
IRF1	464.19	487.48	634.49
