Network id	Genes	Top functions
11	GDF2	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	GJB1	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	HES1	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	HEY2	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	LPPR4	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	MMP12	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	NOTCH1	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	NR4A1	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	NRG2	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	NRP1	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	NRP2	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	PLAG1	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	PLG	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	RBPSUH	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	RLBP1	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	SEMA3A	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	SEMA3D	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	SEMA3E	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	STARD8	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	STK23	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	VEGF	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
12	ACHE	Hematological Disease, Cellular Movement, Immunological Disease
12	ALDH1A7	Hematological Disease, Cellular Movement, Immunological Disease
12	APOE	Hematological Disease, Cellular Movement, Immunological Disease
12	BCHE	Hematological Disease, Cellular Movement, Immunological Disease
12	CARD6	Hematological Disease, Cellular Movement, Immunological Disease
12	CDKN1A	Hematological Disease, Cellular Movement, Immunological Disease
12	CLDN11	Hematological Disease, Cellular Movement, Immunological Disease
12	COL15A1	Hematological Disease, Cellular Movement, Immunological Disease
12	COLQ	Hematological Disease, Cellular Movement, Immunological Disease
12	CPM	Hematological Disease, Cellular Movement, Immunological Disease
12	CTSG	Hematological Disease, Cellular Movement, Immunological Disease
12	DHRS3	Hematological Disease, Cellular Movement, Immunological Disease
12	FRZB	Hematological Disease, Cellular Movement, Immunological Disease
12	GP1BA	Hematological Disease, Cellular Movement, Immunological Disease
12	GP1BB	Hematological Disease, Cellular Movement, Immunological Disease
12	IRF5	Hematological Disease, Cellular Movement, Immunological Disease
12	KDR	Hematological Disease, Cellular Movement, Immunological Disease
12	MAP4K4	Hematological Disease, Cellular Movement, Immunological Disease
12	MAPK11	Hematological Disease, Cellular Movement, Immunological Disease
12	MAPK12	Hematological Disease, Cellular Movement, Immunological Disease
12	MAPK13	Hematological Disease, Cellular Movement, Immunological Disease
12	MMP1	Hematological Disease, Cellular Movement, Immunological Disease
12	MMP3	Hematological Disease, Cellular Movement, Immunological Disease
12	NFE2L2	Hematological Disease, Cellular Movement, Immunological Disease
12	PDRG1	Hematological Disease, Cellular Movement, Immunological Disease
12	PF4	Hematological Disease, Cellular Movement, Immunological Disease
12	POU2F1	Hematological Disease, Cellular Movement, Immunological Disease
12	PROC	Hematological Disease, Cellular Movement, Immunological Disease
12	RIPK1	Hematological Disease, Cellular Movement, Immunological Disease
12	RIPK2	Hematological Disease, Cellular Movement, Immunological Disease
12	SERPINA3	Hematological Disease, Cellular Movement, Immunological Disease
12	ST3GAL5	Hematological Disease, Cellular Movement, Immunological Disease
12	TDRD7	Hematological Disease, Cellular Movement, Immunological Disease
12	TNF	Hematological Disease, Cellular Movement, Immunological Disease
12	TRADD	Hematological Disease, Cellular Movement, Immunological Disease
13	ACTA1	Cancer, Cellular Development, Cellular Growth and Proliferation
13	CD200	Cancer, Cellular Development, Cellular Growth and Proliferation
13	CD200R1	Cancer, Cellular Development, Cellular Growth and Proliferation
13	CDKN1A	Cancer, Cellular Development, Cellular Growth and Proliferation
13	DAP	Cancer, Cellular Development, Cellular Growth and Proliferation
13	DOK1	Cancer, Cellular Development, Cellular Growth and Proliferation
13	DOK2	Cancer, Cellular Development, Cellular Growth and Proliferation
13	ERBB2	Cancer, Cellular Development, Cellular Growth and Proliferation
13	EREG	Cancer, Cellular Development, Cellular Growth and Proliferation
13	F2R	Cancer, Cellular Development, Cellular Growth and Proliferation
13	FLJ36748	Cancer, Cellular Development, Cellular Growth and Proliferation
13	GALNT3	Cancer, Cellular Development, Cellular Growth and Proliferation
13	GDPD3	Cancer, Cellular Development, Cellular Growth and Proliferation
13	GRB7	Cancer, Cellular Development, Cellular Growth and Proliferation
13	GSN	Cancer, Cellular Development, Cellular Growth and Proliferation
13	HNRPC	Cancer, Cellular Development, Cellular Growth and Proliferation
13	KLK3	Cancer, Cellular Development, Cellular Growth and Proliferation
13	MMP1	Cancer, Cellular Development, Cellular Growth and Proliferation
13	MMP14	Cancer, Cellular Development, Cellular Growth and Proliferation
13	NUP214	Cancer, Cellular Development, Cellular Growth and Proliferation
13	NXF3	Cancer, Cellular Development, Cellular Growth and Proliferation
13	NXT1	Cancer, Cellular Development, Cellular Growth and Proliferation
13	P4HA2	Cancer, Cellular Development, Cellular Growth and Proliferation
13	PDE8A	Cancer, Cellular Development, Cellular Growth and Proliferation
13	RET	Cancer, Cellular Development, Cellular Growth and Proliferation
13	SDK1	Cancer, Cellular Development, Cellular Growth and Proliferation
13	SOX10	Cancer, Cellular Development, Cellular Growth and Proliferation
13	STUB1	Cancer, Cellular Development, Cellular Growth and Proliferation
13	TERT	Cancer, Cellular Development, Cellular Growth and Proliferation
13	TPD52	Cancer, Cellular Development, Cellular Growth and Proliferation
13	TPD52L1	Cancer, Cellular Development, Cellular Growth and Proliferation
13	USF2	Cancer, Cellular Development, Cellular Growth and Proliferation
13	VIL2	Cancer, Cellular Development, Cellular Growth and Proliferation
13	WNT5A	Cancer, Cellular Development, Cellular Growth and Proliferation
13	XPO1	Cancer, Cellular Development, Cellular Growth and Proliferation
14	ANXA1	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	ANXA2	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	BGN	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	BIRC5	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	CALD1	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	CDH11	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	CDKN1A	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	CHI3L1	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	COL6A1	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	COL6A2	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	COL6A3	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	CTSB	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	DRD1	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	DRD2	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	DYSF	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	FMR1	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	GPRASP1	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	HD (includes EG:3064)	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	HRAS	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	IL2RB	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	LECT1	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	M6PRBP1	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	MAP2K6	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	MUC2	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	ODZ3	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	PCYT1A	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	RAD9A	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	S100A4	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	SERPIND1	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	SMAD7	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	SP3	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	STK10	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	TAGLN	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	TIMP1	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
14	TNC	Genetic Disorder, Skeletal and Muscular Disorders, Cancer
