AffyID	AverageRatio Contr/SCARKO	Gene Symbol
1452110_at	1.18	Mtrr
1435970_at	1.18	Nlk
1438143_s_at	1.18	Sca2
1426776_at	1.18	Wasl
1423390_at	1.18	Siah1a
1424505_at	1.17	0610042C05Rik
1460740_at	1.17	Cltb
1437848_x_at	1.17	---
1418474_at	1.17	1500005A01Rik
1433467_at	1.17	AI643885
1416704_at	1.17	Mapk14
1418834_at	1.17	Cno
1415975_at	1.17	Carhsp1
1448237_x_at	1.17	Ldh2
1452743_at	1.17	Pole3
1450751_at	1.17	Zpbp
1460235_at	1.17	Scarb2
1448936_at	1.17	Stx12
1429894_a_at	1.17	Mtap7
1454611_a_at	1.17	Calm1
1419449_a_at	1.17	Gnai2
1424669_at	1.17	1110013H04Rik
1427144_at	1.17	2810036L13Rik
1417365_a_at	1.17	Calm1
1451207_at	1.17	Cbara1
1423614_at	1.17	E430036I04Rik
1428848_a_at	1.17	Macf1
1422468_at	1.17	Ppt
1423223_a_at	1.17	Prdx6
1450105_at	1.17	Adam10
1423641_s_at	1.17	Cnot7
1437693_at	1.17	D1Pas1
1437711_x_at	1.17	Odc
1416190_a_at	1.17	Sec61a1
1421974_at	1.16	4930457P18Rik
1452404_at	1.15	LOC215789
1437175_at	1.15	BC027088
1451114_at	1.15	Cklfsf6
1455126_x_at	1.15	---
1448857_a_at	1.15	Zdhhc12
1420836_at	1.15	4933433D23Rik
1418453_a_at	1.15	Atp1b1
1452318_a_at	1.15	Hspa1b
1426350_at	1.15	Mgat2
1437238_x_at	1.15	C87860
1452148_at	1.15	Lrpap1
1450072_at	1.15	Ash1l
1416109_at	1.15	Fuca
1435176_a_at	1.15	Idb2
1451540_at	1.15	Mpi1
1421880_at	1.15	Mtmr1
1425505_at	1.15	Mylk
1417850_at	1.15	Rb1
1416972_at	1.15	Ssfa1
1415891_at	1.15	Suclg1
1438040_a_at	1.15	Tra1
1428080_at	1.15	2610528A17Rik
1416448_at	1.15	Itpa
1419211_s_at	1.14	4933424B01Rik
1448231_at	1.14	Fkbp5
1419168_at	1.14	Mapk6
1426117_a_at	1.14	Slc19a2
1448140_at	1.13	2810413N20Rik
1455571_x_at	1.13	Calm1
1426675_at	1.13	D16Ium22e
1416444_at	1.13	Elovl2
1452232_at	1.13	Galnt7
1452192_at	1.13	LOC234344
1450984_at	1.13	Tjp2
1432158_a_at	1.13	Trappc2
1418087_at	1.13	Ufd1l
1420131_s_at	1.13	1810010L20Rik
1424971_at	1.13	2600001J17Rik
1428138_s_at	1.13	3100002J04Rik
1427971_at	1.13	BC027756
1455384_x_at	1.13	D030056L22
1428248_at	1.13	Nfx1
1415889_a_at	1.13	Tra1
1417877_at	1.12	2310005P05Rik
1416574_at	1.12	5730589K01Rik
1427464_s_at	1.12	Hspa5
1451912_a_at	1.12	Fgfrl1
1452773_at	1.12	5730494N06Rik
1455184_at	1.12	B230364F10
1438999_a_at	1.12	Nfat5
1417010_at	1.12	Zfp238
1431400_a_at	1.11	Gas7
1418378_at	1.11	2310034L21Rik
1449733_s_at	1.11	Siah1a
1454801_at	1.10	E430019N21Rik
1420760_s_at	1.10	Ndrl
1455072_at	1.10	6430546F08Rik
1460665_a_at	1.10	Cnot7
1454984_at	1.10	A230075M04Rik
1424368_s_at	1.10	Ubqln1
1452037_at	1.10	Mgat2
1432480_a_at	1.10	1700051C09Rik
1451310_a_at	1.09	Ctsl
1423879_at	1.09	D030056L22
1437458_x_at	1.06	Clu
1437689_x_at	1.04	Clu
1425357_a_at	1.02	Cktsf1b1
