Unique id	Gene symbol	GeneBank accession	P-value (BRCA1 pools vs BRCA2 vs BRCAX pools)	P-value (Treated vs non-treated BRCA1/2/X pools)	P-value (Treated vs non-treated healthy control pools)
5900332	LOH11CR2A	NM_198315.2	0.0308091	NS	NS
6020142	ATPBD3	NM_145232.2	0.0308677	NS	NS
520070	ATP9A	NM_006045.1	0.030944	NS	NS
5560279	raptor	NM_020761.1	0.0309603	NS	NS
3780491	HCFC1R1	NM_001002017.1	0.0310551	NS	NS
4540204	DNASE1	NM_005223.3	0.031228	NS	NS
1340025	SLC2A5	NM_003039.1	0.0312587	NS	NS
4560100	COL21A1	NM_030820.2	0.0314127	NS	NS
7550333	FCRL6	NM_001004310.1	0.0316137	NS	NS
4920671	ADAMTS1	NM_006988.3	0.0317907	NS	NS
6380445	ANAPC11	NM_001002247.1	0.0320909	NS	NS
990470	IMMP1L	NM_144981.1	0.0321758	NS	NS
940601	FLJ42117	NM_198463.1	0.0322092	NS	NS
6280292	HINT3	NM_138571.3	0.0322795	NS	NS
5050500	C19orf23	NM_152480.1	0.0323769	NS	NS
2140468	CCNL2	NM_030937.2	0.032383	NS	NS
1260470	LONPL	NM_031490.2	0.0323891	NS	NS
870202	NR2F1	NM_005654.4	0.0324191	NS	NS
2750128	MDM2	NM_002392.2	0.0326416	NS	NS
3060682	TNFSF13	NM_172088.1	0.0326723	NS	NS
1470750	TJP3	NM_014428.1	0.032687	NS	NS
4070563	TGFBR1	NM_004612.2	0.0328223	NS	NS
5390373	LAMA2	NM_000426.2	0.0328806	NS	NS
4230537	PPP2CB	NM_004156.2	0.0328949	NS	NS
1190181	TAF6	NM_139122.1	0.0329196	NS	NS
730110	ZNF607	NM_032689.3	0.0331673	NS	NS
4040386	BET1L	NM_016526.3	0.0331707	NS	NS
6960564	C1orf25	NM_030934.3	0.0331766	NS	NS
6650504	HOOK3	NM_032410.2	0.0333755	NS	NS
3120731	FBXL19	NM_019085.1	0.0334495	NS	NS
6650368	C9orf28	NM_001011703.1	0.0335091	NS	NS
1240181	SH2D3C	NM_170600.1	0.0336121	NS	NS
6510484	CDA08	NM_030790.2	0.0336175	NS	NS
940592	SLC30A6	NM_017964.2	0.0336711	NS	NS
610037	HINT2	NM_032593.2	0.0336947	NS	NS
1400121	CD97	NM_078481.2	0.0337566	NS	NS
6900541	HSPC023	NM_014047.1	0.0337602	NS	NS
6250131	SLC9A10	NM_183061.1	0.0338015	NS	NS
730735	NDRG4	NM_020465.2	0.0338103	NS	NS
70484	PYGB	NM_002862.3	0.0338628	NS	NS
50482	SOCS7	NM_014598.1	0.0338891	NS	NS
6770369	NDUFB10	NM_004548.1	0.0338922	NS	NS
7650241	PARP2	NM_005484.2	0.0339923	NS	NS
5690347	TMSL8	NM_021992.2	0.0340037	NS	NS
70451	CDX1	NM_001804.1	0.034261	NS	NS
6520743	VKORC1	NM_024006.4	0.0344928	NS	NS
3370136	ANUBL1	NM_174890.1	0.0345906	NS	NS
2030471	SRP19	NM_003135.1	0.0346103	NS	NS
1430563	AMPD1	NM_000036.1	0.0346358	NS	NS
3170692	ITGB1BP2	NM_012278.1	0.0346727	NS	NS
4850070	FLJ25222	NM_199163.2	0.0346864	NS	NS
4920075	ACOT7	NM_181862.2	0.0348411	NS	NS
6130358	STK11IP	NM_052902.1	0.0348738	NS	NS
6060564	MGC24381	NM_001001410.2	0.0351282	NS	NS
1440382	UBE2G2	NM_182688.1	0.0352703	NS	NS
2350491	CYP7B1	NM_004820.2	0.0352776	NS	NS
3460181	MYCL1	NM_001033082.1	0.0352978	NS	NS
2230086	DOCK2	NM_004946.1	0.0353597	NS	NS
5720458	RARRES3	NM_004585.2	0.0353907	NS	NS
7560504	DBNL	NM_014063.5	0.0354304	NS	NS
6590307	PFKFB2	NM_001018053.1	0.0354987	NS	NS
1850672	KLF3	NM_016531.3	0.0355975	NS	NS
3840446	UBE2J1	NM_016021.2	0.0357459	NS	NS
3890048	RFP2	NM_001007278.1	0.0358481	NS	NS
6020632	PPP2R1B	NM_002716.3	0.0360043	NS	NS
2470326	ZNF272	NM_006635.2	0.0361995	NS	NS
1990328	FREQ	NM_014286.2	0.0362151	NS	NS
3420053	MGC35361	NM_147194.1	0.0362186	NS	NS
1070414	MGC2803	NM_024038.2	0.036285	NS	NS
6480019	MGC70863	NM_203302.2	0.0362863	NS	NS
6290343	BCL10	NM_003921.2	0.0363075	NS	NS
6020541	CCDC48	NM_024768.1	0.0363616	NS	NS
4390280	FLJ46156	NM_198499.1	0.0364708	NS	NS
5360059	WBP5	NM_001006614.1	0.036583	NS	NS
1010367	C17orf46	NM_152343.1	0.0365862	NS	NS
6590025	GTF3A	NM_002097.1	0.0365985	NS	NS
270167	TBC1D23	NM_018309.1	0.0366662	NS	NS
5570379	C17orf77	NM_152460.2	0.0367388	NS	NS
1710563	OSBPL6	NM_032523.2	0.036757	NS	NS
5390494	MAP3K5	NM_005923.3	0.0367662	NS	NS
6130427	INADL	NM_170605.2	0.0368191	NS	NS
6480364	ENPP1	NM_006208.1	0.0368439	NS	NS
5870685	ANKH	NM_054027.3	0.0368801	NS	NS
4230367	TAS2R4	NM_016944.1	0.03691	NS	NS
4560050	AMIGO1	NM_020703.1	0.0369295	NS	NS
2710097	SLAMF7	NM_021181.3	0.0369483	NS	NS
5910390	BLM	NM_000057.1	0.0370598	NS	NS
580411	LOC221143	NM_174928.1	0.0371409	NS	NS
1690025	SMPDL3B	NM_014474.2	0.037185	NS	NS
5340136	GBP3	NM_018284.1	0.0372139	NS	NS
4150403	NUDT14	NM_177533.2	0.0372737	NS	NS
3190754	ELK1	NM_005229.2	0.0372823	NS	NS
70161	ACD	NM_022914.1	0.0373042	NS	NS
2350707	MPP6	NM_016447.2	0.0373235	NS	NS
1500736	AGTR1	NM_032049.1	0.0373692	NS	NS
2340603	RNF166	NM_178841.2	0.0374992	NS	NS
2570128	KERA	NM_007035.3	0.0375377	NS	NS
7200626	DIP2A	NM_206889.1	0.0376292	NS	NS
2810164	LOC441294	NM_001008747.1	0.0376762	NS	NS
620204	EMILIN1	NM_007046.1	0.0377209	NS	NS
620474	MANEA	NM_024641.2	0.0377274	NS	NS
870095	MAP4K3	NM_003618.2	0.0378401	NS	NS
4640332	PGM5	NM_021965.3	0.0378469	NS	NS
1170435	PBX1	NM_002585.1	0.038012	NS	NS
4860315	HSF2BP	NM_007031.1	0.0382529	NS	NS
4010047	ASH1L	NM_018489.1	0.0384102	NS	NS
6040736	PTRH2	NM_016077.3	0.0384355	NS	NS
1110600	EIF4E3	NM_173359.3	0.03845	NS	NS
1740059	FLJ27255	NM_207501.1	0.0385071	NS	NS
3610382	PCBD1	NM_001001939.1	0.0385423	NS	NS
4010215	LITAF	NM_004862.2	0.0385654	NS	NS
4040286	ADAMTS16	NM_139056.1	0.0387752	NS	NS
6420722	SDC2	NM_002998.3	0.0388986	NS	NS
4590458	C6orf48	NM_016947.1	0.0390386	NS	NS
650189	NPLOC4	NM_017921.1	0.0391211	NS	NS
1090240	OATL1	NM_001006113.1	0.0391589	NS	NS
2070541	DHX34	NM_194428.1	0.039162	NS	NS
2690348	TFAP2C	NM_003222.3	0.0391784	NS	NS
630181	SFI1	NM_014775.2	0.0393336	NS	NS
840403	TRPM4	NM_017636.2	0.0393341	NS	NS
1770369	C1orf53	NM_001024594.1	0.0393468	NS	NS
2680626	SPR	NM_003124.3	0.0395812	NS	NS
2100528	NRK	NM_198465.1	0.0398118	NS	NS
3180176	ARMC7	NM_024585.2	0.0399137	NS	NS
1400747	MRPS15	NM_031280.2	0.0401707	NS	NS
5890274	PTTG1IP	NM_004339.2	0.0402419	NS	NS
3870403	SLC16A10	NM_018593.3	0.040251	NS	NS
7050324	OR2T33	NM_001004695.1	0.0402837	NS	NS
6510706	ABHD3	NM_138340.3	0.0403083	NS	NS
1690711	TENC1	NM_015319.2	0.0404972	NS	NS
770437	NMB	NM_021077.3	0.0405198	NS	NS
7100349	HSPC268	NM_197964.1	0.0405913	NS	NS
3140270	CHCHD1	NM_203298.1	0.0411559	NS	NS
2650270	C10orf72	NM_144984.1	0.0413899	NS	NS
1510431	C11orf48	NM_024099.2	0.0414182	NS	NS
1740136	CASP5	NM_004347.1	0.0414389	NS	NS
3610736	ZNF484	NM_031486.1	0.0414923	NS	NS
3870326	PHF14	NM_001007157.1	0.041514	NS	NS
4880088	AK2	NM_001625.2	0.0415255	NS	NS
2120324	SOD1	NM_000454.4	0.0417325	NS	NS
360066	VPREB3	NM_013378.1	0.0418003	NS	NS
5550100	FSCN1	NM_003088.2	0.0418849	NS	NS
6280091	SLC45A3	NM_033102.1	0.0419997	NS	NS
3170671	FBXL6	NM_012162.1	0.0420463	NS	NS
1070164	PTRH1	NM_001002913.1	0.0420699	NS	NS
4180201	HAND1	NM_004821.1	0.0420883	NS	NS
6400113	LAMP2	NM_002294.1	0.0420935	NS	NS
940397	IGF2R	NM_000876.1	0.0421041	NS	NS
3450463	TMEM53	NM_024587.2	0.0423694	NS	NS
4050440	C14orf8	NM_173846.3	0.0424308	NS	NS
4180474	JAM3	NM_032801.3	0.0425018	NS	NS
5490543	ABHD8	NM_024527.3	0.0426569	NS	NS
4060326	SENP2	NM_021627.2	0.0427711	NS	NS
1070114	POLE4	NM_019896.2	0.0427871	NS	NS
2710022	SLC37A1	NM_018964.3	0.042885	NS	NS
4610327	ZNF138	NM_006524.1	0.043	NS	NS
20762	LIMS1	NM_004987.3	0.0431173	NS	NS
7330484	SHE	NM_001010846.1	0.0432427	NS	NS
2190138	THRAP6	NM_080651.1	0.0432769	NS	NS
1820541	CXorf53	NM_024332.2	0.0434143	NS	NS
2970626	UBE1C	NM_198197.1	0.0435511	NS	NS
3370546	SPN	NM_001030288.1	0.0435918	NS	NS
4900100	FSD1CL	NM_207647.1	0.0436103	NS	NS
7560445	TMED2	NM_006815.2	0.043702	NS	NS
4480022	PREP	NM_002726.3	0.0437484	NS	NS
6130349	PHACTR4	NM_023923.2	0.0437895	NS	NS
5720008	C21orf59	NM_017835.1	0.0438237	NS	NS
1450575	C8orf38	NM_152416.1	0.0439633	NS	NS
3890086	K6HF	NM_004693.1	0.0440111	NS	NS
6650215	LYN	NM_002350.1	0.0440642	NS	NS
4220202	RAB30	NM_014488.3	0.0441739	NS	NS
4570114	C3orf23	NM_173826.1	0.0442003	NS	NS
4560630	BTF3L4	NM_152265.1	0.0442039	NS	NS
2100113	PRPF38A	NM_032864.2	0.0442172	NS	NS
2370274	IL16	NM_172217.1	0.044307	NS	NS
4010747	SPPL2B	NM_020172.1	0.0444542	NS	NS
1770092	DNASE1L3	NM_004944.2	0.0444836	NS	NS
2360138	HOXA10	NM_018951.2	0.0446232	NS	NS
6130593	GUCA1A	NM_000409.2	0.0446418	NS	NS
4390382	CD99L2	NM_134446.2	0.0448118	NS	NS
2350279	VPS41	NM_014396.2	0.0448416	NS	NS
7050091	TBCA	NM_004607.1	0.0448593	NS	NS
6280762	C1orf101	NM_173807.2	0.0449133	NS	NS
5550307	C11orf46	NM_152316.1	0.0449957	NS	NS
4890025	UNQ2541	NM_203347.1	0.045084	NS	NS
7050075	NT5C	NM_014595.1	0.0451463	NS	NS
3990189	PFN4	NM_199346.1	0.0453831	NS	NS
7100674	GNG5	NM_005274.1	0.0454305	NS	NS
3440333	ZNF608	NM_020747.1	0.0455021	NS	NS
5550195	CST3	NM_000099.2	0.0456419	NS	NS
3870397	AFTIPHILIN	NM_203437.2	0.0456422	NS	NS
2900296	KRTAP9-4	NM_033191.2	0.0456931	NS	NS
1940332	C1orf97	NM_032705.2	0.0459271	NS	NS
6110592	UPK1B	NM_006952.3	0.0459382	NS	NS
5690025	CCNB3	NM_033031.1	0.0459993	NS	NS
4280139	LSM2	NM_021177.3	0.0460117	NS	NS
4480152	GTF2IRD2B	NM_001003795.1	0.0461291	NS	NS
3450743	NRIP3	NM_020645.1	0.0465153	NS	NS
5090093	PTD008	NM_016145.1	0.0467212	NS	NS
6590296	HOM-TES-103	NM_080731.1	0.0467245	NS	NS
6660193	RPL4	NM_000968.2	0.0467948	NS	NS
5390739	FOLR1	NM_016724.1	0.0468057	NS	NS
10121	GADD45GIP1	NM_052850.2	0.0468306	NS	NS
4670315	LIMK2	NM_001031801.1	0.046959	NS	NS
4890398	HIGD2A	NM_138820.2	0.0470345	NS	NS
5050296	WDR7	NM_015285.2	0.0471042	NS	NS
4760446	ZCRB1	NM_033114.3	0.0471578	NS	NS
2760228	FBXL10	NM_001005366.1	0.0471683	NS	NS
6110132	RPP21	NM_024839.1	0.0472109	NS	NS
1500730	BCOR	NM_020926.2	0.0472954	NS	NS
2230546	MGC26885	NM_152339.2	0.0474795	NS	NS
4760292	EFS	NM_005864.2	0.0476256	NS	NS
830360	CRYBA4	NM_001886.1	0.0476582	NS	NS
650273	PIK3C3	NM_002647.2	0.0476586	NS	NS
3610482	SNAPC3	NM_003084.1	0.0476778	NS	NS
610082	GDI1	NM_001493.1	0.0478269	NS	NS
540136	MACF1	NM_012090.3	0.0478639	NS	NS
2350204	ZNF384	NM_133476.2	0.0479026	NS	NS
5490068	IQWD1	NM_018442.2	0.0479923	NS	NS
1450403	LYZL2	NM_183058.2	0.0480757	NS	NS
3190563	ZNF583	NM_152478.1	0.0481274	NS	NS
3800307	PMCHL1	NM_031887.2	0.0484199	NS	NS
1170438	MTHFS	NM_006441.1	0.0484296	NS	NS
4050408	AGPAT5	NM_018361.2	0.0484544	NS	NS
4480019	TNFRSF19	NM_148957.2	0.0485375	NS	NS
5090746	RUNX1	NM_001754.3	0.0485788	NS	NS
270039	FOSL2	NM_005253.3	0.0486473	NS	NS
1710692	CTNND1	NM_001331.1	0.0486629	NS	NS
7200274	CDKL4	NM_001009565.1	0.0488467	NS	NS
2350176	CRB2	NM_173689.4	0.0490408	NS	NS
6980544	NR5A2	NM_205860.1	0.0491401	NS	NS
5860523	MIB1	NM_020774.2	0.0491799	NS	NS
6200762	FLJ14154	NM_024845.1	0.0491979	NS	NS
1510097	TMEM17	NM_198276.1	0.0492966	NS	NS
4060615	TAS2R14	NM_023922.1	0.0493419	NS	NS
1990634	TIMM8B	NM_012459.1	0.0493502	NS	NS
4220110	HES1	NM_005524.2	0.0493959	NS	NS
1190239	TOR1AIP2	NM_145034.1	0.0495166	NS	NS
1070491	RAD51L1	NM_002877.4	0.0495717	NS	NS
4860133	CCDC34	NM_030771.1	0.0496129	NS	NS
3120521	BRP44	NM_015415.1	0.0496699	NS	NS
730594	INT4	NM_033547.3	0.049705	NS	NS
6620609	CD1D	NM_001766.2	0.0497062	NS	NS
4880730	CRHR1	NM_004382.2	0.0497612	NS	NS
380181	ANKRD20A3	NM_001012419.1	0.0498109	NS	NS
6900372	P2RX5	NM_175081.1	0.0499991	NS	NS
2570139	SFRS7	NM_001031684.1	NS	0.0021079	0.0000345
5670128	COQ7	NM_016138.3	NS	0.0008577	0.0000713
4760402	PCCA	NM_000282.2	NS	0.0003863	0.0001124
6960575	LOC56902	NM_020143.2	NS	0.0005641	0.0001132
2060471	HNRPF	NM_004966.2	NS	0.0004375	0.000158
1030131	HSPA5	NM_005347.2	NS	0.0036278	0.0002209
7100504	TTC4	NM_004623.2	NS	0.0000484	0.0002608
3180491	SYNCRIP	NM_006372.3	NS	0.0000795	0.0003317
6980725	LANCL2	NM_018697.3	NS	0.000054	0.0004889
1170554	CCT5	NM_012073.3	NS	0.0012124	0.0005173
6400452	SFPQ	NM_005066.1	NS	0.0003943	0.000572
5340646	CSTF2	NM_001325.2	NS	0.0020984	0.0005806
5870168	SMPD1	NM_000543.3	NS	0.002239	0.0006138
4480026	ZNF395	NM_018660.2	NS	0.0000051	0.00071
7610309	BYSL	NM_004053.3	NS	0.0002272	0.0007819
5720681	TIPARP	NM_015508.2	NS	0.0011634	0.0008433
1230053	NQO1	NM_000903.2	NS	0.0000013	0.0008898
4490161	HEXB	NM_000521.2	NS	0.0007593	0.000899
5490280	RNASEH1	NM_002936.3	NS	0.0000756	0.0010178
1740471	PSMF1	NM_178578.1	NS	0.0007111	0.0010622
5570594	RIOK1	NM_031480.2	NS	0.0000048	0.0011501
4640504	TIMM44	NM_006351.2	NS	0.0000739	0.0011755
4540468	G3BP	NM_005754.2	NS	0.0000702	0.0012069
3130156	FAM80A	NM_173642.1	NS	0.0000057	0.0012355
1450703	SLC6A9	NM_006934.2	NS	0.0000728	0.0013909
3140280	RCSD1	NM_052862.2	NS	0.0001167	0.0015901
6620307	EXOSC2	NM_014285.4	NS	0.0006136	0.0016434
1440487	PPAN	NM_020230.4	NS	0.0009899	0.0016647
3930673	CCL28	NM_019846.3	NS	0.0000071	0.0016746
4610097	SDAD1	NM_018115.1	NS	0.0000512	0.0018733
4280164	ORAOV1	NM_153451.2	NS	0.0000207	0.0018825
2320010	IMPAD1	NM_017813.2	NS	0.0000452	0.0018876
4200328	PUS1	NM_025215.4	NS	0.0000615	0.0019276
6550091	SURF6	NM_006753.3	NS	0.0004174	0.0019477
5050025	TNFSF9	NM_003811.2	NS	0.0010332	0.001954
5260484	LARP2	NM_032239.2	NS	0.0000079	0.0019603
10086	MFSD1	NM_022736.1	NS	0.0000428	0.0019742
7210438	PFKFB4	NM_004567.2	NS	0.0000043	0.0020078
4880341	RHBDD3	NM_012265.1	NS	0.0040054	0.0020949
5890397	TSEN2	NM_025265.2	NS	0.0004962	0.0022319
2900524	DPH2	NM_001384.3	NS	0.000078	0.0022551
6200446	SIAE	NM_170601.3	NS	0.0018611	0.002354
3830278	C8orf33	NM_023080.1	NS	0.0005834	0.0023656
150021	GNL2	NM_013285.1	NS	0.0001404	0.002435
1580750	CHUK	NM_001278.3	NS	0.0005264	0.0025414
6350452	APAF1	NM_181869.1	NS	0.0000511	0.0026209
4260360	MXI1	NM_130439.3	NS	0.0008096	0.0026661
1400044	TMEM15	NM_014908.3	NS	0.00013	0.0028514
4570019	TPARL	NM_018475.2	NS	0.000328	0.0028989
3940301	EPM2AIP1	NM_014805.2	NS	0.0000292	0.0030782
2810050	HIG2	NM_013332.1	NS	0.0000846	0.0031195
1440114	GLMN	NM_053274.1	NS	0.0001964	0.0031278
3940543	HARS	NM_002109.3	NS	0.0003077	0.0031408
4060255	C3orf63	NM_015224.1	NS	0.0001923	0.0031449
3400747	TOMM40	NM_006114.1	NS	0.0001296	0.0031486
4920047	TMEM1	NM_001001723.1	NS	0.0040503	0.0031795
5390139	SERPINB8	NM_001031848.1	NS	0.0007522	0.0031881
840528	CCBL1	NM_004059.3	NS	0.0000879	0.0033391
5890112	BTN3A1	NM_007048.3	NS	0.0000061	0.003366
6270349	EXT2	NM_000401.2	NS	0.0001087	0.0033712
1010156	C14orf169	NM_024644.1	NS	0.000296	0.0033857
2570008	PKNOX1	NM_197976.1	NS	0.0000841	0.0034565
60128	GDPD3	NM_001031718.1	NS	0.0028956	0.0034962
5910653	P4HA1	NM_000917.2	NS	0.000004	0.0036291
5860653	C14orf94	NM_017815.1	NS	0.0004177	0.0036745
2470097	EIF3S10	NM_003750.1	NS	0.0016052	0.0037461
2000669	METTL1	NM_005371.3	NS	0.0002105	0.0038043
4810110	EGR1	NM_001964.2	NS	0.0000481	0.0038585
7160537	SUV420H2	NM_032701.2	NS	0.0000519	0.0038811
3360390	KIAA0690	NM_015179.2	NS	0.0002378	0.00397
7570189	ACTR1B	NM_005735.2	NS	0.000244	0.0039822
1030082	TMEM70	NM_017866.3	NS	0.0024008	0.0040557
3400328	ADA	NM_000022.2	NS	0.0012314	0.0041157
5960427	IQGAP3	NM_178229.3	NS	0.0000301	0.0041285
110093	TEX261	NM_144582.2	NS	0.0006625	0.0043131
6510463	MFSD2	NM_032793.2	NS	0.0001209	0.0044572
6560767	TOR1A	NM_000113.2	NS	0.0016287	0.0044675
4610162	PPP1R8	NM_014110.3	NS	0.0027096	0.0044684
5220215	YEATS2	NM_018023.3	NS	0.0000124	0.0044816
3120301	L3MBTL2	NM_031488.4	NS	0.0006352	0.0045552
7550343	FJX1	NM_014344.2	NS	0.000033	0.0045933
1580253	C12orf26	NM_032230.1	NS	0.0005569	0.0046051
1050086	PEO1	NM_021830.3	NS	0.0000415	0.0046124
1410408	TMEM16F	NM_001025356.1	NS	0.0002551	0.0046324
4480221	SLC39A14	NM_015359.1	NS	0.0000985	0.0048118
7050020	CYB561	NM_001017916.1	NS	0.000394	0.0048642
2360253	ATE1	NM_007041.2	NS	0.0003039	0.0048872
1260072	ACAD11	NM_032169.3	NS	0.0003445	0.0050369
6250064	RSU1	NM_152724.2	NS	0.0007904	0.0050751
1440377	FBXO34	NM_017943.2	NS	0.0000774	0.0051013
2490615	FLJ45244	NM_207443.1	NS	0.0002418	0.0051987
360064	PEX16	NM_057174.1	NS	0.0004354	0.0053207
2360021	GNB1L	NM_053004.1	NS	0.0005758	0.0054171
4590678	PHF21A	NM_016621.2	NS	0.0000172	0.0054475
1990070	HNRPAB	NM_031266.2	NS	0.0000921	0.0054589
7400719	NUP98	NM_139131.2	NS	0.000184	0.0056661
160446	BTN3A3	NM_006994.3	NS	0.0000167	0.0057919
160240	DDX39	NM_005804.2	NS	0.0000968	0.0058249
3840554	TIMM17A	NM_006335.1	NS	0.0001707	0.0060437
830133	INSIG2	NM_016133.2	NS	0.0000468	0.0062149
5420286	GRPEL1	NM_025196.2	NS	0.0027164	0.0069633
510725	ZNF259	NM_003904.3	NS	0.002368	0.0070433
5720273	GPR19	NM_006143.1	NS	0.0002216	0.0072597
4540703	DDB2	NM_000107.1	NS	0.0004691	0.0073551
5090315	DDX56	NM_019082.2	NS	0.0000705	0.0073688
2850711	EIF2S1	NM_004094.4	NS	0.0005298	0.0073775
6770189	SV2A	NM_014849.2	NS	0.0018202	0.0074471
6940082	ARHGEF7	NM_003899.2	NS	0.0001152	0.0074881
4390092	KLHDC5	NM_020782.1	NS	0.0005143	0.0074941
5820255	TMEM20	NM_153226.1	NS	0.0010575	0.0074947
6220377	SFRS10	NM_004593.1	NS	0.00006	0.0075366
830347	SLC37A4	NM_001467.3	NS	0.0000072	0.0075418
7050296	BNIP3	NM_004052.2	NS	0.0000005	0.0075604
5550491	DOLPP1	NM_020438.3	NS	0.000157	0.0075685
730767	FLJ11506	NM_024666.2	NS	0.0004281	0.007596
6350446	BNIP3L	NM_004331.2	NS	0.000173	0.0077065
6220465	MCRS1	NM_006337.3	NS	0.0000161	0.0077779
1500494	NOP5 / NOP58	NM_015934.3	NS	0.0023887	0.0078211
2970646	SLC7A11	NM_014331.2	NS	0.000176	0.0078844
7160398	INHBE	NM_031479.3	NS	0.0000046	0.0078912
650709	SLC2A6	NM_017585.2	NS	0.0017454	0.0080346
1770161	C14orf106	NM_018353.3	NS	0.0005059	0.0081104
6060379	C1orf164	NM_018150.2	NS	0.0010643	0.0081372
240333	PDK3	NM_005391.1	NS	0.0001213	0.0081946
7150736	POLR3B	NM_018082.3	NS	0.0000042	0.0082185
2650468	EGLN1	NM_022051.1	NS	0.0000077	0.0082713
2650131	PUS7	NM_019042.3	NS	0.0000593	0.008292
6900253	CLK3	NM_003992.1	NS	0.0006922	0.008347
4040672	CD59	NM_203329.1	NS	0.0000539	0.0084228
1570717	FARSLA	NM_004461.1	NS	0.0019365	0.0084245
6330221	GNL3L	NM_019067.3	NS	0.0026183	0.0084321
870477	MAP3K13	NM_004721.3	NS	0.0000849	0.0085634
7560138	SLC16A3	NM_004207.1	NS	0.0000035	0.0086156
3130500	ARMC6	NM_033415.2	NS	0.000054	0.0086302
3440367	SNIP1	NM_024700.2	NS	0.0012738	0.0086801
6400279	ATP6V0D1	NM_004691.3	NS	0.0002822	0.0087241
5570181	SP140	NM_007237.3	NS	0.0001089	0.0087299
3870735	MECR	NM_016011.2	NS	0.0004045	0.0087533
5360424	COMMD2	NM_016094.2	NS	0.0017195	0.0088502
4480139	FSBP	NM_006550.1	NS	0.0000261	0.0089403
7380576	SMARCA3	NM_003071.2	NS	0.0021734	0.0089545
3830709	NCOA5	NM_020967.2	NS	0.0001668	0.0089555
7650681	MANBA	NM_005908.2	NS	0.0012057	0.0090657
1400048	ZNF291	NM_020843.1	NS	0.0000516	0.0091864
3170743	SFRS2	NM_003016.2	NS	0.0000669	0.0092422
3400279	FGF11	NM_004112.2	NS	0.000002	0.0095008
1190369	SRPRB	NM_021203.2	NS	0.0000048	0.0095045
4290154	NOL6	NM_022917.4	NS	0.0001257	0.0095159
6130546	PFKP	NM_002627.3	NS	0.000387	0.0095242
5960215	KHDRBS3	NM_006558.1	NS	0.0018191	0.0095699
2070487	NINJ1	NM_004148.2	NS	0.0036577	0.009655
2100608	ZFYVE19	NM_032850.3	NS	0.0025471	0.0097113
870221	PGM1	NM_002633.2	NS	0.0033365	0.009717
3290379	DUS3L	NM_020175.1	NS	0.0000168	0.009821
4490678	C4orf14	NM_032313.2	NS	0.0004084	0.0098344
6330242	GJB2	NM_004004.3	NS	0.0019607	0.0098656
1030544	STIM1	NM_003156.2	NS	0.0001314	0.0099267
4050201	GPATC4	NM_182679.1	NS	0.0007611	0.0100229
5670181	SUPT4H1	NM_003168.1	NS	0.0000869	0.0100474
670196	CBX7	NM_175709.2	NS	0.00298	0.0100632
5090739	KLHL3	NM_017415.1	NS	0.0000532	0.0101842
5720020	CIT	NM_007174.1	NS	0.0001354	0.010216
2320414	FLJ20272	NM_017735.3	NS	0.0001498	0.0102629
3170136	C9orf156	NM_016481.2	NS	0.0034298	0.0103303
4900133	GFM1	NM_024996.5	NS	0.0002822	0.0103602
3400372	FBXO21	NM_015002.2	NS	0.0011793	0.01047
6270397	CTNS	NM_004937.1	NS	0.000003	0.0104889
6860603	C17orf44	NM_173621.1	NS	0.0020275	0.010534
2810451	FAM8A1	NM_016255.1	NS	0.0001667	0.0105838
1090022	CBFA2T3	NM_005187.4	NS	0.0010739	0.0106159
6980148	DKFZp434K1815	NM_152892.1	NS	0.0000781	0.0106184
7150730	PHF13	NM_153812.1	NS	0.0003793	0.0108582
6520075	ZNF544	NM_014480.1	NS	0.0006639	0.0108885
1110435	ENO2	NM_001975.2	NS	0.0000207	0.0108912
940278	ILK	NM_004517.2	NS	0.000538	0.0112193
870047	RNU3IP2	NM_004704.3	NS	0.0002472	0.0113318
2940092	MINA	NM_032778.3	NS	0.0000622	0.0113397
5340722	ZNF480	NM_144684.1	NS	0.00423	0.011704
540309	NIP7	NM_016101.3	NS	0.0005168	0.011719
4010020	SLC15A4	NM_145648.1	NS	0.0042831	0.0117702
1030577	ATG4A	NM_052936.2	NS	0.0000942	0.011777
1850433	POLR3H	NM_138338.2	NS	0.0001963	0.0119696
1090332	CIRH1A	NM_032830.1	NS	0.0009444	0.0119708
3290722	CGI-115	NM_016052.2	NS	0.0000611	0.0119875
6200386	CIAPIN1	NM_020313.1	NS	0.0002919	0.0121476
5720424	DKFZp761I2123	NM_031449.3	NS	0.001214	0.012161
380537	ERAL1	NM_005702.2	NS	0.0015069	0.0121677
5220487	DDX55	NM_020936.1	NS	0.0004098	0.0124088
6370465	MTA3	NM_020744.2	NS	0.0010534	0.0125238
2750494	CD3EAP	NM_012099.1	NS	0.0011268	0.0126357
1300743	TSC22D3	NM_004089.3	NS	0.0003637	0.0126384
4180079	RNASEL	NM_021133.2	NS	0.0026402	0.0128322
4560220	E2F4	NM_001950.3	NS	0.0000236	0.0128338
5910427	PHB	NM_002634.2	NS	0.0006614	0.0129238
4220592	ILKAP	NM_030768.2	NS	0.0004502	0.0129446
7000475	DDX54	NM_024072.3	NS	0.0007603	0.0129839
110546	PITPNA	NM_006224.2	NS	0.0017277	0.0130047
6350427	AGPAT7	NM_153613.1	NS	0.0004044	0.0133472
830576	RPP40	NM_006638.2	NS	0.0014308	0.0133634
2970739	SLC7A1	NM_003045.3	NS	0.0000308	0.0137163
